propertyCode,floor,price,propertyType,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,status,newDevelopment,hasLift,priceByArea,topNewDevelopment,topPlus,neighborhood,newDevelopmentFinished,formerPrice,priceChange,hasParkingSpace,isParkingSpaceIncludedInPrice
33928745,7.0,1500.0,flat,110.0,3,2,"estrada de Benfica, 503",Lisboa,Benfica,Fonte Nova -  Calhariz,pt,38.7489827,-9.1904238,True,https://www.idealista.pt/imovel/33928745/,"Descobre este magnífico apartamento em Benfica, ideal para quem procura conforto e modernidade no coração da cidade. Com uma área útil de 100 m², este imóvel oferece três quartos espaçosos, incluindo uma suite, e duas casas de banho. A sala é um verdadeiro destaque, inundada de luz natural, perfeita para momentos de convívio em família. A cozinha está totalmente equipada. Localizado no sétimo andar de um edifício com elevador, este apartamento proporciona uma vista desafogada sobre a zona envolvente. A sua localização é simplesmente imbatível: em frente ao centro comercial Fonte Nova e a poucos passos do metro, garantindo fácil acesso a todas as comodidades e serviços. Além disso, conta com arrecadação e armários embutidos para maior organização. Este é o espaço perfeito para desenvolver o teu projeto de vida, com uma equipa sempre disponível para ajudar em cada passo do caminho. Não percas esta oportunidade única de viver num apartamento que combina estilo, funcionalidade e uma localização privilegiada em Lisboa.",good,False,True,14.0,False,False,,,1500.0,0.0,False,False
33928723,3.0,3900.0,flat,170.0,3,3,"rua do Quelhas, 28",Lisboa,Estrela,Lapa,pt,38.7099474,-9.1571259,True,https://www.idealista.pt/imovel/33928723/,"LAPA - RUA DO QUELHAS Apartamento T3 inserido em Empreendimento de Luxo com Portaria / Segurança 24H. Localização muito tranquila, com pouca passagem de carros e situada em zona nobre da cidade. Localizado junto ao Instituto Superior de Economia e Gestão e a 5 minutos a pé da futura Estação de Metro (Santos). O apartamento tem uma generosa Varanda com uma vista desafogada de Cidade, tendo também bastante luminosidade natural. Sala com 45m2, 3 Quartos (um em suite), Cozinha totalmente equipada com eletrodomésticos MIELE e 3 WC (social, suite e uma terceira completa). Todos os Quartos com Roupeiros Excelentes acabamentos; Aquecimento Central, Ar condicionado, pavimento em madeira natural, Janelas com vidros duplos, porta blindada, etc. Fazem parte do imóvel 2 Lugares de Estacionamento e uma arrecadação Para mais informações ou visitas, contacte-nos Informação Legal: - Licença de Habitação 1577/UT/2004 - Área Bruta Privativa 151m2.",good,False,True,23.0,False,False,,,3900.0,0.0,True,True
33928706,3.0,1400.0,flat,74.0,3,1,rua Actor Vale,Lisboa,Penha de França,Bairro dos Actores - Barão Sabrosa,pt,38.7337282,-9.1304923,False,https://www.idealista.pt/imovel/33928706/,"Arrendamento T3 na Rua Ator Vale - Penha de França Descubra este charmoso apartamento totalmente renovado, preservando a sua traça antiga, que combina o charme clássico com o conforto moderno. Localização Privilegiada:Situado numa rua tranquila, mas com excelente proximidade a transportes públicos, serviços e comércio. A apenas 2 minutos a pé das estações de metro de Arroios e Alameda, garantindo fácil acesso a toda a cidade. Características do Apartamento: 4 divisões amplas e bem iluminadas. Pavimento em tábua corrida nas áreas principais, com chão de cerâmica na cozinha, casa de banho e marquise, garantindo durabilidade e fácil manutenção. Janelas com vidros duplos, proporcionando conforto térmico e acústico. Iluminação embutida no corredor, criando um ambiente moderno e acolhedor. Casa de banho completamente nova, pronta a estrear. Cozinha moderna, totalmente equipada com todos os eletrodomésticos necessários. Condições de Arrendamento: Exigem-se 3 meses de renda e fiador. Não perca a oportunidade de viver neste magnífico apartamento, onde tradição e modernidade se encontram. Agende já a sua visita e venha conhecer o seu novo lar!   LICENÇA DE UTILIZAÇÃO Nº 492 de 07/04/2021 ```````````````````````` Charming 3-Bedroom Apartment in Bairro do Liceu, Setúbal Discover this cosy apartment located on Rua Cidade da Beira, in the sought-after Bairro do Liceu area of Setúbal. Just a 15-minute walk from the train station and 5 minutes from the direct bus to Lisbon-Oriente, this property stands out with its dual aspect: on one side, a raised ground floor with a peaceful view of a square; on the other, a second floor facing Lidl. This bright and welcoming apartment features: 3 bedrooms, perfect for your family, a home office, or guest accommodations; A spacious living room, ideal for relaxing and entertaining; A semi-equipped kitchen, including an oven, stovetop, and water heater; 2 bathrooms, one full and one guest WC; A storage room, offering practical and functional organization. The double-glazed windows provide excellent thermal and acoustic insulation, ensuring a comfortable and quiet environment year-round. The apartment has undergone some updates and is ready to welcome its new owners. Prime LocationSituated in a central area with easy access to shops, services, and public transport, including quick connections to Lisbon, this property combines convenience with quality living, making it ideal for both personal residence and investment. Don’t miss this unique opportunity! Contact us to schedule a visit and discover everything this apartment has to offer.   Licença de Utilização - LICENÇA DE UTILIZAÇÃO Nº 492 de 07/04/2021.",good,False,False,19.0,False,False,,,1400.0,0.0,False,False
33928676,1.0,720.0,studio,23.0,0,1,"rua João de Menezes, 6",Lisboa,Areeiro,Bairro dos Actores,pt,38.7392381,-9.1304371,True,https://www.idealista.pt/imovel/33928676/,"Estúdio T0 (apenas para uma pessoa) na Rua João Menezes 6, entre o Areeiro e Alameda. Metro. Mini kitchenette, secretária, cama individual, roupeiro e casa de banho privativa. Limpeza obrigatória adicional 40 euros mes(1xsemana). Despesas incluídas com limite de 50kw mês.  Apenas para utilização individual, especialmente para estudantes, estagiários ou trabalhadores deslocados.",good,False,False,31.0,False,False,,,720.0,0.0,False,False
33928648,4.0,1300.0,flat,158.0,2,1,rua Ernesto Costa,Lisboa,Lumiar,Centro,pt,38.7660958,-9.1648822,False,https://www.idealista.pt/imovel/33928648/,"Excelente T2 Remodelado para Arrendamento   Mobilado e Equipado, com as despesas Incluídas de electricidade, água e internet. Composto por: Hall, 2 Quartos com Ares Condicionados e Roupeiros, Sala, Casa de Banho com Base de Duche e Cozinha Equipada com Placa de Indução, Exaustor, Forno, Microondas, Frigorifico Combinado, Termoacumulador 80L, Máquina de Lavar Louça e Máquina de Lavar Roupa. Lumiar, uma das zonas mais procuradas de Lisboa.   Localização Previlegiada, em frente ao estádio José Alvadade. Perto de Transportes Públicos, Metro (Alvalade e Campo Grande). Perto de Serviços, Escolas, Colégios, Ginásio. O Apartamento com uma àrea aprox. de 55M2, está Localizado num 4º andar de um prédio com dois Elevadores. Agende uma Visita para ver o espaço em pessoa e confirmar se corresponde às suas necessidades.  Licença de Utilização - 305.",good,False,True,8.0,False,False,,,1300.0,0.0,False,False
33928571,3.0,3800.0,flat,190.0,3,2,"avenida Visconde de Valmor, 1",Lisboa,Avenidas Novas,Campo Pequeno,pt,38.7388431,-9.1426301,True,https://www.idealista.pt/imovel/33928571/,"AVENIDAS NOVAS - ARCO CEGO Fantástico apartamento T3 inserido em Edifício de Prestigio com Portaria / Segurança 24H. O apartamento está em excelente estado, tendo sido totalmente pintado com Cozinha e WC's remodelados. Bons acabamentos, tais como pavimento em madeira (Quartos) e pedra natural (Sala e WC), Ar Condicionado (sala e suite), Janelas com vidros duplos, porta blindada, etc. Terraço privativo com acesso pela Cozinha, com muita luz natural. Composto por: Excelente Hall de entrada, Sala ampla (com cerca de 54m2), Cozinha luminosa e com acesso ao Terraço, Hall de Quartos, 1 em Suite (com cerca de 20m2) e 2 WC completos. Faz parte do arrendamento 1 Lugar de Garagem Localização muito central, com fáceis acesso rodoviários e facilidade de estacionamento mas bem servido de todo o tipo de transportes públicos, tais como estação de Metro (linha amarela) a pouco mais de 5 minutos a pé. Perto de varias escolas (Liceu Dona Filipa de Lencastre) e a 400m do Instituto Superior Técnico. Se procura um apartamento espaçoso e confortável, num prédio nobre e muito bem situado, este poderá ser o que procura Para mais informações ou visitas, contacte-nos através dos telefones indicados INFORMAÇÃO LEGAL: Área Bruta Privativa - 190m2 Licença Habitação - 403 (04/10/1995) CML.",good,False,True,20.0,False,False,,,3800.0,0.0,True,True
33928530,2.0,1780.0,flat,90.0,2,1,rua Bartolomeu Dias,Lisboa,Belém,Torre de Belém,pt,38.6953637,-9.2149268,False,https://www.idealista.pt/imovel/33928530/,"Apartamento T2 - renovado - 90 m2 - renovado - mobiliado e equipado - Belém, inserido em excelente e nobre localização, junto ao rio. Composto por: 1 sala, 1 cozinha (totalmente equipada), 2 quartos, 1 casa de banho. Localização de excelência, próximo do colégio Bom Sucesso, com acesso favorecido a serviços, comercio local, monumentos históricos, museus, jardins, e transportes. Viva na encantadora e historicamente rica zona de Belém, em Lisboa. Este confortável, luminoso e espaçoso apartamento, com 2 quartos é o local perfeito para viver perto do rio e a uma curta distância do burburinho do centro da cidade. Situado num dos melhores bairros da cidade, este convidativo aluguer é a sua porta de entrada para um mundo de beleza histórica, lazer e conveniência moderna. Localização: Situado no coração de Belém, o nosso apartamento oferece proximidade com o Rio Tejo, o exuberante Parque Florestal de Monsanto e fácil acesso ao centro da cidade. As estações de elétrico e comboio estão convenientemente próximas, juntamente com uma vasta gama de linhas de autocarro que o ligam a Lisboa, Cascais, Sintra e às áreas circundantes. Para uma escapadela panorâmica até às belas praias da Costa da Caparica, existem também barcos e ferries à sua disposição. Beleza Histórica: Mergulhe na rica história de Belém, onde marcos icónicos como o Mosteiro dos Jerónimos e a Torre de Belém enfeitam a linha do horizonte. Ao caminhar ao longo da calçada portuguesa do bairro, não pode deixar de sentir o espírito dos exploradores que outrora partiram daqui. Delícias gastronómicas: A uma curta distância a pé da sua porta, encontrará os Pastéis de Belém, a melhor pastelaria portuguesa - o delicioso pastel de nata. Oásis cultural: O Centro Cultural de Belém (CCB) fica apenas a 4 minutos a pé e promete um calendário de eventos culturais, exposições e espectáculos ao longo do ano. Mergulhe facilmente na vibrante cena artística de Lisboa. Conforto e comodidade: Este apartamento está pronto a habitar com todo o mobiliário necessário, incluindo camas, máquina de lavar/secar roupa, frigorífico, máquina de lavar louça e utensílios de cozinha Lojas: O Pingo Doce e a Padaria Portuguesa estão apenas a 250 metros de distância. Muitas lojas e restaurantes são facilmente acessíveis Condições de arrendamento: 2 rendas + 2 caução. Disponível a partir de 01 de Fevereiro de 2025. Para mais informações, entre em contacto connosco!",good,False,False,20.0,False,False,,,1780.0,0.0,False,False
33928389,3.0,1450.0,flat,61.0,2,1,Olivais,Lisboa,Olivais,,pt,38.7797333,-9.1202537,False,https://www.idealista.pt/imovel/33928389/,"� Apartamento Remodelado e Mobilado para Arrendamento – Localização Prática e Confortável! ✨ Apresentamos este acolhedor apartamento remodelado, pronto a habitar,   Com um design moderno e funcional, este imóvel é ideal para quem procura um espaço é prático, bem localizado e com excelentes acessos. Características principais: Tipologia:  T2 Cozinha em open space, totalmente equipada com: forno, placa, frigorífico, máquina de lavar loiça, máquina de lavar roupa e termo acumulador Mobilado,   Quartos, (sem roupeiros embutidos) permitindo total flexibilidade na organização. Prédio com dois elevadores, garantindo acessibilidade e comodidade. Localização: Este apartamento encontra-se numa zona estratégica, sua envolvencia repleta de facilidades: Transportes públicos (autocarros). Apenas 10 minutos do metro e 5 minutos do aeroporto. Próximo de serviços, comércio e escolas, tornando o dia a dia mais prático e conveniente. Condições: Renda mensal:  1.450, 00 EUR. Condições de arrendamento:  Fiador 1 Renda+2 Cauções Não perca esta oportunidade de viver num espaço, confortável e com tudo à sua volta! Agende já a sua visita e descubra o que este apartamento tem para oferecer. Licença de Utilização - -.",good,False,True,24.0,False,False,,,1450.0,0.0,False,False
33928340,6.0,2190.0,flat,173.0,3,3,Telheiras,Lisboa,Lumiar,Telheiras,pt,38.762417,-9.1738734,False,https://www.idealista.pt/imovel/33928340/,"T3 Telheiras com 173 m2 - Como Novo, mobilado e equipado, com 2 lugares de garagem e uma arrecadação com 10 m2 e ainda, 3 varandas - Sala e Suite terá o privilégio de viver em Telheiras com espaço, modernidade e tranquilidade, bons acabamentos, excelentes áreas e boas distribuições espaciais. Ótima oportunidade de viver no coração de Lisboa, zona nova, calma e em expansão, junto aos principais eixos rodoviários e muito próximo de todo o tipo de comércio, tanto tradicional como de lojas de livre serviço de pequena e grande dimensão (Continente, Pingo Doce de Telheiras, AKI, etc) e C. C. Alvaláxia e Holmes Place. Próximo dos principais colégios e Universidades de Lisboa: - Escolas públicas: jardim e 1º ciclo no Alto da Faia nº 57 (Telheiras Central); preparatória 2+3 na R. Prof. Mário Chico e Secundária Virgílio Ferreira, etc. - Colégio do Planalto, Colégio Alemão, Colégio São João de Brito e Colégio da Luz / Franciscanos, Manuel Bernardes, Real Colégio; Doroteias, Poeta, São Vicente Paulo, Moderno, etc. - Cidade Universitária; Universidade Católica; Faculdade de Medicina; Farmácia; Letras; Direito; ISCTE; Universidade Nova; Lusófona, etc. Junto dos principais hospitais de Lisboa: - Hospital de Santa Maria; British Hospital; Hospital da Luz; Hospital dos Lusíadas Excelente orientação solar - Nascente / Sul / Poente Equipamentos Gerais: Estores térmicos e elétricos janelas em alumínio lacado branco, com vidros duplos, Caldeira para aquecimento central e banhos, Instalação de ar condicionado em todas as assoalhadas. De certo, a casa que andava à procura! Venha descobri-la! Veja a sua disponibilidade e ligue-me para agendarmos a sua visita. ATENÇÃO - CONDIÇÕES P/ARRENDAMENTO: Fiador/es, com pagamento do valor equivalente a 4 rendas (Mês Inicial + Mês Seguinte+ 2 de Caução) na assinatura do contrato de arrendamento. Disponibilizar cópia dos seguintes documentos do/s inquilino/s e fiador/es: Documento/s de identificação incluindo NIF; Última declaração de IRS e respetiva nota de liquidação ou equivalente; Últimos 3 recibos de vencimento; Comprovativo de residência do/s fiador/es NOTA: Caso não tenha fiador/es, ou estes não sejam aceites, o valor da caução será igual a seis meses de renda ou garantia bancária “on demand” do mesmo valor  Licença de Utilização - 119/2007.",good,False,True,13.0,False,False,,,2190.0,0.0,True,True
33928242,,3000.0,flat,152.0,3,3,Igreja de Benfica,Lisboa,Benfica,Igreja de Benfica,pt,38.751856,-9.2034433,False,https://www.idealista.pt/imovel/33928242/,"DISPONIBILIDADE IMEDIATA. Magnifico apartamento MOBILADO com áreas bastante generosas e com acabamentos de qualidade superior, inserido no CONDOMÍNIO GRÃO VASCO, um condomínio privado com serviço de segurança, áreas verdes privativas, parque infantil, salão de festas e duas piscinas, que na zona envolvente encontra uma multiplicidade de comercio e serviços e os jardins do Parque Silva Porto / Mata de Benfica. O apartamento com: Arrecadação. Duas varandas. Ar condicionado. Estores electricos. Sistema de alarme. Quartos com roupeiros. Parqueamento para duas viaturas. Sala com lareira com recuperador de calor. Cozinha equipada com eletrodomésticos De Dietrich. CONDIÇÕES DE ARRENDAMENTO. Contrato de arrendamento vinculativo de 36 meses renovável. Pagamento de um mês de renda + dois meses de garantia, a devolver no final do contrato estando o apartamento nas mesmas condições de quando início do contrato. DOCUMENTOS NECESSÁRIOS PARA CONTRATO. Inquilino (s): Identificação + Comprovativo de rendimentos em Portugal. (último IRS e dois últimos recibos de vencimento). Fiador (es): Identificação + Comprovativo de rendimentos em Portugal. (último IRS e dois últimos recibos de vencimento). VALOR DE RENDA NÃO NEGOCIÁVEL. LU: 272/UT/ (telefone)  Nota: A informação disponibilizada neste anúncio não dispensa a sua confirmação e pode ser alterada sem aviso prévio. O anúncio não pode ser considerado vinculativo.  Categoria Energética: A  ref: Montrigues - 2023029.",good,False,False,20.0,False,False,,,3000.0,0.0,True,True
