propertyCode,thumbnail,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,externalReference,parkingSpace
33894589,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/5a/48/73/270977016.webp,13,bj,1400.0,"{'price': {'amount': 1400.0, 'currencySuffix': '€/mês'}}",flat,rent,80.0,3,2,Estefânia,Lisboa,Arroios,São Jorge de Arroios,pt,Estefânia,38.7244525,-9.142955,False,https://www.idealista.pt/imovel/33894589/,1389,"Com 5 assoalhadas, sendo 2 delas bem modestas, este apartamento duplex a estrear espera por si e família. Localizado junto à Policia Judiciária, há poucos minutos do Metro de Picoas e com todo o tipo de serviços a escassos metros de casa.  No piso 0 temos a cozinha equipada com placa, forno, exaustor e termoacumulador (a casa não têm gás). Neste piso temos 2 casas de banho completas com duche, 2 quartos de boas áreas com janelas altas de respiração e luz. No piso de cima temos mais 3 assoalhadas um pouco esconsas, das quais 2 são menores, mas todas com muita luz natural e ventilação.  A casa está inserida numa pequena vila privada como um condomínio, com mais 7 casas, todas acabadas de reconstruir e com acesso a um grande pátio com muitas plantas, tornando o ambiente ainda mais acolhedor. Condições para o arrendamento: 1 mes de renda 1 mes de caução 1 mes de serviço imobiliario O proprietario exije fiador. Tanto os arrendatários como o fiador precisam comprovar capacidade financeira para arrendar o imovel. Agende ainda hoje a sua visita.",False,good,False,False,18.0,{'typology': 'flat'},"{'subtitle': 'Estefânia, Lisboa', 'title': 'Apartamento'}",False,False,False,False,False,False,,
33894593,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/69/02/83/270975273.webp,28,1,1800.0,"{'price': {'amount': 1800.0, 'currencySuffix': '€/mês'}}",flat,rent,70.0,2,2,Gulbenkian - Praça Espanha,Lisboa,Avenidas Novas,Gulbenkian - Praça Espanha,pt,,38.7411448,-9.1557222,False,https://www.idealista.pt/imovel/33894593/,1223,"Encantador apartamento T2, com uma suíte e um quarto, 2 casas de banho, 70 m2 de área bruta privativa, totalmente totalmente remodelado com varanda e cozinha equipada. Em 1º andar de edifício com elevador, na Avenida Santos Dumont, zona tradicional familiar totalmente requalificada, a um passo da Fundação Calouste Gulbenkian e do Parque Gonçalo Ribeiro Telles na Praça de Espanha, em zona com comércio tradicional e a 10 minutos a pé da galeria do El Corte Inglés. A cerca de 5 minutos a pé ao metro da Praça de Espanha bem como a todas as acessibilidades e transportes. Ótimos acessos ao centro da cidade bem como ao aeroporto. Desfrute da qualidade de vida que a centralidade desta localização permite. Venha surpreender-se.. . Licença de utilização nº369 de 06/11/1975 Área útil: 62.84m2.",True,good,False,True,26.0,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Apartamento'}",True,False,False,False,False,False,HMBK4444,
33894555,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/6e/e6/eb/270973809.webp,14,2,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mês'}}",flat,rent,70.0,2,1,Estrada de Benfica,Lisboa,São Domingos de Benfica,Estrada de Benfica,pt,,38.744237,-9.1817167,False,https://www.idealista.pt/imovel/33894555/,3480,"**Apartamento T2 Luminoso em São Domingos de Benfica** Descobre este encantador apartamento T2, situado no coração de São Domingos de Benfica. Com uma área bruta de 70 m², este imóvel oferece um ambiente acolhedor e luminoso, perfeito para quem procura conforto e tranquilidade. Localizado no 2º andar de um prédio sem elevador e com apenas 8 inquilinos, garante um ambiente sossegado e exclusivo. O apartamento dispõe de três assoalhadas, incluindo dois quartos espaçosos e uma casa de banho. A cozinha está equipada com máquina de roupa e loiça, facilitando o teu dia a dia. Além disso, alguns móveis estão incluídos, como dois roupeiros, uma cama de casal, uma estante e uma cómoda. A varanda e o terraço oferecem um espaço extra para relaxar e desfrutar do ar livre. Construído em 1970, o apartamento encontra-se em bom estado e apresenta uma orientação Este, garantindo luz natural durante todo o dia. Embora o aquecimento não esteja disponível, a sua localização privilegiada compensa com a proximidade a serviços e transportes.  Condições de arrendamento: 1 mês de renda 1 mes de caução 1 mês de serviço imobiliário É fundamental apresentar fiador. Tanto arrendatários como fiador precisam comprovar capacidade financeira para o arrendamento. Não percas a oportunidade de viver neste bairro tranquilo e agende a tua visita hoje mesmo!",False,good,False,False,17.0,{'typology': 'flat'},"{'subtitle': 'São Domingos de Benfica, Lisboa', 'title': 'Apartamento'}",False,False,False,False,False,False,,
33894343,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/5e/1b/4e/270964664.webp,18,,1850.0,"{'price': {'amount': 1850.0, 'currencySuffix': '€/mês'}}",flat,rent,68.0,1,1,Campo Pequeno,Lisboa,Avenidas Novas,Campo Pequeno,pt,,38.7452544,-9.1483317,False,https://www.idealista.pt/imovel/33894343/,1045,"Apartamento T1 NOVO / AVENIDAS NOVAS ( junto Avª. da República ) / Sem Mobília Edifício Século XXI 16, localizado na Zona de Campo pequeno / Entre Campos, é um edifício com uma configuração funcional e direcionada para o interior, distribuídos por sete pisos. O apartamento tipologia T1 é composto por Hall, sala com Kitchenet equipadas de eletrodomésticos encastrados de gama alta com móveis feitos por medida e pensados ao milímetro.  1 Quarto com roupeiro e casa de banho com poliban. Tem varanda. Ar condicionado. A qualidade da sua construção está presente em todos os detalhes, garantindo sempre o luxo e grande eficiência dos espaços. O apartamento é Sem Mobília. Apartamento muito soalheiro. Excelente localização, zona com comércio e transportes. Nota: é um 3º piso com elevador. Este T1 tem 1 Parqueamento. Renda mensal: 1.850€ Para mais informações ou marcar visita P. F. contacte: Alexandre Gonçalves TM: Visite o nosso site.",False,good,False,,27.0,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Apartamento'}",False,False,False,False,False,False,1325,
33894217,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/82/d2/b9/270959161.webp,28,5,2500.0,"{'price': {'amount': 2500.0, 'currencySuffix': '€/mês'}}",flat,rent,136.0,2,2,"rua Almirante Barroso, 40",Lisboa,Arroios,São Jorge de Arroios,pt,Saldanha - Picoas,38.73138,-9.142901,True,https://www.idealista.pt/imovel/33894217/,619,"Apartamento, T2 compleamente mobilado com luminosidade em plenas Avenidas Novas. Com 2 lugares de garagem um atrás do outro. Entre o Saldanha e a Estefânia, junto a todos os serviços e comércio.  LU N 115/2003   Bright, fully furnished 2-bedroom flat in the heart of Avenidas Novas. With 2 parking spaces one behind the other. Between Saldanha and Estefânia, close to all services and shops.",False,good,False,True,18.0,{'typology': 'flat'},"{'subtitle': 'Saldanha - Picoas, Lisboa', 'title': 'Apartamento na rua Almirante Barroso, 40'}",False,False,False,False,False,False,remax.pt/125501006-405,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
33894230,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/14/74/e2/270958391.webp,30,,1550.0,"{'price': {'amount': 1550.0, 'currencySuffix': '€/mês'}}",flat,rent,75.0,1,1,Expo Norte,Lisboa,Parque das Nações,Expo Norte,pt,,38.7772239,-9.093758,False,https://www.idealista.pt/imovel/33894230/,6168,"Apartamento T1 com móveis situado no Parque das Nações em Lisboa, com excelente vista para o Rio Tejo. Composto por: -Hall de entrada com 9m2 com roupeiro, -Sala com 27m2, -Cozinha totalmente equipada com 14m2, -W. c. com 4m2 com poliban -Quarto com roupeiro com 14m2. Imóvel com óptimas áreas inserido num local que prima pela tranquilidade, junto a uma vasta oferta de serviços e comércio, perto do Centro Comercial Vasco da Gama e Gare do Oriente, transportes públicos, ginásios, hotéis, unidades de saúde, restaurantes, farmácias e espaços verdes, equipado com materiais da melhor qualidade, excelentes acabamentos, boa luminosidade, com serviço de climatização 'climaespeaço', porta blindada, janelas com vidros duplos, câmara de vigilância e 1 lugar de estacionamento. Lisboa A capital Portuguesa é onde tudo acontece: desde os seus bairros históricos às novas ruas cheias de vida, Lisboa é a cidade que nunca pára de surpreender. Pode passear por avenidas icónicas como a Liberdade ou comer os deliciosos pastéis de Belém, sem esquecer as opções culturais e inúmeros museus da cidade. Um oásis urbano que serve o amante da calçada portuguesa e o curioso pela modernidade. LU Nº 446/UT/2006 A Porta da Frente Christie's é uma empresa de mediação imobiliária que trabalha no mercado há mais de duas décadas, focando-se nos melhores imóveis e empreendimentos, quer para venda quer para arrendamento. A empresa foi selecionada pela prestigiada marca Christie's International Real Estate para representar Portugal, nas zonas de Lisboa, Cascais, Oeiras e Alentejo. A principal missão da Porta da Frente Christie's é privilegiar um serviço de excelência a todos os nossos clientes.  Categoria Energética: B  ref: PF14413.",False,good,False,True,21.0,{'typology': 'flat'},"{'subtitle': 'Parque das Nações, Lisboa', 'title': 'Apartamento'}",True,False,False,False,False,False,PF14413,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
33894206,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/c9/f0/c8/270958296.webp,23,3,2350.0,"{'price': {'amount': 2350.0, 'currencySuffix': '€/mês'}}",flat,rent,130.0,4,2,Bairro Azul - Parque Eduardo VII,Lisboa,Avenidas Novas,Bairro Azul - Parque Eduardo VII,pt,,38.7343109,-9.1572916,False,https://www.idealista.pt/imovel/33894206/,1300,"Apartamento T4 com 130 m2 de área bruta privativa no Bairro Azul, nas Avenidas Novas, Lisboa. Com quatro quartos, uma casa de banho completa, cozinha, sala e escritório. Inserido em prédio de charme estilo Art Déco, com tetos originais da época e pavimento em madeira envernizada. O prédio tem um apartamento por piso.  Localiza-se junto ao El corte Inglés numa zona central e cosmopolita com acesso rápido a todos os pontos da cidade e arredores. A 1 minuto a pé do metro. Localizado a poucos minutos de comércio e serviços, tais como hotéis e galerias comerciais que ali existem, desde do Saldanha Residence, Atrium Sadanha e Monumental, passando pelo Campo Pequeno ou pelo El Corte Inglés. Os jardins da Gulbenkian são um dos cartões de visita deste bairro, que ganhou uma nova animação depois de uma profunda reabilitação dos espaços públicos. A 5 minutos walking distance do metro de S. Sebastião e a 10 minutos driving distance do Colégio Salesianos e Liceu Francês- Charles le Pierre. A 10 minutos do Aeroporto Humberto Delgado de Lisboa.  Categoria Energética: C  ref: 85546.",False,good,False,False,18.0,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Apartamento'}",True,False,False,False,False,False,85546,
33891424,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/56/53/8a/270801831.webp,27,1,1600.0,"{'price': {'amount': 1600.0, 'currencySuffix': '€/mês'}}",flat,rent,74.0,3,2,rua Morais Soares,Lisboa,Arroios,São Jorge de Arroios,pt,Alameda - Praça do Chile - Almirante Reis,38.7322118,-9.1325669,False,https://www.idealista.pt/imovel/33891424/,1023,"Descubra este fantástico apartamento T3, ideal para quem procura conforto e praticidade numa localização central. ✨ Detalhes do imóvel: 3 Quartos, incluindo 1 suíte para maior privacidade; 2 Casas de banho modernas com duche; Ar condicionado na sala e em todos os quartos Armários embutidos em todos os quartos; Ampla varanda Lavandaria independente para maior organização; Cozinha equipada com eletrodomésticos topo de gama; Semi-mobilado, pronto para receber o seu toque pessoal. � Localização: Apenas a 50 metros da Praça do Chile, com acesso facilitado a transportes, comércio, serviços e lazer. Para mais informações ou agendar visita, entre em contacto connosco! Não perca esta oportunidade única de viver no coração de Lisboa.",False,good,False,False,22.0,{'typology': 'flat'},"{'subtitle': 'Alameda - Praça do Chile - Almirante Reis, Lisboa', 'title': 'Apartamento na rua Morais Soares'}",False,False,False,False,False,False,PB-2025001,
33894138,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/83/66/a9/270957150.webp,20,1,2350.0,"{'price': {'amount': 2350.0, 'currencySuffix': '€/mês'}}",flat,rent,130.0,4,2,Bairro Azul - Parque Eduardo VII,Lisboa,Avenidas Novas,Bairro Azul - Parque Eduardo VII,pt,,38.7356225,-9.1577611,False,https://www.idealista.pt/imovel/33894138/,1315,"Apartamento T4 com 130 m2 de área bruta privativa no Bairro Azul, nas Avenidas Novas, Lisboa. Com quatro quartos, uma casa de banho completa, cozinha, sala e escritório. Inserido em prédio de charme estilo Art Déco, com tectos originais da época e pavimento em madeira envernizada. O prédio tem um apartamento por piso.  Localiza-se junto ao El corte Inglés numa zona central e cosmopolita com acesso rápido a todos os pontos da cidade e arredores. A 1 minuto a pé do metro. Localizado a poucos minutos de comércio e serviços, tais como hotéis e galerias comerciais que ali existem, desde do Saldanha Residence, Atrium Sadanha e Monumental, passando pelo Campo Pequeno ou pelo El Corte Inglés. Os jardins da Gulbenkian são um dos cartões de visita deste bairro, que ganhou uma nova animação depois de uma profunda reabilitação dos espaços públicos. A 5 minutos walking distance do metro de S. Sebastião e a 10 minutos driving distance do Colégio Salesianos e Liceu Francês- Charles le Pierre. A 10 minutos do Aeroporto Humberto Delgado de Lisboa.  Categoria Energética: C  ref: 85544.",False,good,False,False,18.0,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Apartamento'}",True,False,False,False,False,False,85544,
33894210,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/47/98/d2/270957166.webp,25,,1620.0,"{'price': {'amount': 1620.0, 'currencySuffix': '€/mês'}}",flat,rent,153.0,5,2,Saldanha - Picoas,Lisboa,Arroios,São Jorge de Arroios,pt,Saldanha - Picoas,38.731805,-9.1428598,False,https://www.idealista.pt/imovel/33894210/,571,"Apartamento de 7 assoalhadas (T5+1) de traça antiga, 2º andar (s/elevador),  Tem 6 quartos sendo um deles é interior que pode servir para closet; Cozinha sem equipamento, 2 Wc (um interior e outro na varanda); Tem tectos altos em madeira no corredor e cozinha e trabalhados noutras divisões;  Tem soalho em madeira corrida conservada, varanda grande com vista p/jardim privativo do prédio; Localização excelente, muito perto do Saldanha Residence (parte de trás); a 3 minutos (a pé) do Metro do Saldanha; Nota: Neste momento este apartamento está a ser renovado e prevê-se as visitas a partir de 15/01/2025. Atenção: A marcação das visitas só por mail/ Appointments for visits can only be made by email. Nota 1 - Os senhorios não subarrendamento de qualquer tipo; Nota 2 - Os senhorios só aceitam um casal com ou sem filhos, não aceitam partilhas de amigos ou familiares.  Owners only accept a couple with or without children, they do not accept sharing from friends or family.  Categoria Energética: Isento  ref: APA_400.",False,good,False,False,11.0,{'typology': 'flat'},"{'subtitle': 'Saldanha - Picoas, Lisboa', 'title': 'Apartamento'}",False,False,False,False,False,False,APA_400,
