propertyCode,thumbnail,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,change,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,savedAd,notes,topNewDevelopment,topPlus,externalReference,parkingSpace,newDevelopmentFinished
32250677,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/a2/d2/d6/196332978.webp,13,bj,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mês'}}",flat,rent,108.0,2,1,rua Alexandre Braga,Lisboa,Arroios,São Jorge de Arroios,pt,Estefânia,38.7306753,-9.1394751,False,https://www.idealista.pt/imovel/32250677/,"Apartamento de 4 assoalhadas, situado no rés do chão de um prédio de 1951, o imóvel apresenta uma área bruta de 108 m², com 93 m² úteis, ideal para famílias ou grupos que desejam um espaço acolhedor. Cozinha equipada com fogão e extrator. E um de quintal de 30 m². Localizado numa zona de comércio, serviços e transportes. Condições de arrendamento: Condições de Arrendamento: Fiador, 3 últimos recibos de vencimento, Irs 2 rendas + 1 caução.",False,good,False,False,11.0,{},{'typology': 'flat'},"{'subtitle': 'Estefânia, Lisboa', 'title': 'Apartamento na rua Alexandre Braga'}",False,False,False,False,{},[],False,False,,,
34123609,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/bf/0e/d2/281450765.webp,17,1,3600.0,"{'price': {'amount': 3600.0, 'currencySuffix': '€/mês'}}",flat,rent,126.0,3,3,São Sebastião da Pedreira,Lisboa,Avenidas Novas,São Sebastião da Pedreira,pt,,38.7361206,-9.1494736,False,https://www.idealista.pt/imovel/34123609/,"Apartamento T3 com 126 m2 de área bruta privativa, um lugar de estacionamento, terraço e arrecadação, inserido no condomínio Luís Bivar 91 com jardim e piscina, nas Avenidas Novas, em Lisboa.  O apartamento conta com ampla sala de 39 m2 com acesso a varanda, cozinha totalmente equipada, três quartos, sendo dois deles em suite, e uma casa de banho.  Arrendado mobiliado. Localizado no centro da cidade, entre o Saldanha e a Gulbenkian, o condomínio resulta de uma reabilitação de dois edifícios e dispõe de espaços exteriores, piscina e sala de condomínio. A 4 minutos wlaking distance do metro Saldanha, a 3 minutos do El Corte Inglês, a 8 minutos do Parque Eduardo VII e a 9 minutos do Jardim da Fundação Calouste Gulbenkian. A 15 minutos driving distance do Aeroporto de Lisboa.  Categoria Energética: B  ref: 86988.",False,good,False,True,29.0,{},{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Apartamento'}",False,False,False,False,{},[],False,False,86988,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
34123590,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/89/9f/44/281450243.webp,20,2,1700.0,"{'price': {'amount': 1700.0, 'currencySuffix': '€/mês'}}",flat,rent,73.0,1,1,Alvalade,Lisboa,Alvalade,Alvalade,pt,,38.7470844,-9.1388641,False,https://www.idealista.pt/imovel/34123590/,"T1 Mobilado Alvalade Trata-se de um apartamento T1 no 2º andar em prédio com elevador. O imóvel é arrendado mobilado e com cozinha totalmente equipada. Os móveis apresentados estão substituídos por linhas direitas. Situado junto ao restaurante “Alga” e à pastelaria/frutaria “Frutalmeidas” na Av. de Roma. No final da rua encontra o Mercado de Alvalade Sul/Mercado do Levante. Com a estação do metropolitano Roma à porta assim como todo o tipo de comércio tão característico do Bairro de Alvalade. Bancos, Pingo Doce, Continente, farmácia, pastelaria, frutaria, lavandaria, etc.. . Faça vida a pé e venha viver numa das mais emblemáticas avenidas de Lisboa, bem no coração do Bairro de Alvalade. **Licença de Utilização Nº 58 de 20/02/1959 emitida pela CML**T1 Furnished Alvalade This is a one-bedroom apartment on the 2nd floor in a building with an elevator. The property is rented furnished and with a fully equipped kitchen. The furniture shown has been replaced with straight lines. Located next to the “Alga” restaurant and the “Frutalmeidas” bakery/fruit shop on Av. de Roma. At the end of the street is the Mercado de Alvalade Sul/Mercado do Levante. The Roma metro station is on the doorstep, as are all the shops that are so characteristic of the Alvalade district. Banks, Pingo Doce, Continente, pharmacy, pastry shop, fruit shop, laundry, etc.. . Make a life on foot and come and live on one of Lisbon's most emblematic avenues, right in the heart of the Alvalade district. **Use Permit Nº 58 issued on the 20/02/1959** Licença de Utilização - **Licença de Utilização Nº 58 de 20/02/1959 emitida pela CML**.",False,good,False,True,23.0,{},{'typology': 'flat'},"{'subtitle': 'Alvalade, Lisboa', 'title': 'Apartamento'}",False,False,False,False,{},[],False,False,123751090-69,,
34123553,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/12/3b/7f/281449907.webp,14,2,3600.0,"{'price': {'amount': 3600.0, 'currencySuffix': '€/mês'}}",flat,rent,160.0,3,3,Lapa,Lisboa,Estrela,Lapa,pt,,38.7119328,-9.1590016,False,https://www.idealista.pt/imovel/34123553/,"Apartamento T3 com 160 m2 de área bruta privativa, dois lugares de garagem e arrecadação, na Lapa, em Lisboa. Inserido em prédio com elevador, o apartamento é composto por sala, cozinha totalmente equipada, três quartos com roupeiro, sendo um deles em suite, e uma casa de banho. Dispõe de ar condicionado e varanda. Localizado em zona tranquila, fica a 5 minutos walking distance da Avenida Infante Santo, próximo do Hospital da CUF, Ministério dos Negócios estrangeiros, miradouro e Tapada das Necessidades, Basílica e Jardim da Estrela, Museu de arte antiga e toda a Zona Ribeirinha. A 10 minutos driving distance da auto-estrada A5 e a 20 minutos do Aeroporto Humberto Delgado de Lisboa  Categoria Energética: C  ref: 86989.",False,good,False,True,23.0,{},{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Apartamento'}",True,False,False,False,{},[],False,False,86989,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
29132708,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/7c/1a/8f/86769982.webp,10,bj,1650.0,"{'price': {'amount': 1650.0, 'currencySuffix': '€/mês'}}",flat,rent,140.0,4,2,Av. de Roma - Campo Pequeno,Lisboa,Areeiro,Av. de Roma - Campo Pequeno,pt,,38.7448311,-9.1440751,False,https://www.idealista.pt/imovel/29132708/,"Apartamento T4 totalmente remodelado numa das zonas mais emblemáticas de Lisboa,  Composto por 4 quartos, 1 sala, cozinha e um pequeno páteo.",False,good,False,True,12.0,{},{'typology': 'flat'},"{'subtitle': 'Areeiro, Lisboa', 'title': 'Apartamento'}",False,False,False,False,{},[],False,False,JN0182021A,,
34123489,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/ae/04/d7/281447320.webp,19,st,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mês'}}",flat,rent,52.0,1,1,rua Jacinto Nunes,Lisboa,Penha de França,Centro,pt,,38.729828,-9.1293239,False,https://www.idealista.pt/imovel/34123489/,"Apartamento T1 transformado em T0, com sala e quarto integrados em open space, totalmente remodelado para oferecer conforto e funcionalidade. A cozinha está completamente equipada com forno, placa de indução, exaustor, micro-ondas, frigorífico e máquinas de lavar louça e roupa. O imóvel é arrendado mobilado e inclui acesso a um espaço exterior comum ao prédio, ideal para momentos de descontração. Dispõe de ar condicionado.    Condições de Arrendamento:  Fiador obrigatório.  Prova de rendimentos através de IRS e recibos de vencimento.  Pagamento de renda e caução no ato de contrato.  Contacte-nos para mais informações ou para agendar uma visita. Uma oportunidade única para viver num espaço moderno e funcional!",False,good,False,True,23.0,{},{'typology': 'flat'},"{'subtitle': 'Penha de França, Lisboa', 'title': 'Apartamento na rua Jacinto Nunes'}",True,False,False,False,{},[],False,False,305.002.005,,
33700960,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/c5/1e/b9/259275321.webp,10,,1650.0,"{'price': {'amount': 1650.0, 'currencySuffix': '€/mês'}}",flat,rent,94.0,1,1,rua da Assunção,Lisboa,Santa Maria Maior,Baixa,pt,,38.7114775,-9.1408911,False,https://www.idealista.pt/imovel/33700960/,"Elegante T1 + 1 decorado com extremo bom gosto, a cozinha está totalmente equipada com eletrodomésticos modernos, incluindo máquina de lavar louça, exaustor, fogão, forno e frigorífico combinado, garantindo o máximo conforto e praticidade. Localização Premium: Situado numa das zonas mais charmosas e prestigiadas de Lisboa, entre a Baixa e o Chiado, este apartamento oferece o melhor da cidade. A poucos passos das principais avenidas e rodeado por uma vasta oferta de serviços, lojas, restaurantes e cultura, este é o local perfeito para quem procura viver com estilo e conveniência. Além disso, a proximidade a excelentes vias de transporte torna este imóvel ainda mais atraente. Se procura um apartamento que combine conforto, sofisticação e uma localização central, este é o lugar certo para si! Para mais informações ou agendamento de visitas, entre em contacto connosco. A nossa equipa especializada está à disposição para ajudá-lo em todas as etapas!",False,good,False,True,18.0,{},{'typology': 'flat'},"{'subtitle': 'Santa Maria Maior, Lisboa', 'title': 'Apartamento na rua da Assunção'}",False,False,False,False,{},[],False,False,LX - 2123,,
34123408,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/96/a8/5e/281444447.webp,23,1,2400.0,"{'price': {'amount': 2400.0, 'currencySuffix': '€/mês'}}",flat,rent,78.0,1,1,Calçada da Estrela,Lisboa,Estrela,Lapa,pt,,38.712216,-9.1535206,False,https://www.idealista.pt/imovel/34123408/,"Descubra o conforto e a elegância deste magnífico apartamento T1, totalmente mobilado e equipado, localizado no prestigiado bairro da Lapa, em Estrela. Com um pé-direito alto e uma decoração requintada, cada detalhe foi cuidadosamente pensado para proporcionar uma experiência de vida sofisticada, aliando charme clássico a comodidades modernas. Características do Imóvel: Composição: Cozinha moderna e totalmente equipada Casa de banho elegante Sala de estar e jantar espaçosa Quarto aconchegante Destaques e Comodidades: Ar condicionado para máximo conforto térmico Elevador para maior comodidade Localização Privilegiada Situado num dos bairros mais emblemáticos e exclusivos de Lisboa, este imóvel encontra-se a poucos passos de Campo de Ourique, do Mercado da Ribeira (Timeout Market), do Chiado e da Avenida da Liberdade. A sua proximidade a escolas internacionais, jardins encantadores como o Jardim da Estrela e a Tapada das Necessidades, bem como a uma excelente rede de transportes públicos, torna esta uma oportunidade única para quem procura um estilo de vida sofisticado e conveniente. Condições:   - Contrato mínimo de 1 ano, renovável;   - 2 rendas + 2 cauções;  - Contas não incluídas; - Garagem opcional ( + 200€/mês) Uma oportunidade imperdível no coração de Lisboa! Agende já a sua visita!",True,good,False,True,31.0,{},{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Apartamento em Calçada da Estrela'}",True,False,False,False,{},[],False,False,,,
34123397,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/6f/3a/d1/281443625.webp,23,en,2400.0,"{'price': {'amount': 2400.0, 'currencySuffix': '€/mês'}}",flat,rent,145.0,4,2,rua do Salitre,Lisboa,Santo António,Rato - Amoreiras,pt,,38.7190692,-9.1528307,False,https://www.idealista.pt/imovel/34123397/,"Apartamento T4 em Zona Nobre – Entre o Rato e a Avenida da Liberdade Descubra este magnífico Apartamento T4, localizado numa das zonas mais privilegiadas de Lisboa. Situado numa rua tranquila, entre o Rato e a Avenida da Liberdade, este imóvel oferece proximidade a comércio, serviços e transportes públicos, garantindo um estilo de vida prático e sofisticado. � Edifício de excelente qualidade � Muita luz natural e vistas desafogadas Composição do Apartamento: ✔ Grande salão – Espaço amplo e elegante para receber convidados. ✔ 4 Quartos – Ideais para uma família ou para quem valoriza espaço extra. ✔ 2 Casas de banho – Funcionais e bem distribuídas. ✔ 2 Halls – Que proporcionam uma circulação fluida e harmoniosa. ✔ Cozinha totalmente equipada – Para que nada lhe falte no dia a dia. � Convidamo-lo a visitar e a descobrir o charme deste espaço único! A Freguesia de São Mamede Esta zona de Lisboa combina o melhor da arquitetura histórica com projetos contemporâneos, consolidando-se como um ponto de interesse cultural e patrimonial. Destacam-se: � Edifícios pré-pombalinos e contemporâneos, num equilíbrio perfeito entre tradição e modernidade. � O percurso romântico da cidade, inserido na icónica ""Sétima Colina"". � O conjunto fabril e residencial das Amoreiras, um testemunho do passado industrial da cidade. �♂️ A Rua do Salitre e o bairro Barata Salgueiro, que preservam o charme e a atmosfera do início do século XX. � Uma oportunidade imperdível de viver no coração de Lisboa! Se precisar de ajustes ou quiser destacar algum detalhe extra, estou à disposição! �.",True,good,False,False,17.0,{},{'typology': 'flat'},"{'subtitle': 'Santo António, Lisboa', 'title': 'Apartamento na rua do Salitre'}",False,False,False,False,{},[],False,False,13803,,
34123370,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/e7/b1/97/281439805.webp,26,bj,2300.0,"{'price': {'amount': 2300.0, 'currencySuffix': '€/mês'}}",flat,rent,78.0,1,1,rua Miguel Lupi,Lisboa,Estrela,Lapa,pt,,38.712308,-9.1554093,False,https://www.idealista.pt/imovel/34123370/,"Descubra o conforto e a elegância deste magnífico apartamento T1, totalmente mobilado e equipado, localizado no prestigiado bairro da Lapa, em Estrela. Com um pé-direito alto e uma decoração requintada, cada detalhe foi cuidadosamente pensado para proporcionar uma experiência de vida sofisticada, aliando charme clássico a comodidades modernas. Características do Imóvel: Composição: Cozinha moderna e totalmente equipada Casa de banho elegante Sala de estar e jantar espaçosa Quarto aconchegante Destaques e Comodidades: Ar condicionado para máximo conforto térmico Elevador para maior comodidade Localização Privilegiada Situado num dos bairros mais emblemáticos e exclusivos de Lisboa, este imóvel encontra-se a poucos passos de Campo de Ourique, do Mercado da Ribeira (Timeout Market), do Chiado e da Avenida da Liberdade. A sua proximidade a escolas internacionais, jardins encantadores como o Jardim da Estrela e a Tapada das Necessidades, bem como a uma excelente rede de transportes públicos, torna esta uma oportunidade única para quem procura um estilo de vida sofisticado e conveniente. Condições:   - Contrato mínimo de 1 ano, renovável;   - 2 rendas + 2 cauções;  - Contas não incluídas; - Garagem opcional ( + 200€/mês) Uma oportunidade imperdível no coração de Lisboa! Agende já a sua visita!",True,good,False,True,29.0,{},{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Apartamento na rua Miguel Lupi'}",True,False,False,False,{},[],False,False,,,
