propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,change,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,savedAd,notes,topNewDevelopment,topPlus,parkingSpace,neighborhood
34146553,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/0b/8c/07/282365540.webp,027250026,11,2,1250.0,"{'price': {'amount': 1250.0, 'currencySuffix': '€/mês'}}",flat,rent,50.0,1,1,Centro,Lisboa,Ajuda,Centro,pt,38.7041451,-9.196375,False,https://www.idealista.pt/imovel/34146553/,Apartamento de 2 assoalhadas com área privativa de 50m². Cozinha totalmente equipada. Mobilado. Varanda. Localizado na Ajuda.,False,good,False,False,25.0,{},{'typology': 'flat'},"{'subtitle': 'Ajuda, Lisboa', 'title': 'Apartamento'}",False,False,False,False,{},[],False,False,,
34146530,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/81/7e/91/282364706.webp,PMR360023,24,6,1350.0,"{'price': {'amount': 1350.0, 'currencySuffix': '€/mês'}}",flat,rent,90.0,2,1,Centro,Lisboa,Lumiar,Centro,pt,38.7728957,-9.1641003,False,https://www.idealista.pt/imovel/34146530/,"Apartamento T2 mobilado, com estacionamento, para arrendamento no Lumiar. Licença de Utilização nº 120, emitida pela CM Lisboa em 21/06/1977. Este apartamento, em excelente estado de conservação e com muita luminosidade, totalmente mobilado, fica localizado no centro do Lumiar. O apartamento é composto sala, cozinha totalmente equipada com placa, frigorífico, termoacumulador, máquina de lavar roupa e máquina de secar roupa, 2 quartos com roupeiro, e 1 casa de banho completa com banheira. Tem ainda roupeiros ao longo do corredor e despensa. Está equipado com aquecimentos elétricos e ar condicionado no quarto principal. A caixilharia é dupla, com vidros duplos. Um lugar de estacionamento. Prédio de excelente construção, com porteiro residente. Tem ao dispor na zona pastelarias, restaurantes, mercearias, talho, supermercados Pingo Doce e Minipreço, Modelo Continente (a poucos minutos), Centro Comercial do Lumiar, ginásio Fitness Hut, Clínica do Lambert, Finanças do Lumiar, Bancos, além de todo o tipo de comércio local. Junto ao Parque da Quinta das Conchas e dos Lilazes, onde pode desfrutar de passeios ao ar livre e momentos de lazer. Junto à Escola Primária e Secundária do Lumiar (Agrupamento Lindley Sintra) e próximo aos Colégios São João de Brito, São Tomás, Academia de Música de Santa Cecília e Institutos ISTEC e IPA. Muito bem servido de transportes, nomeadamente autocarros para o centro de Lisboa e Odivelas, e metro do Lumiar (linha amarela), além de excelentes acessos para quem se desloca de automóvel. Não perca esta oportunidade. Marque já a sua visita. Licença de utilização: 120.",False,good,False,True,15.0,{},{'typology': 'flat'},"{'subtitle': 'Lumiar, Lisboa', 'title': 'Apartamento'}",True,False,False,False,{},[],False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
34146494,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/f4/7e/4f/282364004.webp,LIS-385,18,4,1390.0,"{'price': {'amount': 1390.0, 'currencySuffix': '€/mês'}}",flat,rent,44.0,1,1,rua Domingos Sequeira,Lisboa,Estrela,Lapa,pt,38.715579,-9.1622926,False,https://www.idealista.pt/imovel/34146494/,"Este apartamento totalmente equipado e mobilado está disponível a partir de 11-04-2025. Oferecemos preços personalizados para qualquer duração. O preço anunciado pode variar em função das datas de entrada e saída preferidas. Desbloqueie a nossa melhor tarifa a partir de 1390/mês para estadias entre 11/4 e 11/4 Visite o nosso sítio Web para ver todas as tarifas disponíveis para as suas datas preferidas. *Os preços apresentados: (1) pressupõem a entrada no primeiro dia em que a unidade ficar disponível, (2) aplica-se apenas se o pagamento for feito antecipadamente, o preço pode ser mais elevado se múltiplos pagamentos forem faturados, (3) não inclui impostos e/ou custos de água, gás, eletricidade, internet e TV. Descubra o melhor da Lisbon com este apartamento T1 Estrela com vista sobre o. Basta aparecer e começar a viver neste apartamento encantador Blueground mobilado com a sua cozinha totalmente equipada, sala de estar acolhedor, e o nosso dedicado apoio no local. (ID  LIS385) Concebido a pensar em si Concebido com inteligência, com acabamentos personalizados, móveis modernos e cozinha totalmente equipada, poderá desfrutar daquela sensação de ""estar em casa"" com este apartamento Blueground. Quer esteja na sua sala de estar agradável a ver o mais recente e melhor programa de entretenimento na televisão inteligente ou a ouvir os altifalante sem fios premium, ou a ter um descanso bem merecido no colchão de qualidade superior com lençóis de linho de luxo, vai apaixonar-se por tudo o que este apartamento Estrela tem para oferecer. Este imóvel tem lavandaria no apartamento. Alojamento  Cama de casal, 140cm/55in Comodidades As comodidades do edifício exclusivas deste apartamento T1 incluem:  - Porteiro  - Máquina de Secar Roupa  - Elevador  - Piscina  - Máquina de lavar loiça Chegada e apoio contínuo O apartamento inteiro é todo seu para desfrutar! Será recebido pessoalmente por um membro da equipa Blueground ou receberá instruções de check-in quando se mudar. Durante toda a sua estadia, poderá contactar a nossa equipa de Client Experience através da aplicação Blueground. Partilharemos todos os detalhes após recebermos confirmação da sua estadia. Ubicación ideal A Estrela é uma bela freguesia junto ao rio, no centro de Lisboa. A freguesia situa-se dentro do centro histórico da cidade. A Estrela alberga igualmente inúmeras atrações turísticas, como o Museu Nacional de Arte Antiga e o Museu da Marioneta, um museu de marionetas único. A zona conta igualmente com uma variedade de bares, cafés, hotéis e restaurantes. Pode provar pratos internacionais num restaurante de fusão ou comer marisco com vista para o rio. Também pode visitar a Tapada das Necessidades, que conta com um extraordinário jardim de catos! Outros aspetos a salientar As comodidades do edifício podem ter um custo extra. Este apartamento Blueground pode ser reservado por um mínimo de um mês, por um ano ou mais.",False,good,False,True,32.0,{},{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Apartamento na rua Domingos Sequeira'}",True,True,False,False,{},[],False,False,,
33774927,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/17/e7/19/282362940.webp,1649-01616,39,2,2000.0,"{'price': {'amount': 2000.0, 'currencySuffix': '€/mês'}}",flat,rent,128.0,3,3,"rua Manuel Marques, 5",Lisboa,Lumiar,Alto do Lumiar - Quinta das Conchas - Quinta do Lambert,pt,38.7643552,-9.15394,True,https://www.idealista.pt/imovel/33774927/,"Apartamento com 4 assoalhadas para ARRENDAMENTO NA ALTA DE LISBOA-LUMIAR com 116m²(área bruta privativa). Com uma boa exposição solar e bom estado de conservação este imóvel destaca-se pela suas áreas e luminosidade, é ideal para quem procura comodidade e proximidade de serviços essenciais.  Características do Imóvel:  *Sala ampla com 26 mt2 * 3 quartos, uma suite,  * 3 Wc´s, sendo um deles a suite, outro com banheira, e outro com sanita e lavatório * Cozinha ampla e equipada, Marquise. * Roupeiro na zona de circulação para otimização de espaço. * Boa divisão de ambientes entre o social, sala, cozinha, hall e wc social e o privado, quartos e respetivas casas de banho.  *Arrecadação para maior arrumação e elevador.  *garagem com lugar de estacionamento;  Com tudo perto de si, serviços, transportes, cafés, farmácias, hospitais, aeroporto, e supermercados de grande superfície, tem ainda nas proximidades, o Colégio São João de Brito, o Colégio São Tomás e a Academia de Música de Santa Cecília, existindo ainda escolas públicas a poucos metros. Ainda a referir que está apenas a 2km do aeroporto de Lisboa e a poucos minutos de todos os acessos rodoviários de ligação principal em Lisboa.  Imensas zona para praticar desporto ao ar Livre (quinta das conchas) Ideal para quem quer escapar ao stress do ritmo acelerado da vida sem ter de sair da cidade e ao mesmo tempo encontrar a qualidade de vida que procura.  Agende a sua visita! A sua felicidade é a nossa prioridade! As MELHORES HISTÓRIAS COMEÇAM AQUI!",False,good,False,True,16.0,{},{'typology': 'flat'},"{'subtitle': 'Lumiar, Lisboa', 'title': 'Apartamento na rua Manuel Marques, 5'}",False,False,False,False,{},[],False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False}",
34146434,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/c5/1c/1e/282362678.webp,W-02ZGMM,27,,2500.0,"{'price': {'amount': 2500.0, 'currencySuffix': '€/mês'}}",flat,rent,169.0,4,2,Lapa,Lisboa,Estrela,Lapa,pt,38.7087984,-9.1619154,False,https://www.idealista.pt/imovel/34146434/,"Apartamento bem localizado e numa zona muito tranquila, está parcialmente mobilado, muito espaçoso, bem iluminado, em bom estado e pronto a habitar. Tem 4 quartos, sendo um deles com casa de banho em suite e outro mais pequeno que também pode ser utilizado como escritório. Tem também uma casa de banho separada com duche. Por fim, o apartamento tem um jardim que está à disposição de todos os habitantes do edifício. A atual freguesia da Estrela em Lisboa, é uma pequena freguesia pertencente a esta bela cidade, possuidora de um dinamismo e diversidade cultural e religiosa verdadeiramente incontornáveis. A Estrela agrega as antigas freguesias da Lapa, Prazeres e Santos-o-Velho, indo desde a beira-rio até à zona da Basílica. Foi exatamente a Basílica da Estrela que deu o seu nome à freguesia e também a toda a sua envolvente, um convento construído em homenagem a Nossa Senhora da Estrela, em 1572, onde hoje se edifica o Hospital Militar Principal. Um estudo recente aponta esta zona da cidade como a segunda mais exclusiva de Lisboa, escolhida para local de habitação pelas famílias de rendimentos mais elevados da classe média-alta. Desde sempre esta zona foi escolhida pelas famílias mais distintas e abastadas, existindo ainda hoje vários palacetes que foram pertença dessas famílias. A zona da Estrela é uma das mais centrais de Lisboa, localizando-se no coração da cidade. É nesta zona que se localiza nomeadamente a Assembleia da República e o Palácio de S. Bento, residência oficial do Primeiro-ministro.  Categoria Energética: C  ref: W-02ZGMM.",False,good,False,False,15.0,{},{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Apartamento'}",False,False,False,False,{},[],False,False,,
34146328,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/4b/05/08/282357949.webp,,8,5,2400.0,"{'price': {'amount': 2400.0, 'currencySuffix': '€/mês'}}",flat,rent,160.0,2,1,Alto dos Moinhos,Lisboa,São Domingos de Benfica,Alto dos Moinhos,pt,38.745184,-9.1786506,False,https://www.idealista.pt/imovel/34146328/,"Apartamento T2 Benfica inserido em Condomínio junto ao Estádio Sport Lisboa e Benfica. Alto dos Moinhos Benfica. Imóvel Semi novo com pintura novae mobiliário de alta gama  Localização Lisboa Benfica próximo do Metro do Alto dos Moinhos e Estádio da Luz. Arquitetura Contemporânea e linhas elegantes. Escolha criteriosa de materiais. Exigentes requisitos de conforto, nobreza de acabamentos. Garagem com tomada elétrica para carregamento de viaturas elétricas. Arrecadação. O apartamento dispõe de pavimento madeira. Cozinha alta gama equipada completa. Electrodomésticos de alta Gama, Ar condicionado. Estores eléctricos, isolamento térmico e acústico. Servido de uma extensa rede de acessibilidades, transportes públicos, esta próximo do aeroporto, dos principais eixos rodoviários de Lisboa e de uma larga oferta de serviços e lazer. Proximidade Centro Comercial Colombo, Hospitais, Ginásio, Colégios e Comercio. O apartamento está inserido num empreendimento em Lisboa Benfica oferecendo uma qualidade de vida incomparável. Características específicas do apartamento  Mobilado Completo. Mobília Nova de Alta Gama. Hall de entrada com luzes embutidas. Pavimento madeira  Vidros duplos com isolamento térmico e acústico. Pavimento madeira. Ar condicionado. Mobília de sala de estar e jantar nova completa. Uma Master Suite com closet e casa de banho privativa completa com hidromassagem. O quarto dispõe de ar condicionado, vidros duplos. Pavimento madeira. Um segundo quarto de apoio com roupeiro embutido. Mobília Nova pavimento madeira. Uma segunda casa de banho completa com hidromassagem. Apartamento luminosidade. Mobilado com requinte e bom gosto. Envio de fotos completas e informações se solicitado. Obrigada pela atenção.",False,good,False,True,15.0,{},{'typology': 'flat'},"{'subtitle': 'São Domingos de Benfica, Lisboa', 'title': 'Apartamento em Alto dos Moinhos'}",False,False,False,False,{},[],False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
34146335,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/5a/be/af/282356265.webp,APA_23_RENT (2),30,1,6500.0,"{'price': {'amount': 6500.0, 'currencySuffix': '€/mês'}}",flat,rent,230.0,3,3,Lapa,Lisboa,Estrela,Lapa,pt,38.7049318,-9.1634982,False,https://www.idealista.pt/imovel/34146335/,"A Feraboli Real Estate apresenta este elegante e moderno apartamento de 3 quartos com 230 m² em prédio de 3 andares, onde cada andar possui apenas um apartamento. Esta propriedade é composta por uma espaçosa sala de estar com terraço, cozinha equipada com entrada de serviço e lavandaria, e 3 suítes, cada uma com casa de banho privativa. Localizado numa das melhores zonas da cidade, próximo de embaixadas e a 100 metros do Museu de Arte Antiga e do Hotel Lapa Palace. Este apartamento possui acabamentos de luxo e esta oferta é complementada por 1 lugar de estacionamento. Apartamento projetado pelo prestigiado arquiteto Carrilho da Graça. Para mais informações, por favor contacte o nosso Gabinete Privado. Certificação Energética: B ref: APA_23_RENT (2).",True,good,False,True,28.0,{},{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Apartamento'}",True,False,False,False,{},[],False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
34146200,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/b4/39/76/282355277.webp,KWPT-014530,30,3,2500.0,"{'price': {'amount': 2500.0, 'currencySuffix': '€/mês'}}",flat,rent,108.0,3,2,"rua Tenente Ferreira Durão, 30",Lisboa,Campo de Ourique,Centro,pt,38.718037,-9.1673231,True,https://www.idealista.pt/imovel/34146200/,"T3 Mobilado e Equipado com Garagem – Campo de Ourique Apartamento T3 disponível para arrendamento no coração de Campo de Ourique, um dos bairros mais carismáticos e completos de Lisboa. Localizado num prédio moderno com elevador, este imóvel destaca-se pelo conforto, funcionalidade e excelente localização. Totalmente mobilado e equipado, o apartamento inclui ar condicionado em todas as divisões, proporcionando um ambiente agradável durante todo o ano. A sala é espaçosa e luminosa, ideal para momentos de convívio ou relaxamento, e a cozinha está equipada com todos os eletrodomésticos essenciais. Os três quartos oferecem boas áreas e arrumação, sendo perfeitos para famílias ou quem privilegia espaço adicional para escritório ou visitas. Inclui ainda um lugar de garagem — uma mais-valia rara nesta zona tão central. Viver em Campo de Ourique é ter tudo à porta: comércio tradicional, pastelarias icónicas como a ""Padaria Portuguesa"" ou a ""Pastelaria Aloma"", o Mercado de Campo de Ourique, escolas de referência (como o Redbridge School ou o Liceu Francês), espaços verdes e uma vibrante vida de bairro. Com excelentes acessos e uma atmosfera acolhedora, é o equilíbrio perfeito entre a vida urbana e o ambiente familiar. Não perca esta oportunidade de viver num dos bairros mais procurados de Lisboa! Este anúncio foi efetuado por uma rotina informática, todos os dados carecem de validação com a equipa comercial. [EN] Furnished 3-Bedroom Apartment with Parking – Campo de Ourique Spacious and fully furnished 3-bedroom apartment for rent in the heart of Campo de Ourique, one of Lisbon’s most charming and sought-after neighborhoods. Located in a modern building with an elevator, this property combines comfort, functionality, and an unbeatable location. The apartment is fully equipped and includes air conditioning in every room, ensuring year-round comfort. The bright and inviting living room is perfect for relaxing or entertaining, and the kitchen comes with all essential appliances. The three bedrooms are well-sized, offering plenty of space and storage — ideal for families, remote workers, or anyone needing extra room. A private parking space is also included — a rare find in such a central area. Living in Campo de Ourique means having everything within walking distance: traditional shops, iconic bakeries like Padaria Portuguesa and Pastelaria Aloma, the popular Campo de Ourique Market, top-rated schools (including Redbridge School and the French Lycée), green spaces, and a vibrant community feel. With excellent public transport and a welcoming atmosphere, it’s the perfect balance between city living and a neighborhood vibe. Don’t miss the chance to live in one of Lisbon’s most desirable locations!",False,good,False,True,23.0,{},{'typology': 'flat'},"{'subtitle': 'Campo de Ourique, Lisboa', 'title': 'Apartamento na rua Tenente Ferreira Durão, 30'}",True,False,False,False,{},[],False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
34146289,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/52/12/42/282352270.webp,88123,30,2,3000.0,"{'price': {'amount': 3000.0, 'currencySuffix': '€/mês'}}",flat,rent,194.0,2,1,Alfama,Lisboa,Santa Maria Maior,Alfama,pt,38.7097676,-9.1293587,False,https://www.idealista.pt/imovel/34146289/,"Apartamento T2+2 com 194 m2 de área bruta privativa, recentemente renovado, localizado no histórico bairro de Alfama, no centro de Lisboa. Num edifício reabilitado, o apartamento foi alvo de renovação e encontra-se em bom estado de conservação, mantendo o charme e a autenticidade característicos desta zona emblemática da cidade.  O apartamento é composto por uma ampla sala de estar com 35 m2, beneficiando de excelente luz natural, uma sala de jantar com 20 m2 e um versátil escritório de 15 m2 que pode ser facilmente adaptado para diversas utilizações. A cozinha, totalmente equipada, tem 18 m² e inclui uma zona de refeições. Os dois quartos principais, ambos em suite, têm respetivamente 22 m2 e 20 m2, sendo que um deles dispõe de uma zona de closet com 8 m2. Conta ainda com dois espaços flexíveis de 15 m² cada, que podem ser utilizados como quartos adicionais ou adaptados conforme as necessidades do proprietário. Duas casas de banho completas, com 6 m2 cada, complementam a distribuição do espaço. De destacar os materiais de qualidade e os detalhes em todo o apartamento.  Localizado no coração de Alfama, conhecido pelas suas ruas estreitas, escadarias e miradouros com vista panorâmica para o rio Tejo, zona com ampla oferta de comércio, serviços e transportes, a 12 minutos a pé da estação de Santa Apolónia. A 10 minutos a pé da Praça do Comércio, Mercado de Santa Clara, Castelo de São Jorge, da Sé de Lisboa, da Doca da Marinha e da Estação do Terreiro do Paço. A 15 minutos do Cais do Sodré, com ampla oferta de transportes, serviços e comércio. A 20 minutos de carro do Aeroporto Humberto Delgado, em Lisboa.  Categoria Energética: C  ref: 88123.",False,good,False,False,15.0,{},{'typology': 'flat'},"{'subtitle': 'Santa Maria Maior, Lisboa', 'title': 'Apartamento'}",True,False,False,False,{},[],False,False,,
34146175,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/ee/66/15/282350708.webp,0651-05708,46,3,2500.0,"{'price': {'amount': 2500.0, 'currencySuffix': '€/mês'}}",flat,rent,162.0,3,3,rua António Alçada Baptista,Lisboa,São Domingos de Benfica,Alto dos Moinhos,pt,38.752633,-9.1805822,False,https://www.idealista.pt/imovel/34146175/,"Descubra este magnífico apartamento T3 na prestigiada Urbanização Benfica Stadium, uma localização privilegiada com fácil acesso a transportes públicos, comércio e serviços. Totalmente mobilado e pronto a habitar, este apartamento destaca-se pelo seu conforto e qualidade, oferecendo: � Hall de entrada com porta blindada, vídeo porteiro, teto falso com iluminação embutida e pavimento flutuante. � Cozinha totalmente equipada, incluindo frigorífico, fogão, forno, micro-ondas, exaustor, esquentador e termoacumulador. Dispõe ainda de mesa, cadeiras e acesso a uma varanda. � Sala espaçosa com pavimento flutuante, ar condicionado, TV e varanda. � Casa de banho social com base de duche e aquecedor de toalhas. � Quarto com roupeiro embutido, ar condicionado, TV, varanda e duas camas de solteiro. � Suite 1 com roupeiro embutido, ar condicionado, TV, cama de casal, varanda e casa de banho com base de duche. � Suite 2 com roupeiro embutido, ar condicionado, TV, cama de casal e casa de banho equipada com banheira de hidromassagem e aquecedor de toalhas. O apartamento conta ainda com caixilharia em PVC com vidros duplos, estores elétricos com corte térmico, aspiração central e dois lugares de parqueamento. Condições de Arrendamento � Pagamento inicial de dois meses de caução e um mês de renda. �Período mínimo de arrendamento de 12 meses � Subarrendamento não permitido. As visitas serão agendadas após pré-qualificação dos interessados, mediante apresentação dos seguintes documentos: � Documento de identificação � Últimos 3 recibos de vencimento ou últimos 6 recibos verdes � Declaração de IRS 2023 e respetiva nota de liquidação � Carta de vínculo laboral emitida pela entidade patronal � Mapa de Responsabilidades de Crédito do Banco de Portugal � Se aplicável, carta de recomendação de senhorios anteriores � Nota: Poderá ser solicitado um fiador consoante a análise da taxa de esforço. Se procura um apartamento confortável, moderno e bem localizado para a sua família, não perca esta oportunidade! � Contacte-nos para mais informações e marque já a sua visita!",False,good,False,True,15.0,{},{'typology': 'flat'},"{'subtitle': 'São Domingos de Benfica, Lisboa', 'title': 'Apartamento na rua António Alçada Baptista'}",False,False,False,False,{},[],False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
