propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,parkingSpace,newDevelopmentFinished,highlight,neighborhood
33926227,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/6e/1b/a6/272434335.webp,LA5005,27,6,3000000.0,"{'price': {'amount': 3000000.0, 'currencySuffix': '€'}}",flat,sale,420.0,7,2,Chiado - Pç. de Camões,Lisboa,Misericórdia,Chiado - Pç. de Camões,pt,38.7093743,-9.1440068,False,https://www.idealista.pt/imovel/33926227/,"Apartamento T7 com magnifica vista Rio e cidade. Apartamento com uma localização única, situado em pleno Chiado com uma vista frontal de rio, com quatro frentes, num único piso, prédio com elevador. O imóvel necessita de reabilitação total. Existe a possibilidade de ter lugares de estacionamento. Nas redondezas vai encontrar comércio tradicional, museus, restaurantes, esplanadas, farmácias, bancos, todo o tipo de serviços, espaços culturas, transportes ( elétrico, autocarros, comboio, metro, barco ), próximo do rio, Bairro Alto, Príncipe Real, Cais do Sodré e Mercado da Ribeira. Localização: Misericórdia Área: 387m² Quartos: 7 Para mais informações contacte-nos. LA.  Categoria Energética: B  ref: LA5005.",False,good,False,False,7143.0,{'typology': 'flat'},"{'subtitle': 'Misericórdia, Lisboa', 'title': 'Apartamento'}",True,False,False,False,False,False,,,,
33942437,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/fd/09/59/273279663.webp,109250011,52,8,1150000.0,"{'price': {'amount': 1150000.0, 'currencySuffix': '€'}}",penthouse,sale,220.0,3,3,Quinta dos Alcoutins,Lisboa,Lumiar,Quinta dos Alcoutins,pt,38.7776905,-9.1653367,False,https://www.idealista.pt/imovel/33942437/,"Penthouse exclusiva na Quinta dos Alcoutins, com piscina privativa e um terraço com vistas de Golf sublimes. Apartamento por estrear, com áreas amplas e bem distribuídas. Cozinha e zona de lavandaria totalmente equipadas, ar condicionado e caixilharias duplas que conferem excelente isolamento térmico e acústico. O apartamento tem imensa luz natural e quatro varandas ao longo da casa. Exposição Nascente/Poente, que confere luz natural durante o dia todo, nomeadamente na zona do terraço. O terraço, de uso exclusivo da fração, com sensivelmente 100m2, é composto por uma piscina privativa e uma zona técnica de apoio. É possível também criar uma zona de casa de banho/lavabos. Além de uma arrecadação com sensivelmente 10m2, dispõem também de 2 lugares de estacionamento bastante espaçosos. Uma oportunidade de investimento única no mercado.",False,good,False,True,5227.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Lumiar, Lisboa', 'title': 'Penthouse'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,
32241777,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/f4/cb/dc/195955595.webp,65151,34,4,635000.0,"{'price': {'amount': 635000.0, 'currencySuffix': '€'}}",flat,sale,143.0,3,3,"rua Pablo Neruda, 5",Lisboa,Santa Clara,,pt,38.7786333,-9.1583396,True,https://www.idealista.pt/empreendimento/32241777/,"Apartamento T3, novo, com 143 m2 de área bruta privativa, 5 varandas e estacionamento, no edifício Luma, no Lumiar, Lisboa. Todos os apartamentos têm acabamentos de requinte, contando com uma vista desafogada sobre a cidade. O Luma é a edificação de uma nova Lisboa cosmopolita que dá uma nova vida à cidade. Com acabamentos que beneficiam o conforto e o requinte, convida os residentes a apreciarem, através das suas varandas, o contraste entre a cidade e os diversos parques característicos da zona. Ao conforto junta-se a conveniência, tendo o empreendimento estacionamento privativo e áreas exteriores comuns com parque infantil, para todos os seus residentes.  A 5 minutos a pé do Parque Oeste da Alta de Lisboa, dos Jardins da Quinta de Sta. Clara, de comércio local e da estação de metro, permitindo a todos os residentes a estarem a poucos minutos do centro da cidade, 6 minutos da Cidade Universitária e a 14 minutos do Marquês de Pombal. Localiza-se, também, a um passeio de 10 minutos de distância das escolas, como o Colégio de São João de Brito e a Academia de Santa Cecília.  O Luma representa uma nova maneira de viver o centro de Lisboa em alta, com todas as comodidades e características de uma vida desafogada na cidade.  Categoria Energética: A  ref: 65151.",False,newdevelopment,True,True,4441.0,{'typology': 'flat'},"{'subtitle': 'Santa Clara, Lisboa', 'title': 'Apartamento na rua Pablo Neruda, 5'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,,
33942410,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/80/e7/4b/273278704.webp,65273,35,11,390000.0,"{'price': {'amount': 390000.0, 'currencySuffix': '€'}}",flat,sale,74.0,1,1,"rua Pablo Neruda, 5",Lisboa,Santa Clara,,pt,38.7786333,-9.1583396,True,https://www.idealista.pt/empreendimento/33942410/,"Apartamento T1, novo, com 74 m2 de área bruta privativa, 3 varandas e estacionamento, no edifício Luma, no Lumiar, Lisboa. Todos os apartamentos têm acabamentos de requinte, contando com uma vista desafogada sobre a cidade. O Luma é a edificação de uma nova Lisboa cosmopolita que dá uma nova vida à cidade. Com acabamentos que beneficiam o conforto e o requinte, convida os residentes a apreciarem, através das suas varandas, o contraste entre a cidade e os diversos parques característicos da zona. Ao conforto junta-se a conveniência, tendo o empreendimento estacionamento privativo e áreas exteriores comuns com parque infantil, para todos os seus residentes.  A 5 minutos a pé do Parque Oeste da Alta de Lisboa, dos Jardins da Quinta de Sta. Clara, de comércio local e da estação de metro, permitindo a todos os residentes a estarem a poucos minutos do centro da cidade, 6 minutos da Cidade Universitária e a 14 minutos do Marquês de Pombal. Localiza-se, também, a um passeio de 10 minutos de distância das escolas, como o Colégio de São João de Brito e a Academia de Santa Cecília.  O Luma representa uma nova maneira de viver o centro de Lisboa em alta, com todas as comodidades e características de uma vida desafogada na cidade.  Categoria Energética: A+  ref: 65273.",False,newdevelopment,True,True,5270.0,{'typology': 'flat'},"{'subtitle': 'Santa Clara, Lisboa', 'title': 'Apartamento na rua Pablo Neruda, 5'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,,
33942308,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/15/f8/95/273273063.webp,KWPT-011200,6,8,1100000.0,"{'price': {'amount': 1100000.0, 'currencySuffix': '€'}}",duplex,sale,224.0,4,4,rua Joaquim Agostinho,Lisboa,Lumiar,Alto do Lumiar - Quinta das Conchas - Quinta do Lambert,pt,38.7643141,-9.1548069,False,https://www.idealista.pt/imovel/33942308/,"Fabulosa Cobertura Duplex com Terraço Apartamento com grandes áreas, em andar alto, na melhor localização do Lumiar. 2 Suites 2 Quartos 2 Salas com saída para Terraço 2 Lugares de Estacionamento Cozinha equipada 1 Arrecadação Modernizado, este apartamento permite uma mudança imediata da sua família. O prédio tem porteiro em todos os dias úteis. Este apartamento localiza-se no final do Campo Grande e aos jardins da Quinta das Conchas. Provavelmente um dos melhores apartamentos, com a melhor relação preço-qualidade, apresentando um valor de venda absolutamente fantástico para esta zona de Lisboa. Este apartamento combina o conforto moderno, com a tranquilidade de um cenário exterior para relaxar e refeições com a família e amigos. Servido por duas estações de Metro, este bairro de Lisboa tem todo o comércio local necessário a uma zona residencial. Próximo de escolas públicas e privadas de referência, como Os Colégios São João de Brito, Planalto. A localização do Colégio Alemão e do Colégio Mira Rio é também a distância muito curta. Hospitais e Clínicas privadas dão a segurança necessária a uma vivência familiar. Não perca esta oportunidade e agende a sua visita a esta cobertura duplex.",False,good,False,True,4911.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Lumiar, Lisboa', 'title': 'Duplex na rua Joaquim Agostinho'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,{'groupDescription': 'Destaque'},
33942200,https://img4.idealista.pt/blur/WEB_LISTING/90/id.pro.pt.image.master/35/3c/3c/273266966.webp,05,25,bj,224000.0,"{'price': {'amount': 224000.0, 'currencySuffix': '€'}}",flat,sale,40.0,1,1,"praceta Dom João de Castro, 4",Lisboa,Ajuda,Rio Seco - Casalinho,pt,38.7046121,-9.1909654,True,https://www.idealista.pt/imovel/33942200/,"Apartamento T1 totalmente remodelado na Ajuda! Descubra este encantador apartamento T1, situado no coração da Ajuda, Lisboa, perto das faculdades de medicina veterinária, faculdade de arquitetura da universidade de Lisboa, instituto superior de Agronomia, Universidade de Lisboa e também do Hospital Egas Moniz, totalmente remodelado e pronto a habitar. Com 39 m² de área bruta privativa, este imóvel destaca-se pelos seus acabamentos modernos e de qualidade. O prédio conta com elevador e acesso adaptado para pessoas com mobilidade reduzida, garantindo conforto e acessibilidade para todos. A cozinha está completamente equipada com placa, forno, exaustor, termoacumulador, ideal para quem aprecia praticidade no dia a dia. Os ambientes são amplos e bem distribuídos, proporcionando uma sensação de espaço e luminosidade. Construído em 1977, o apartamento FOI TOTALMENTE REMODELADO e oferece ainda uma arrecadação para maior comodidade. Toda a rede de água e parte de elétrica foram substituídas e conta ainda com janelas de vidros espelhados para uma maior privacidade. Fácil estacionamento - Nas traseiras do prédio encontra-se um parque de estacionamento com bastantes lugares, habitualmente usado pelos moradores desta zona. Com classe energética C, é uma excelente oportunidade para quem procura um lar acolhedor e funcional numa localização privilegiada. Não percas esta chance de viver num dos bairros mais autênticos de Lisboa! Imobiliárias: Se tiverem cliente interessado neste imóvel entrem em contacto connosco!",False,good,False,True,5600.0,{'typology': 'flat'},"{'subtitle': 'Ajuda, Lisboa', 'title': 'Apartamento na praceta Dom João de Castro, 4'}",True,False,False,False,False,False,,,,
33860442,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/81/4c/c5/268830831.webp,JG1595,24,,1275000.0,"{'price': {'amount': 1275000.0, 'currencySuffix': '€'}}",flat,sale,282.0,4,4,Torre de Belém,Lisboa,Belém,Torre de Belém,pt,38.6990675,-9.2093604,False,https://www.idealista.pt/imovel/33860442/,"Excelentes apartamentos T4 em condomínio de luxo no Restelo, com terraço comum, com piscina, sauna, ginásio, bar, etc. Apartamentos T4 com 281,5 m2 e Vista Tejo com um terraço com 28 m2. Possui um Hall com 6 m2, uma sala com 56 m2, uma suite com 20 m2 (com casa de banho com 6 m2), uma suite com 19 m2 (com casa de banho com 5 m2), um closet 5 m2, 2 quartos com 15 e 14 m2, respetivamente, uma casa de banho completa com 5 m2, uma casa de banho social com 4 m2, uma cozinha equipada com 19 m2 com despensa 3 m2.  Prédio no Restelo, situado em plena encosta do Alto do Restelo, hoje, uma das zonas nobres da cidade. O edifício, inovador, é equipado com duas piscinas, balneários, sauna romana, ginásio e com vista panorâmica das mais deslumbrantes da cidade. Três lugares de estacionamento. Os apartamentos têm segurança 24 horas. Existem apartamentos com as seguintes áreas e valores: Área 281 m2 1 275,000 Área 286 m2 2 125 000€ Venha Visitar e deslumbre-se!  Categoria Energética: A  ref: JG1595.",False,good,False,True,4521.0,{'typology': 'flat'},"{'subtitle': 'Belém, Lisboa', 'title': 'Apartamento'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,
33942114,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/06/6c/c2/273264140.webp,C0246-03275,36,,390000.0,"{'price': {'amount': 390000.0, 'currencySuffix': '€'}}",flat,sale,100.0,2,1,"Calçada de Palma de Baixo, 21",Lisboa,São Domingos de Benfica,Laranjeiras,pt,38.7460751,-9.1683501,True,https://www.idealista.pt/imovel/33942114/,"Este acolhedor apartamento de 2 quartos com 4 assoalhadas está localizado na tranquila e charmosa freguesia das Laranjeiras, um bairro que oferece o equilíbrio perfeito entre a serenidade e a conveniência da vida urbana. É ideal para quem procura um espaço confortável, bem localizado e com acesso fácil a tudo o que a cidade tem para oferecer. Este apartamento conta com uma ampla sala de estar, dois quartos, cozinha e casa de banho. Além disso, o imóvel dispõe ainda de um logradouro, excelente para desfrutar de momentos de lazer ao ar livre ou simplesmente relaxar. A localização é um dos maiores destaques. O bairro das Laranjeiras é conhecido por ser uma zona calma, com ruas arborizadas e ao mesmo tempo cercada de comércio, supermercados, restaurantes e outros serviços essenciais. Tudo o que você precisa está a uma curta distância a pé. A proximidade com transportes públicos facilita o acesso a outras áreas da cidade, tornando o deslocamento rápido e conveniente. Este apartamento oferece não só conforto, mas também a comodidade de viver numa área que combina a tranquilidade residencial com a praticidade do comércio e serviços ao redor. Uma excelente oportunidade para quem deseja viver bem em Lisboa. Entre em contacto para mais informações e agendar uma visita. Todo o acompanhamento pré e pós escritura. Intermediários de Crédito: ""NOVO BANCO, SA; BANCO BPI, SA; BANCO SANTANDER TOTTA, SA; BANKINTER, SA; CAIXA GERAL DE DEPÓSITOS, SA; UNION DE CRÉDITOS INMOBILIÁRIOS, SA; ESTABLECIMIENTO FINANCIERO DE CRÉDITO (SOCIEDAD UNIPERSONAL). Registados junto do Banco de Portugal.",False,good,False,False,3900.0,{'typology': 'flat'},"{'subtitle': 'São Domingos de Benfica, Lisboa', 'title': 'Apartamento em Calçada de Palma de Baixo, 21'}",True,False,False,False,False,False,,,,
33942143,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/67/49/b3/273262951.webp,135652,9,3,339500.0,"{'price': {'amount': 339500.0, 'currencySuffix': '€'}}",flat,sale,48.0,1,1,Estefânia,Lisboa,Arroios,São Jorge de Arroios,pt,38.7272112,-9.1349829,False,https://www.idealista.pt/imovel/33942143/,"Apartamento T1 Remodelado no Centro de Lisboa Apresentamos um excelente apartamento T1 totalmente remodelado, situado no coração de Lisboa, com uma localização privilegiada que oferece acesso fácil e rápido a todas as comodidades e serviços da cidade. Este imóvel é ideal para quem procura um espaço moderno, confortável e bem localizado, seja para habitação própria ou investimento O apartamento dispõe de uma área útil de 50m², bem distribuída e aproveitada ao máximo, criando um ambiente acolhedor e funcional. A remodelação de alta qualidade inclui acabamentos modernos e sofisticados, que se destacam pela atenção aos detalhes e pela utilização de materiais de primeira linha. A casa apresenta uma combinação perfeita entre o charme dos espaços urbanos e a funcionalida O quarto, com boas dimensões, é calmo e tranquilo, oferecendo o ambiente ideal para descansar após um longo dia. A casa de banho também foi completamente renovada, com louças modernas e acabamentos de qualidade, proporcionando todo o conforto e funcionalidades. Não perca esta oportunidade e marque hoje mesmo a sua visita. ref: 135652.",False,good,False,,7073.0,{'typology': 'flat'},"{'subtitle': 'Estefânia, Lisboa', 'title': 'Apartamento'}",False,False,False,False,False,False,,,{'groupDescription': 'Destaque'},Estefânia
33942132,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/23/16/24/273261903.webp,MGB00156,6,,399900.0,"{'price': {'amount': 399900.0, 'currencySuffix': '€'}}",flat,sale,50.0,2,1,Santa Engrácia,Lisboa,São Vicente,Santa Engrácia,pt,38.7181792,-9.1240135,False,https://www.idealista.pt/imovel/33942132/,"O apartamento dispõe de: - sala e cozinha com 15m2 e varanda aberta com vista de rio: a cozinha tem móveis brancos, ladrilho em todas as paredes e está equipada com forno, placa, exaustor, micro-ondas, máquina de lavar louça encastrada, máquina de lavar roupa encastrada, termo acumulador e frigorífico combinado encastrado - hall - wc completo com loiças suspensas - 2 quartos: o primeiro com 12m2 e roupeiro e o segundo com 12m2 e roupeiro O apartamento está a ser totalmente remodelado, inclui home staging e vai ficar com os seguintes acabamentos: - caixilharia lacada a branco com vidros duplos e oscilo batentes em todas as assoalhadas - tetos falsos com luzes leds embutidas - pré instalação de ar condicionado O apartamento tem duas frentes e vista de rio. Prédio totalmente recuperado (telhado, colunas de água, eletricidade e esgotos, fachadas, escadas, porta de entrada, contadores e caixas de correio). O imóvel encontra-se inserido num bairro familiar, residencial e com vários pontos de comércio e serviços. Perto do imóvel existem lojas de comércio tradicional, lojas de design e mobiliário, cafés e restaurantes. A zona é central, com facilidade de acessos, com proximidade a transportes públicos e a vários equipamentos sociais, perto de Santa Apolónia. Agende já a sua visita comigo: Cláudia Piçarra – loja Sintra. A MILLION GROUP surge da união de sinergias, da complementaridade e experiência dos seus fundadores. Que iniciaram a sua colaboração sob a matriz de uma marca internacional e decidem criar um novo conceito para o setor imobiliário. Sentiram os desafios com uma perspetiva mais universal e flexível na abordagem do mercado imobiliário, e a criação da marca MILLION GROUP vem responder a todas as necessidades. Era preciso dar corpo a uma filosofia e uma forma de estar no mercado, nova e diferenciadora. Os nossos valores CONFIANÇA, PROXIMIDADE, MATURIDADE, UNIVERSALIDADE. CONFIANÇA – Conquistada interna e externamente pelo rigor e a lealdade na relação que estabelecemos com os nossos Consultores, Parceiros, Clientes e Amigos. PROXIMIDADE – Uma relação sincera, com acompanhamento, apoio e disponibilidade permanente. MATURIDADE – Um património de experiência e conhecimento no mercado imobiliário. UNIVERSALIDADE – Baseada numa presença abrangente em todos os segmentos de mercado, a profissionalizar os nossos consultores com foco na satisfação dos nossos clientes. O que fazemos ""Concretizamos sonhos"" Uma verdadeira síntese emocional do que fazemos todos os dias. Conciliamos compradores e vendedores, promovemos negócios e apoiamos a sua concretização. A MILLION GROUP surge da união de sinergias, da complementaridade e experiência dos seus fundadores. Que iniciaram a sua colaboração sob a matriz de uma marca internacional e decidem criar um novo conceito para o setor imobiliário. Sentiram os desafios com uma perspetiva mais universal e flexível na abordagem do mercado imobiliário, e a criação da marca MILLION GROUP vem responder a todas as necessidades. Era preciso dar corpo a uma filosofia e uma forma de estar no mercado, nova e diferenciadora. Os nossos valores CONFIANÇA, PROXIMIDADE, MATURIDADE, UNIVERSALIDADE. CONFIANÇA – Conquistada interna e externamente pelo rigor e a lealdade na relação que estabelecemos com os nossos Consultores, Parceiros, Clientes e Amigos. PROXIMIDADE – Uma relação sincera, com acompanhamento, apoio e disponibilidade permanente. MATURIDADE – Um património de experiência e conhecimento no mercado imobiliário. UNIVERSALIDADE – Baseada numa presença abrangente em todos os segmentos de mercado, a profissionalizar os nossos consultores com foco na satisfação dos nossos clientes. O que fazemos ""Concretizamos sonhos"" Uma verdadeira síntese emocional do que fazemos todos os dias. Conciliamos compradores e vendedores, promovemos negócios e apoiamos a sua concretização.",False,good,False,,7998.0,{'typology': 'flat'},"{'subtitle': 'São Vicente, Lisboa', 'title': 'Apartamento'}",False,False,False,False,False,False,,,,
