propertyCode,externalReference,numPhotos,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,change,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,savedAd,notes,topNewDevelopment,topPlus,thumbnail,floor,neighborhood,parkingSpace,highlight,newDevelopmentFinished
34146461,DSIFF0009,0,399900.0,"{'price': {'amount': 399900.0, 'currencySuffix': '€'}}",flat,sale,60.0,2,1,"rua do Vale de Santo António, 27",Lisboa,São Vicente,São Vicente de Fora,pt,38.7178245,-9.1225052,True,https://www.idealista.pt/imovel/34146461/,"Apartamento T2 em São Vicente TOTALMENTE EQUIPADO E MOBILADO. Próximo de Santa Apolónia, num bairro residencial e com novos pontos de comércio e serviços.   O apartamento fica no último piso de um prédio totalmente recuperado  A cozinha está totalmente equipada. Prédio TOTALMENTE RECUPERADO (Telhado, Colunas de Água, Eletricidade e Esgotos, Fachadas, Escadas, Porta de Entrada, Contadores, Caixas de Correio.  .",False,good,False,False,6665.0,{},{'typology': 'flat'},"{'subtitle': 'São Vicente, Lisboa', 'title': 'Apartamento na rua do Vale de Santo António, 27'}",False,False,False,False,{},[],False,False,,,,,,
34146469,C0444-00632,28,1150000.0,"{'price': {'amount': 1150000.0, 'currencySuffix': '€'}}",flat,sale,179.0,3,2,"alameda Dom Afonso Henriques, 25",Lisboa,Arroios,São Jorge de Arroios,pt,38.7366283,-9.1322875,True,https://www.idealista.pt/imovel/34146469/,"Apartamento T3 de Luxo no Coração de Lisboa - Alameda D. Afonso Henriques Descubra este exclusivo apartamento T3 de luxo, localizado numa das avenidas mais emblemáticas de Lisboa — Alameda D. Afonso Henriques.  Com uma combinação perfeita entre elegância, conforto e localização privilegiada, esta é a casa ideal para quem procura um estilo de vida sofisticado no centro da cidade. Principais características: – 3 quartos espaçosos, incluindo uma suíte elegante - Escritório com vista desafogada sobre a Fonte Luminosa – Áreas amplas, acabamentos premium e design contemporâneo – Cozinha totalmente equipada com eletrodomésticos de alta gama – Sala de estar luminosa com vista desafogada sobre a Alameda  – Ar condicionado, isolamento acústico e térmico de excelência – Edifício com elevador e acesso facilitado Sobre a Freguesia de Arroios: A freguesia de Arroios é uma das zonas mais dinâmicas, cosmopolitas e em ascensão da cidade. Combinando tradição e modernidade, é um verdadeiro mosaico de culturas, estilos de vida e oportunidades. Com uma localização estratégica, Arroios oferece acesso rápido a toda a cidade — seja a pé, de metro (com várias estações na freguesia), ou de bicicleta. Ao mesmo tempo, mantém um ambiente de bairro, com comércio local, praças arborizadas, escolas, hospitais e serviços essenciais.",False,good,False,True,6425.0,{},{'typology': 'flat'},"{'subtitle': 'Alameda - Praça do Chile - Almirante Reis, Lisboa', 'title': 'Apartamento na alameda Dom Afonso Henriques, 25'}",False,False,False,False,{},[],False,False,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/15/14/4a/282363492.webp,5,Alameda - Praça do Chile - Almirante Reis,,,
34146366,W-02ZJP6,31,550000.0,"{'price': {'amount': 550000.0, 'currencySuffix': '€'}}",flat,sale,122.0,2,2,Portas de Benfica - Mercado de Benfica,Lisboa,Benfica,Portas de Benfica - Mercado de Benfica,pt,38.7497155,-9.2065346,False,https://www.idealista.pt/imovel/34146366/,"Apresentamos este excelente apartamento T2 com 100m² de área bruta privativa, localizado no 5º e último andar de um prédio moderno e bem cuidado em Benfica, uma das zonas mais procuradas e tranquilas de Lisboa. Uma oportunidade única para quem valoriza conforto, modernidade e luminosidade num só espaço. O imóvel destaca-se pela sua excelente distribuição e qualidade dos acabamentos. Composto por uma sala ampla e luminosa, perfeita para momentos de convívio e descanso, dois quartos generosos com boa entrada de luz natural e duas casas de banho, uma delas completa e outra de serviço, ambas com acabamentos modernos. A cozinha, totalmente equipada, alia funcionalidade a um design contemporâneo, ideal para os amantes da culinária. O hall de entrada espaçoso contribui para uma circulação fluída entre as divisões. Este apartamento oferece ainda ar condicionado, sistema de aquecimento e aspiração central, garantindo conforto térmico durante todo o ano e facilidade na limpeza. A orientação solar privilegiada proporciona uma excelente exposição solar, conferindo ao imóvel uma luminosidade única durante todo o dia. Os materiais utilizados são de elevada qualidade, estando em excelente estado de conservação, o que permite uma utilização imediata sem necessidade de obras. Inserido num edifício com 2 elevadores, o apartamento inclui ainda um lugar de garagem e uma arrecadação, proporcionando espaço extra para arrumação. Localizado numa zona com ótimos acessos a transportes, comércio, escolas, serviços e espaços verdes, este imóvel é ideal tanto para residência própria como para investimento. Não perca a oportunidade de viver num dos bairros mais emblemáticos e bem servidos de Lisboa!  Categoria Energética: C  ref: W-02ZJP6.",False,good,False,True,4508.0,{},{'typology': 'flat'},"{'subtitle': 'Benfica, Lisboa', 'title': 'Apartamento'}",True,False,False,False,{},[],False,False,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/0d/5a/c0/282359987.webp,5,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
34146362,CD.11351.(A) ,61,539000.0,"{'price': {'amount': 539000.0, 'currencySuffix': '€'}}",flat,sale,120.0,3,2,Anjos,Lisboa,Arroios,Anjos,pt,38.7275425,-9.1382121,False,https://www.idealista.pt/imovel/34146362/,"Apartamento T3, em prédio de traça antiga, totalmente remodelado, com Logradouro em Arroios Junto Praça do Chile! Prédio de traça Antiga cheio de história e charme, Logradouro privativo, Pé direito alto, dando outra dimensão ao espaço, Excelente localização, com as comodidades que esta importante freguesia de Lisboa pode oferecer, Fica a menos de 1 minuto da estação de metro de Arroios (linha verde), garantindo uma facilidade de deslocação incomparável, Proximidade a Espaços Verdes, a curta distância do Jardim do Arco do Cego proporciona uma escapada perfeita para momentos de lazer e descontração, Acesso a Educação de Qualidade, perto do Instituto Superior Técnico é um grande atrativo para estudantes e professores, oferecendo uma vantagem significativa para residentes relacionados à academia, Rodeado por uma vasta gama de lojas, restaurantes, mercados, cafés e serviços essenciais, viver aqui significa ter tudo o que precisa à porta de casa. Características gerais do apartamento: * 3 Quartos, 2 deles com roupeiro, * 2 Casas de banho, * Ar Condicionado, * Caixilharia em PVC com vidros duplos, estores térmicos, * Cozinha equipada com eletrodomésticos (Placa, exaustor, forno, micro-ondas, máquina de lavar loiça, máquina de lavar e secar roupa, frigorifico combinado), * Termo-acumulador. Destaque das zonas comuns do prédio: * Prédio em bom estado de conservação. Descrição do Bairro: VIVER EM ARROIOS É... Este é um bairro maioritariamente residencial e de comércio. As casas mantêm a arquitetura original, tendo por norma uma boa dimensão. De origem familiar, aqui concentra-se o comércio tradicional, lojas de mobiliário, cafés, restaurantes, mas igualmente se refletem as novas tendências. É um bairro muito interessante para viver, dada a sua centralidade, facilidade de acessos, rede de transportes públicos, proximidade a hospitais, escolas e Polícia. Arroios dispõe de três mercados recentemente requalificados e modernizados: Mercado 31 de Janeiro, Mercado de Arroios, com novos restaurantes à entrada, e Mercado do Forno do Tijolo, que alberga lojas com comércio tradicional, Complexo Desportivo Joaquim Campos, composto pela Piscina de Arroios, um polidesportivo e um parque infantil, assim como o Mercado de Culturas, um espaço multiusos que recebe projetos de cariz cultural. Nota:  - A informação disponibilizada não dispensa a sua confirmação, nem pode ser considerada vinculativa. Venha conhecê-lo! Para mais informações e agendamento de visita, contacte-nos! www casadimensao pt       à medida do seu sonho... Tel.: (+351) 961 300 206 ""Chamada para a rede móvel nacional"" Aguardamos por si!",False,good,False,False,4492.0,{},{'typology': 'flat'},"{'subtitle': 'Arroios, Lisboa', 'title': 'Apartamento'}",False,False,False,False,{},[],False,False,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/b4/05/fa/282358058.webp,1,,,,
34146346,,18,445000.0,"{'price': {'amount': 445000.0, 'currencySuffix': '€'}}",flat,sale,90.0,3,1,"estrada de Benfica, 500",Lisboa,Benfica,Avenida do Uruguai,pt,38.7501672,-9.1954689,True,https://www.idealista.pt/imovel/34146346/,"T3 totalmente remodelado (inclusive canalizações e rede elétrica), com cerca de 85 m2, muito soalheiro, localizado na Estrada de Benfica em Lisboa. Pavimento em soalho flutuante, portas lacadas a branco e vidros duplos. Zona com muita qualidade de vida, com jardins, transportes públicos, junto do Centro Comercial Fonte Nova e de diversas Instituições de Ensino.",False,good,False,False,4944.0,{},{'typology': 'flat'},"{'subtitle': 'Benfica, Lisboa', 'title': 'Apartamento na estrada de Benfica, 500'}",True,False,False,False,{},[],False,False,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/4b/6d/7b/282358075.webp,3,,,,
34146267,7005001-12889,15,355000.0,"{'price': {'amount': 355000.0, 'currencySuffix': '€'}}",flat,sale,92.0,3,1,Igreja de Benfica,Lisboa,Benfica,Igreja de Benfica,pt,38.7523663,-9.2036346,False,https://www.idealista.pt/imovel/34146267/,"Excelente oportunidade para adquirir um apartamento espaçoso e bem localizado num edifício moderno com dois elevadores. A exposição solar a sul garante a melhor luminosidade natural ao longo de todo o dia. Este imóvel inclui ainda uma arrecadação na cave, oferecendo espaço adicional para arrumos. A cozinha, funcional e bem equipada, mantém todos os eletrodomésticos embutidos. Note-se que equipamentos como a máquina de lavar e secar, a máquina de lavar loiça e o frigorífico não estão incluídos na venda. Ao entrar, será recebido por um hall de entrada acolhedor, que conduz a uma despensa prática para organização. A disposição do apartamento inclui ainda uma sala ampla com zona de jantar, perfeita para momentos de convívio familiar. O imóvel dispõe de três quartos, um deles com roupeiro embutido, proporcionando conforto e privacidade. Inclui também uma casa de banho completa para atender às necessidades dos residentes. Com janelas de vidro duplo, este apartamento assegura um ótimo isolamento térmico e acústico, garantindo conforto em qualquer estação do ano. As despesas de condomínio são acessíveis, fixando-se em 50€ mensais, e o IMI é de apenas 160€ anuais, algo que torna este apartamento numa escolha económica e prática. Não perca esta oportunidade de viver com qualidade numa localização privilegiada.  .",False,good,False,True,3859.0,{},{'typology': 'flat'},"{'subtitle': 'Benfica, Lisboa', 'title': 'Apartamento'}",False,False,False,False,{},[],False,False,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/58/c8/0b/282355118.webp,2,,,,
34146288,V0642LI,22,2200000.0,"{'price': {'amount': 2200000.0, 'currencySuffix': '€'}}",duplex,sale,300.0,3,2,Estefânia,Lisboa,Arroios,São Jorge de Arroios,pt,38.7339807,-9.1379999,False,https://www.idealista.pt/imovel/34146288/,"Este duplex de 300 m², situado em pleno coração da Graça, é uma oportunidade única para dar nova vida a uma casa com alma, com um generoso jardim privativo de 170 m², piscina e vistas de cortar a respiração sobre o Castelo de São Jorge e os telhados de Lisboa. Num dos bairros mais emblemáticos, com aquele charme muito próprio que mistura tradição e autenticidade, este apartamento conjuga a elegância de outros tempos com um enorme potencial de renovação ao gosto de hoje. Dispõe de quatro suites espaçosas, todas com casa de banho privativa, salas de estar e de jantar com pé-direito alto e janelas generosas que deixam entrar a luz de Lisboa, além de um recanto perfeito para escritório ou biblioteca. A cozinha, ampla e funcional, convida tanto à rotina do dia a dia como a receber amigos à boa maneira portuguesa. Os azulejos originais, pintados à mão, são um verdadeiro tesouro e testemunham o carácter único do imóvel. Com o Pedido de Informação Prévia (PIP) já aprovado e um projecto de reabilitação em curso, esta é uma ocasião rara para transformar uma casa com história num lar de sonho, num dos bairros mais cobiçados da capital.",False,renew,False,False,7333.0,{},"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Estefânia, Lisboa', 'title': 'Duplex'}",False,False,False,False,{},[],False,False,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/58/75/23/282354434.webp,,Estefânia,,{'groupDescription': 'Destaque'},
34120116,24431 - L012024431,31,355000.0,"{'price': {'amount': 355000.0, 'currencySuffix': '€'}}",flat,sale,88.0,2,3,Calçada Poço dos Mouros,Lisboa,Penha de França,Centro,pt,38.731,-9.1302623,False,https://www.idealista.pt/imovel/34120116/,"T2 Junto à Morais Soares, com muito sol e Varanda.  Apartamento localizado entre a Av Almirante Reis, a Rua Morais Soares e Praça Paiva Couceiro e conta com uma varanda, e muito sol com esposição solar a Nascente e Poente.  Com dois quartos acolhedores e três casas de banho elegantes, esta propriedade é ideal para quem procura viver no coração da cidade, é composto também por uma cozinha independente equipada com acesso a um espaço exterior, e uma sala ampla.  Com uma área total de 88 metros quadrados, este apartamento oferece uma vista agradável, proporcionando um ambiente acolhedor e moderno. Localizado a apenas 15 minutos a pé de uma grande variedade de comodidades e atrações, este apartamento é perfeito para quem procura conveniência e conforto. Se procura uma combinação perfeita de conveniência e charme, este apartamento é a escolha ideal. Venha descobrir tudo o que a dinâmica Penha de França tem para lhe oferecer e apaixone-se por este bairro vibrante.",True,good,False,False,4034.0,{},{'typology': 'flat'},"{'subtitle': 'Penha de França, Lisboa', 'title': 'Apartamento em Calçada Poço dos Mouros'}",False,False,False,False,{},[],False,False,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/f5/07/6a/281324941.webp,1,,,,
34145962,,62,2800000.0,"{'price': {'amount': 2800000.0, 'currencySuffix': '€'}}",duplex,sale,327.0,4,5,"rua Anchieta, 31",Lisboa,Santa Maria Maior,Chiado,pt,38.7107286,-9.1412323,True,https://www.idealista.pt/imovel/34145962/,"The Bookstore Apartment  Viva no coração de Lisboa, num edifício histórico totalmente restaurado, acima da emblemática Livraria Bertrand — a mais antiga do mundo, em funcionamento desde 1732. Este apartamento único, anterior ao terramoto de 1755, combina o charme da arquitetura original com o conforto da renovação moderna.  Com 327m² distribuídos em amplos espaços, composto por 4 quartos, sendo 3 suítes e 5 lavabos. O imóvel conta também com um generoso terraço virado a sul, ideal para momentos ao ar livre, e uma arrecadação que oferece praticidade adicional ao dia a dia.  Localizado no prestigiado Chiado, com duas frentes de rua, tectos em madeira, varandas e vistas abertas sobre o bairro, é uma oportunidade rara de viver num dos locais mais exclusivos e procurados da cidade.",True,good,False,True,8563.0,{},"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Santa Maria Maior, Lisboa', 'title': 'Duplex na rua Anchieta, 31'}",True,False,False,False,{},[],False,False,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/3d/b4/c3/282344084.webp,4,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
34146086,027250054,12,550000.0,"{'price': {'amount': 550000.0, 'currencySuffix': '€'}}",flat,sale,122.0,2,2,Portas de Benfica - Mercado de Benfica,Lisboa,Benfica,Portas de Benfica - Mercado de Benfica,pt,38.7514013,-9.2060945,False,https://www.idealista.pt/imovel/34146086/,Apartamento de 3 assoalhadas com área privativa de 122m² com parqueamento e arrecadação. Imóvel de construção de 2013 com excelentes áreas. Aquecimento central. Ótima apresentação.,False,good,False,True,4508.0,{},{'typology': 'flat'},"{'subtitle': 'Benfica, Lisboa', 'title': 'Apartamento'}",False,False,False,False,{},[],False,False,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/36/44/5a/282347605.webp,5,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
