propertyCode,propertyType,size,rooms,bathrooms,municipality,latitude,longitude,status,newDevelopment,hasLift,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,price,logPrice,pricePerSquareMeter,logPricePerSquareMeter
33596155,flat,170.0,3,3,Avenidas Novas,38.7339083,-9.1445309,good,False,True,False,False,False,2150.0,7.673223121121708,12.647058823529411,0.04513660659483358
33896876,flat,135.0,2,2,Areeiro,38.7401735,-9.1282332,good,False,True,False,True,True,1950.0,7.575584651557793,14.444444444444445,0.056115441863391055
31196503,studio,25.0,0,1,Santa Maria Maior,38.7128574,-9.1251074,good,False,False,False,False,False,700.0,6.551080335043404,28.0,0.2620432134017362
33896540,flat,130.0,2,3,Santo António,38.7234689,-9.1581146,good,False,True,False,True,True,3000.0,8.006367567650246,23.076923076923077,0.06158744282807881
33896486,flat,40.0,2,1,São Vicente,38.7141078,-9.1258662,good,False,False,False,False,False,1250.0,7.1308988302963465,31.25,0.17827247075740865
33896468,flat,190.0,4,3,Arroios,38.7365774,-9.1371471,good,False,True,False,False,False,3650.0,8.202482446576537,19.210526315789473,0.043170960245139674
33896319,penthouse,95.0,2,2,Campo de Ourique,38.7178908,-9.1557978,good,False,True,False,False,False,3300.0,8.101677747454572,34.73684210526316,0.08528081839425865
33229363,studio,45.0,0,1,Campo de Ourique,38.7173746,-9.1595806,good,False,False,False,False,False,1000.0,6.907755278982137,22.22222222222222,0.1535056728662697
33896359,flat,87.0,2,1,Benfica,38.7484198,-9.1933372,good,False,True,False,False,False,1600.0,7.3777589082278725,18.39080459770115,0.08480182653135486
33896324,flat,87.0,2,1,Campo de Ourique,38.7146059,-9.1682192,good,False,True,False,False,False,2000.0,7.600902459542082,22.988505747126435,0.08736669493726532
33896185,flat,125.0,3,2,São Domingos de Benfica,38.745499,-9.1779414,good,False,False,False,False,False,1850.0,7.52294091807237,14.8,0.06018352734457896
33896238,flat,177.0,4,3,Belém,38.7104917,-9.2107957,good,False,False,False,False,False,2700.0,7.90100705199242,15.254237288135593,0.04463845792086113
33896208,flat,54.0,1,1,Santa Maria Maior,38.710203,-9.1379322,good,False,False,False,False,False,1650.0,7.408530566894626,30.555555555555557,0.13719501049804864
33896201,flat,104.0,2,2,São Domingos de Benfica,38.7417126,-9.1640089,good,False,True,False,True,True,2500.0,7.824046010856292,24.03846153846154,0.07523121164284896
33896104,flat,89.0,2,2,Campo de Ourique,38.720168,-9.1666602,good,False,True,False,False,False,2000.0,7.600902459542082,22.471910112359552,0.08540339842182115
33895903,flat,55.0,2,1,Misericórdia,38.7099488,-9.1482207,good,False,False,False,False,False,1200.0,7.090076835776092,21.818181818181817,0.12891048792320167
33895597,flat,65.0,1,1,Estrela,38.7067369,-9.1750318,good,False,True,False,False,False,1860.0,7.528331766707247,28.615384615384617,0.11582048871857302
