propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,neighborhood,newDevelopmentFinished,snapshotDate,formerPrice,priceChange,isPriceLowered,hasParkingSpace,isParkingSpaceIncludedInPrice,parkingSpacePrice,totalPrice,distanceToCityCenter,distanceToNearestMall,nearestMallName,distanceToNearestTrain,nearestTrainName,distanceToNearestFair,nearestFairName,distanceToNearestPark,nearestParkName,distanceToNearestMarket,nearestMarketName,distanceToNearestMetro,nearestMetroName,distanceToNearestViewpoint,nearestViewpointName,distanceToNearestPlayground,nearestPlaygroundName,distanceToNearestBus,nearestBusName,distanceToNearestTram,nearestTramName
33829652,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/77/44/8e/267567483.webp,KWPT-009130,33,1,2475.0,flat,rent,179.0,3,3,São Sebastião da Pedreira,Lisboa,Avenidas Novas,São Sebastião da Pedreira,pt,38.7334294,-9.1450031,False,https://www.idealista.pt/imovel/33829652/,439.0,"Um apartamento nas Avenidas Novas? Conte-me mais! Este apartamento T3+1 está localizado na Rua de Picoas, numa das zonas mais dinâmicas e procuradas de Lisboa, as Avenidas Novas. A área oferece fácil acesso a transportes públicos, comércio variado, restaurantes e espaços de lazer, tudo a uma curta distância. E o apartamento como é? O imóvel, com 178,91 m² de área bruta, oferece um amplo espaço e conforto. Conta com 3 casas de banho completas e uma cozinha equipada com os principais eletrodomésticos (fogão, forno, exaustor e esquentador). A cozinha cria um ambiente ideal para momentos de convívio. Mais alguma coisa que deva saber? A luminosidade natural é uma característica marcante, proporcionando conforto e bem-estar. O apartamento, com um layout funcional e acabamentos modernos, promete ser a escolha perfeita para quem procura qualidade de vida e localização privilegiada. Estou convencido, como posso visitar? Para marcar a sua visita entre em contacto connosco! Licença de utilização: 131.",False,good,False,True,13.8268156424581,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Apartamento'}",True,False,False,False,False,False,,False,2025-01-13,2475.0,0.0,False,False,False,0.0,2475.0,3902.762341751984,83.37881516860028,Dolce Vita Monumental,1626.3425237318388,Entrecampos,1337.4103276995734,Feira São João de Deus,466.306263045306,Jardim do Arco do Cego,1012.0556362139502,Mercado Arco do Cego,250.26182013395967,Saldanha,1142.44029794629,Miradouro do Parque Eduardo VII,641.6211744024974,Parque Infantil do Jardim Gomes Amorim,64.1356848783503,Saldanha,1890.8725756931776,Rua Maria Andrade
33596155,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/46/5d/7a/254939879.webp,KWPT-004534,33,bj,2150.0,flat,rent,170.0,3,3,rua das Picoas,Lisboa,Avenidas Novas,São Sebastião da Pedreira,pt,38.7339083,-9.1445309,False,https://www.idealista.pt/imovel/33596155/,373.0,"Um apartamento para arrendar? Conte-me mais! Este fantástico apartamento localiza-se nas Avenidas Novas e oferece todo o conforto e espaço que procura. Trata-se de um T3+1 (incluindo um quarto de empregada com WC) totalmente remodelado, com uma generosa área bruta de 169,79 m².  E quanto às divisões? O apartamento dispõe de uma cozinha ampla e funcional, equipada com fogão, exaustor, forno e esquentador. Além disso, conta com uma sala espaçosa e três casas de banho bem equipadas, garantindo conforto e praticidade para o dia a dia. Os três quartos, com excelente iluminação natural, proporcionam ambientes acolhedores e confortáveis.  E a área envolvente?   A localização nas Avenidas Novas é imbatível, oferecendo acesso a uma ampla gama de serviços e comodidades. A poucos passos, encontrará restaurantes, supermercados, parques, lojas e comércio local. A zona é também bem servida de transportes públicos, permitindo fácil acesso a todas as áreas da cidade.  Parece-me interessante! Quando poderei visitar? Quando desejar!  Contacte-nos para agendar a sua visita e descobrir este incrível apartamento!  Licença de utilização: 131.",True,good,False,True,12.647058823529411,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Apartamento na rua das Picoas'}",True,False,False,False,False,False,,False,2025-01-13,2150.0,0.0,False,False,False,0.0,2150.0,3954.9014428546043,150.27440326956867,Centro Comercial Atrium Saldanha,1576.1989249637586,Entrecampos,1251.392665635754,Feira São João de Deus,380.22587716501965,Jardim do Arco do Cego,929.4381689539807,Mercado Arco do Cego,198.67622302375005,Saldanha,1217.9622448215948,Miradouro do Parque Eduardo VII,562.7319788849677,Parque Infantil do Jardim Gomes Amorim,52.0454240081753,Saldanha,1909.5296349366324,Rua Maria Andrade
33896876,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/84/77/bf/271084423.webp,Match_01.216,21,8,1950.0,flat,rent,135.0,2,2,"rua Jorge Castilho, 8",Lisboa,Areeiro,Casal Vistoso,pt,38.7401735,-9.1282332,True,https://www.idealista.pt/imovel/33896876/,1303.0,"Apartamento T2 Com Varanda e Estacionamento Localizado no Areeiro e inserido no oitavo andar de um prédio em excelente estado encontramos este fantástico apartamento com 2 quartos (um em suíte), 2 casas de banho, cozinha totalmente equipada, sala de estar e sala de Jantar. Ar condicionado | 1 Lugar de Estacionamento | Elevador | Varanda Localizado numa zona central e tranquila, a poucos minutos do Parque da Bela Vista, com excelentes acessos à 2a circular a 5 minutos do Aeoroporto de Lisboa e da Universidade do Técnico.  - aceita animais de estimação - entrada imediata  - 2 rendas + 1 mês de fiança - hipótesse de arrendar mobilado  Contate-nos para marcar visitas.",False,good,False,True,14.444444444444445,{'typology': 'flat'},"{'subtitle': 'Areeiro, Lisboa', 'title': 'Apartamento na rua Jorge Castilho, 8'}",True,False,False,False,False,False,,False,2025-01-13,1950.0,0.0,False,True,True,0.0,1950.0,4787.948289441628,342.63886410605926,Olaias Plaza,1031.1090773794576,Roma Areeiro,1133.0903939695586,Feira São João de Deus,448.8504308970012,Jardim sobre a Fonte Monumental - Alameda Dom Afonso Henriques,696.4203806941995,Mercado da Picheleira - Mercado Alfacinha,582.2765370406884,Olaias,1410.666684022314,Miradouro da Penha de França,557.606783202944,Parque Infantil da Rua Aquiles Machado,159.3980879172369,Casal Vistoso,2363.9492658573427,Rua do Forno do Tijolo
31196503,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/66/be/d0/146815576.webp,CF119,9,1,700.0,studio,rent,25.0,0,1,beco dos Paus,Lisboa,Santa Maria Maior,Alfama - Sé,pt,38.7128574,-9.1251074,False,https://www.idealista.pt/imovel/31196503/,3082.0,"Excelente apartamento T0, disponível com todo o equipamento de cozinha, utensílios, mobília e Wifi, pronto a habitar e em fantástica localização na zona de Alfama muito próximo a Santa Apolónia. A escassos minutos a pé do Eléctrico 28/Castelo, Rio Tejo e comércio e serviços. Venha disfrutar da centralidade e comodidade deste apartamento. Contacte Já! Wifi+Tv Cabo Incluídos, Equipamento de Cozinha + Mobilado. Condições: Contrato de 6 meses a 1 ano renovável, 1 Mês Caução + 1 Mês de Renda Adiantada.",False,good,False,False,28.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Santa Maria Maior, Lisboa', 'title': 'T0 no beco dos Paus'}",False,False,False,False,False,False,,False,2025-01-13,700.0,0.0,False,False,False,0.0,700.0,1418.8086081555934,1254.9088580335754,Centro Comercial Mouraria,477.2768280813729,Santa Apolónia,370.139506680929,Feira da Ladra,451.11663277655,Jardim Botto Machado / Jardim de Santa Clara,2455.7662497180113,Mercado da Ribeira,344.20787545862305,Santa Apolónia,304.8797654808096,Miradouro de Santa Clara,203.09816228829797,Parque Infantil da Rua do Vigário,146.80516344470703,Rua do Paraíso,408.79869955146205,Calçada de São Vicente
33896540,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/99/60/35/271073093.webp,,24,1,3000.0,flat,rent,130.0,2,3,"rua Sousa Pinto, 11",Lisboa,Santo António,Rato - Amoreiras,pt,38.7234689,-9.1581146,True,https://www.idealista.pt/imovel/33896540/,2009.0,"AMOREIRAS Apartamento T2 de construção recente (2020), inserido em Empreendimento de Luxo 'Amoreiras Vista' O apartamento tem uma excelente varanda (18 m2), tem excelentes acabamentos e boas generosas. Ar Condicionado, Janelas de grande qualidade com vidros duplos, porta blindada, cozinha totalmente equipada, roupeiros, etc. Fazem parte do imóvel 2 lugares de garagem e 1 arrecadação. Composto por ampla Sala com acesso à generosa Varanda, Cozinha totalmente equipada, 2 Suites e um Wc Social. O Amoreiras Vista, situado poucos metros do Centro Comercial das Amoreiras (350m) e muito próximo da Praça Marquês de Pombal e da Avenida da Liberdade 10 minutos a pé), fica, no entanto, localizado numa praceta muito tranquila mas a poucos minutos de shoppings e restaurantes, a museus e teatros, assim como um fácil acesso a todos os transportes públicos que o conectam à cidade Conte ainda com um Jardim fantástico, de uso exclusivo dos residentes deste magnifico Empreendimento. Para mais informações ou visitas, contacte-nos através dos telefones indicados Visite-nos em PRIMERESIDENCE. PT. INFORMAÇÃO LEGAL: - Licença de Habitação 198/UT-CML/2020 - Área Bruta Privativa 108m2.",True,good,False,True,23.076923076923077,{'typology': 'flat'},"{'subtitle': 'Santo António, Lisboa', 'title': 'Apartamento na rua Sousa Pinto, 11'}",True,False,False,False,False,False,,False,2025-01-13,3000.0,0.0,False,True,True,0.0,3000.0,3433.8502095830963,316.57845309456786,Amoreiras Plaza,1672.2209175805617,Campolide,1364.683979129254,Feira Biológica do Príncipe Real,286.22111572799923,Jardim das Amoreiras (Jardim Marcelino de Mesquita),1426.327746824696,Mercado Campo de Ourique,607.2493709039759,Rato,1062.957225210526,Miradouro do Parque Eduardo VII,238.79399719302765,Parque Infantil do Jardim Marcelino Mesquita,220.71217850547512,Rua das Amoreiras,141.82177403764885,Rua das Amoreiras
33896486,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/b7/ab/34/271072786.webp,C0277-00710,24,,1250.0,flat,rent,40.0,2,1,São Vicente de Fora,Lisboa,São Vicente,São Vicente de Fora,pt,38.7141078,-9.1258662,False,https://www.idealista.pt/imovel/33896486/,2928.0,"Descubra este encantador e confortável apartamento T2 situado no coração do bairro de Alfama, perto do Panteão, com vistas deslumbrantes sobre o rio. Destaques da propriedade: 2 quartos (um quarto comunicante com o outro, sem acesso separado) Uma confortável sala de estar completa com uma grande mesa, sofá e cozinha totalmente equipada 1 banheiro Ambiente claro e ensolarado Vistas deslumbrantes sobre o rio de todas as janelas Apenas a 5 minutos a pé da estação de metro de Santa Apolónia Vários cafés, bares, restaurantes e o Rio Tejo nas proximidades Renda: 1250€ /mês + utilidades Viver em Alfama: Situado num dos bairros históricos de Lisboa, Alfama possui uma variedade de cafés, bares e restaurantes, todos próximos do Rio Tejo. Os transportes públicos são facilmente acessíveis, sendo que a estação de metro de Santa Apolónia fica apenas a 5 minutos a pé. Contacte-nos já para saber mais e agendar uma visita!",False,good,False,False,31.25,{'typology': 'flat'},"{'subtitle': 'São Vicente, Lisboa', 'title': 'Apartamento'}",False,False,False,False,False,False,,False,2025-01-13,1250.0,0.0,False,False,False,0.0,1250.0,1466.1403208794513,1113.3524943121631,Centro Comercial Mouraria,471.24016870404887,Santa Apolónia,175.72942666681274,Feira da Ladra,320.9040449045305,Jardim Botto Machado / Jardim de Santa Clara,2448.1398884198243,Mercado da Ribeira,394.072022185609,Santa Apolónia,179.33995140958936,Miradouro de Santa Clara,248.81397229936582,Parque Infantil da Rua do Vigário,100.67953031384468,Panteão Nacional,326.5157733976567,Calçada de São Vicente
33896468,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/3a/7f/1c/271072242.webp,120511248-58,40,7,3650.0,flat,rent,190.0,4,3,alameda Dom Afonso Henriques,Lisboa,Arroios,São Jorge de Arroios,pt,38.7365774,-9.1371471,False,https://www.idealista.pt/imovel/33896468/,482.0,"T4 Alameda D Afonso Henriques | Arrenda Ao cimo da Alameda D. Afonso Henriques mesmo ao lado do Instituto Superior Técnico, junto à Av. Guerra Junqueiro, Praça de Londres, Av. de Roma, Av. Almirante Reis, Fonte Luminosa e o Colégio Sagrado Coração de Maria nas traseiras, encontra este magnifico apartamento de 6 assoalhadas, totalmente remodelado e pronto a habitar, cheio de luz natural e com vistas panorâmicas sobre a bela cidade de Lisboa e o rio Tejo.   Ampla sala comum com varanda e lareira Escitório com salamandra 2 Suites  2 quartos Cozinha completamente equipada com electrodomésticos Teka, grandes janelas com vista soberba. Chão em madeira, vidros duplos oscilo-batente, estores elécticos, ar condicionado, 2 despensas, imensa arrumação, porta de serviço. Box para um carro  No centro da cidade, com todos os transportes à porta de casa, muito bem servido de comércio tradicional e todos os serviços, escolas, colégios e universidades e zonas de lazer. Licença de utilização nº 120 emitida a 03 de Março de 1954 Condições de arrendamento: 2 rendas + 2 cauções com Fiador. Venha conhecer a sua nova casa! T4 Alameda D Afonso Henriques | RentAt the top of Alameda D. Afonso Henriques, right next to the Instituto Superior Técnico, next to Av. Guerra Junqueiro, London Square, Av. from Rome, Av. Almirante Reis, Fonte Luminosa and Colégio Sagrado Coração de Maria at the back, you will find this magnificent 6-room apartment, completely renovated and ready to move into, full of natural light and with panoramic views over the beautiful city of Lisbon and the Tagus River. Large living room with balcony and fireplaceOffice with wood burning stove2 Suites2 bedroomsFully equipped kitchen with Teka appliances, large windows with superb views. Wooden floor, tilting double glazing, electric shutters, air conditioning, 2 pantries, huge storage space, service door. Box for a carIn the city center, with all transportation on your doorstep, very well served by traditional commerce and all services, schools, colleges and universities and leisure areas. Usage License No. 120 issued March 3, 1954Rental conditions: 2 rents + 2 deposits with Guarantor. Come and see your new home!   Licença de Utilização - Nº.",False,good,False,True,19.210526315789473,{'typology': 'flat'},"{'subtitle': 'Alameda - Praça do Chile - Almirante Reis, Lisboa', 'title': 'Apartamento na alameda Dom Afonso Henriques'}",False,False,False,False,False,False,Alameda - Praça do Chile - Almirante Reis,False,2025-01-13,3650.0,0.0,False,False,False,0.0,3650.0,4209.894165983103,498.8047674918399,Centro Comercial Coopbancários,1354.6658944998856,Roma Areeiro,675.2103650438384,Feira São João de Deus,498.2490994138718,Jardim da Alameda Dom Afonso Henriques,537.4729278584285,Mercado de Arroios,377.7476626293641,Alameda,1052.476056666475,Miradouro da Penha de França,497.5220203367967,Parque Infantil da Alameda Dom Afonso Henriques,129.2595340463699,Avenida Manuel da Maia,1873.3098646410556,Rua Maria
33896319,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/65/0f/e4/271070960.webp,,34,5,3300.0,penthouse,rent,95.0,2,2,travessa de Santa Quitéria,Lisboa,Campo de Ourique,Largo do Rato - Estrela,pt,38.7178908,-9.1557978,False,https://www.idealista.pt/imovel/33896319/,2404.0,"Magnificent Furnished T2 Apartment with Full Air Conditioning, Terrace, and Stunning Views of Lisbon and the Tagus River This apartment, available for mid-term rental (1 to 12 months), is located just a stone’s throw from Jardim da Estrela, a 5-minute walk from Avenida da Liberdade, and just a few meters from bus stations. The property offers a living area of 88 m² and features a terrace adjacent to the living room and a covered balcony. The rooms are spacious and bright, with built-in wardrobes. The south-facing living room offers breathtaking views of Lisbon and the Tagus River! The apartment includes: - Bright living/dining room with terrace and a functional wood-burning stove - Open-plan kitchen, fully furnished and equipped - 1 suite with bathroom (shower) - 1 suite with bathroom and WC (shower and bathtub) 1 storage room Key Features and Details: - Panoramic views and quiet location - Double-glazed windows - High-quality bathroom materials - Fully air-conditioned - Terrace or balcony - Close to public transport - Reinforced security door - Residential outdoor parking Excellent Location: Close to major avenues and local shops, this property offers calm surroundings while being near all essential amenities within walking distance: - Shops, markets, cafés, restaurants, and supermarkets - Bus routes: 709, 713 (orange)(grey), 202, 758 (blue) - Nearby park: Jardim da Estrela - Underground parking If you are interested, please do not hesitate to contact us and provide your desired rental dates as well.",False,good,False,True,34.73684210526316,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Campo de Ourique, Lisboa', 'title': 'Penthouse na travessa de Santa Quitéria'}",False,False,False,False,False,False,,False,2025-01-13,3300.0,0.0,False,False,False,0.0,3300.0,2734.12535780784,828.3520434853893,Centro Comercial Castil,1606.8912276725455,Rossio,727.3984399556697,Feira Biológica do Príncipe Real,557.5621490982769,Jardim Elisa Baptista Sousa Pedroso - Jardim Salazar - Jardim da Imprensa,1268.5433908798966,Mercado Campo de Ourique,346.2087294779094,Rato,866.7467852150377,Miradouro da Basílica da Estrela,459.1811002006178,Parque Juvenil do Jardim Guerra Junqueiro,49.57256260731763,Rua de São Bento / Rua do Arco,368.982458245775,Rato
33229363,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/aa/98/e1/236616879.webp,,11,st,1000.0,studio,rent,45.0,0,1,R. do Cabo,Lisboa,Campo de Ourique,Santa Isabel,pt,38.7173746,-9.1595806,False,https://www.idealista.pt/imovel/33229363/,2623.0,"Entre o Jardim da Estrela e as Amoreiras, entre o pitoresco Jardim da Estrela e a moderna Amoreiras, encontra este simpático e acolhedor Estúdio (T0) totalmente remodelado, equipado e mobilado com um pequeno jardim. Tudo isto no coração de Lisboa. Este apartamento é composto por um espaço de sala, área de quarto, com uma cozinha aberta integrada na sala e uma pequena zona com mesa para refeições. Conta com uma ótima casa de banho completa, com banheira e muito espaçosa. Localização Inigualável: - Apenas 600 metros do deslumbrante Jardim da Estrela, onde a tranquilidade da natureza encontra o pulsar da vida urbana. - A 650 metros da Estação de Metro do Rato, com ligação a toda a cidade (linha amarela). - A 650 metros do Amoreiras Shopping Center, onde encontra uma variedade de lojas, restaurantes e entretenimento.",False,good,False,False,22.22222222222222,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Campo de Ourique, Lisboa', 'title': 'T0 em R. do Cabo'}",False,False,False,False,False,False,,False,2025-01-13,1000.0,0.0,False,False,False,0.0,1000.0,3055.2277544763533,759.1432260419805,Amoreiras Plaza,1675.7294883332306,Santos,1132.6800345484262,Feira Biológica do Príncipe Real,397.5985650247586,Jardim da Estrela (Jardim Guerra Junqueiro) ,841.0872470379146,Mercado Campo de Ourique,674.0265933883915,Rato,620.3098495624301,Miradouro da Basílica da Estrela,376.82890322716753,Parque Juvenil do Jardim Guerra Junqueiro,179.78229919264942,Igreja de Santa Isabel,501.00616371525643,Estrela - Rua Domingos Sequeira
33896359,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/21/30/42/271070815.webp,C0409-01464,24,,1600.0,flat,rent,87.0,2,1,Fonte Nova -  Calhariz,Lisboa,Benfica,Fonte Nova -  Calhariz,pt,38.7484198,-9.1933372,False,https://www.idealista.pt/imovel/33896359/,4574.0,"Apartamento T2 mesmo em frente ao CC Fonte Nova, cheio de luz com ótimas áreas. Localizado num 5º andar em prédio com 2 elevadores, é constituído por 2 quartos com roupeiros embutidos. Caixilharia nova em PVC com vidros duplos. A sala tem uma boa área, a casa de banho conta com um poliban e a cozinha está equipada. À porta conta com todo o tipo de transportes, comércio e serviços. A 5 minutos a pé dispõe de todo o tipo de escolas; desde creches, primárias, como secundárias, bem como o metro do Colégio Militar, CC Colombo, Hospital da Luz, Estádio do Benfica, entre outros. Solicita-se para o arrendamento: Contrato de trabalho; 3 últimos recibos de vencimentos; IRS e Fiador  Na assinatura do contrato o pagamento de 2 rendas + 2 rendas de caução.",False,good,False,True,18.39080459770115,{'typology': 'flat'},"{'subtitle': 'Benfica, Lisboa', 'title': 'Apartamento'}",False,False,False,False,False,False,,False,2025-01-13,1600.0,0.0,False,False,False,0.0,1600.0,8730.23143741977,297.4917399422412,Centro Comercial Fonte Nova,903.581695868804,Benfica,2053.3803178367666,Feira da Luz,582.2549111041135,Parque Urbano da Quinta da Granja,796.9268622835909,Mercado Levante do Colégio Militar,845.7323148807553,Colégio Militar,2425.7462429690204,Miradouro do Calhau,358.8864132598171,Parque Infantil da Rua Dr. João do Couto,83.04559528423678,Calhariz (Escola),4650.416209262411,Campolide
