propertyCode,thumbnail,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,externalReference,parkingSpace
33894589,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/5a/48/73/270977016.webp,13,bj,1400.0,"{'price': {'amount': 1400.0, 'currencySuffix': '€/mês'}}",flat,rent,80.0,3,2,Estefânia,Lisboa,Arroios,São Jorge de Arroios,pt,Estefânia,38.7244525,-9.142955,False,https://www.idealista.pt/imovel/33894589/,1389,"Com 5 assoalhadas, sendo 2 delas bem modestas, este apartamento duplex a estrear espera por si e família. Localizado junto à Policia Judiciária, há poucos minutos do Metro de Picoas e com todo o tipo de serviços a escassos metros de casa.  No piso 0 temos a cozinha equipada com placa, forno, exaustor e termoacumulador (a casa não têm gás). Neste piso temos 2 casas de banho completas com duche, 2 quartos de boas áreas com janelas altas de respiração e luz. No piso de cima temos mais 3 assoalhadas um pouco esconsas, das quais 2 são menores, mas todas com muita luz natural e ventilação.  A casa está inserida numa pequena vila privada como um condomínio, com mais 7 casas, todas acabadas de reconstruir e com acesso a um grande pátio com muitas plantas, tornando o ambiente ainda mais acolhedor. Condições para o arrendamento: 1 mes de renda 1 mes de caução 1 mes de serviço imobiliario O proprietario exije fiador. Tanto os arrendatários como o fiador precisam comprovar capacidade financeira para arrendar o imovel. Agende ainda hoje a sua visita.",False,good,False,False,18.0,{'typology': 'flat'},"{'subtitle': 'Estefânia, Lisboa', 'title': 'Apartamento'}",False,False,False,False,False,False,,
33809607,https://img4.idealista.pt/blur/WEB_LISTING/90/id.pro.pt.image.master/34/17/9f/266123480.webp,13,5,1500.0,"{'price': {'amount': 1500.0, 'currencySuffix': '€/mês'}}",flat,rent,90.0,2,1,São João,Lisboa,Cascais e Estoril,Estoril,pt,São João,38.7062146,-9.38758,False,https://www.idealista.pt/imovel/33809607/,21517,"Apartamento T2, S. Joao do Estoril com Vista Mar.",True,good,False,True,17.0,{'typology': 'flat'},"{'subtitle': 'São João, Cascais', 'title': 'Apartamento'}",True,False,False,False,False,False,9878,
33894593,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/69/02/83/270975273.webp,28,1,1800.0,"{'price': {'amount': 1800.0, 'currencySuffix': '€/mês'}}",flat,rent,70.0,2,2,Gulbenkian - Praça Espanha,Lisboa,Avenidas Novas,Gulbenkian - Praça Espanha,pt,,38.7411448,-9.1557222,False,https://www.idealista.pt/imovel/33894593/,1223,"Encantador apartamento T2, com uma suíte e um quarto, 2 casas de banho, 70 m2 de área bruta privativa, totalmente totalmente remodelado com varanda e cozinha equipada. Em 1º andar de edifício com elevador, na Avenida Santos Dumont, zona tradicional familiar totalmente requalificada, a um passo da Fundação Calouste Gulbenkian e do Parque Gonçalo Ribeiro Telles na Praça de Espanha, em zona com comércio tradicional e a 10 minutos a pé da galeria do El Corte Inglés. A cerca de 5 minutos a pé ao metro da Praça de Espanha bem como a todas as acessibilidades e transportes. Ótimos acessos ao centro da cidade bem como ao aeroporto. Desfrute da qualidade de vida que a centralidade desta localização permite. Venha surpreender-se.. . Licença de utilização nº369 de 06/11/1975 Área útil: 62.84m2.",True,good,False,True,26.0,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Apartamento'}",True,False,False,False,False,False,HMBK4444,
33894584,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/dd/8f/cd/270975132.webp,31,,2200.0,"{'price': {'amount': 2200.0, 'currencySuffix': '€/mês'}}",flat,rent,116.0,3,3,"rua Professor Doutor Manuel Eugénio Machado Macedo, 246",Lisboa,Cascais e Estoril,Estoril,pt,Alto dos Gaios,38.7163336,-9.3828262,True,https://www.idealista.pt/imovel/33894584/,20956,"Localizado no exclusivo condomínio Quinta da Graciosa, este apartamento T3 situa-se na zona do Alto dos Gaios, no Estoril. Com áreas generosas e dentro de um condomínio é o local ideal para viver com a sua família. O apartamento tem um terraço acolhedor, ideal para refeições ao ar livre. A sala de estar tem 40m², tem 3 quartos, sendo um deles uma suite, e 3 casas de banho, com uma arrecadação e um lugar de garagem. Comodidades do Condomínio: Piscina. Campo de ténis. Jardim extenso, ideal para passeios ou para quem aprecia um contacto próximo com a natureza. Estacionamento Localização Situado na Quinta da Graciosa, na zona do Alto dos Gaios, o apartamento beneficia de uma localização estratégica. A 2 minutos do acesso à autoestrada do Estoril, facilitando deslocações rápidas.",False,good,False,True,19.0,{'typology': 'flat'},"{'subtitle': 'Alto dos Gaios, Cascais', 'title': 'Apartamento na rua Professor Doutor Manuel Eugénio Machado Macedo, 246'}",True,False,False,False,False,False,CB01-0564,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
33894555,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/6e/e6/eb/270973809.webp,14,2,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mês'}}",flat,rent,70.0,2,1,Estrada de Benfica,Lisboa,São Domingos de Benfica,Estrada de Benfica,pt,,38.744237,-9.1817167,False,https://www.idealista.pt/imovel/33894555/,3480,"**Apartamento T2 Luminoso em São Domingos de Benfica** Descobre este encantador apartamento T2, situado no coração de São Domingos de Benfica. Com uma área bruta de 70 m², este imóvel oferece um ambiente acolhedor e luminoso, perfeito para quem procura conforto e tranquilidade. Localizado no 2º andar de um prédio sem elevador e com apenas 8 inquilinos, garante um ambiente sossegado e exclusivo. O apartamento dispõe de três assoalhadas, incluindo dois quartos espaçosos e uma casa de banho. A cozinha está equipada com máquina de roupa e loiça, facilitando o teu dia a dia. Além disso, alguns móveis estão incluídos, como dois roupeiros, uma cama de casal, uma estante e uma cómoda. A varanda e o terraço oferecem um espaço extra para relaxar e desfrutar do ar livre. Construído em 1970, o apartamento encontra-se em bom estado e apresenta uma orientação Este, garantindo luz natural durante todo o dia. Embora o aquecimento não esteja disponível, a sua localização privilegiada compensa com a proximidade a serviços e transportes.  Condições de arrendamento: 1 mês de renda 1 mes de caução 1 mês de serviço imobiliário É fundamental apresentar fiador. Tanto arrendatários como fiador precisam comprovar capacidade financeira para o arrendamento. Não percas a oportunidade de viver neste bairro tranquilo e agende a tua visita hoje mesmo!",False,good,False,False,17.0,{'typology': 'flat'},"{'subtitle': 'São Domingos de Benfica, Lisboa', 'title': 'Apartamento'}",False,False,False,False,False,False,,
33894458,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/ff/14/15/270973283.webp,9,,950.0,"{'price': {'amount': 950.0, 'currencySuffix': '€/mês'}}",studio,rent,48.0,0,1,Barro - Pinheiro de Loures,Lisboa,Loures,Barro - Pinheiro de Loures,pt,,38.8238214,-9.1917421,False,https://www.idealista.pt/imovel/33894458/,10554,"Apartamento em Aldeamento Turístico, totalmente mobiliado e equipado T0 com cozinha equipada com Placa elétrica, Forno, Exaustor, Termo acumulador, Frigorífico e Máquina de Lavar Loiça. Tem Ar Condicionado. Disponível a partir de 5 de Fevereiro  Categoria Energética: C  ref: APA_1270.",False,good,False,False,20.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Loures', 'title': 'T0'}",False,False,False,False,False,False,APA_1270,
33894573,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/27/4f/16/270972004.webp,36,,1750.0,"{'price': {'amount': 1750.0, 'currencySuffix': '€/mês'}}",flat,rent,126.0,4,1,rua Actor Chaby Pinheiro s/n,Lisboa,Algés - Linda-a-Velha - Cruz Quebrada - Dafundo,Linda-a-Velha,pt,,38.7117831,-9.2486237,True,https://www.idealista.pt/imovel/33894573/,9606,"Excelente apartamento renovado, no centro de Linda a Velha, com quatro quartos, sala com lareira e recuperador de calor, varandas, elevador e garagem em box e muita luz.   A cozinha está equipada com máquina de lavar roupa e loiça, fogão, forno e um combinado. Um dos quartos é em suite, e temos um WC completo para os outros três quartos. Tem também uma dispensa. Todos os quartos e a sala têm generosas dimensões.   A localização é muito central, perto de comércio, cafés, transportes. Fica também perto do Estádio Nacional, um óptimo espaço verde onde pode estar em contacto com a natureza, jogar golfe, ténis, natação, futebol. Visite. Informações adicionais: Licença de Utilização nº 172 de 1989/09/05 emitida pela CM Oeiras Tipologia: T4 Área útil: 126 m2 Licença de utilização: 172.",False,good,False,,14.0,{'typology': 'flat'},"{'subtitle': 'Algés - Linda-a-Velha - Cruz Quebrada - Dafundo, Oeiras', 'title': 'Apartamento na rua Actor Chaby Pinheiro s/n'}",False,False,False,False,False,False,KWPT-004878,
33894471,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/e6/78/75/270969728.webp,30,,2200.0,"{'price': {'amount': 2200.0, 'currencySuffix': '€/mês'}}",flat,rent,138.0,2,2,Parede,Lisboa,Carcavelos e Parede,Parede,pt,,38.695031,-9.3488999,False,https://www.idealista.pt/imovel/33894471/,18487,"PROCURA UM APARTAMENTO T2 AO PÉ DA PRAIA DA PAREDE E DA ESTAÇÃO?  ESTE APARTAMENTO T2 NO BUZANO CHEIO DE SOL É O QUE PROCURA! ARRENDAMENTO SEM MÓVEIS E A PARTIR DE 01/09/2023. AGENDE JÁ A SUA VISITA! Este apartamento é composto por: Hall de entrada 10m2 com roupeiro, Sala ampla com 34m2 com lareira em recuperador de calor e acesso a um terraço 14m2, cozinha totalmente equipada com 13m2 também com acesso ao terraço +lavandaria adjacente 5m2 com despensa wc social, 2 quartos 13m2 cada ambos com roupeiros e uma casa de banho recentemente remodelada com 6m2. Inserido num prédio com 2 elevadores, tem ainda uma arrecadação e 2 lugares de parqueamento. L. U 705/2002 Para mais informações ou marcar visita contacte-nos  Categoria Energética: B-  ref: C0706/23.",False,good,False,True,16.0,{'typology': 'flat'},"{'subtitle': 'Carcavelos e Parede, Cascais', 'title': 'Apartamento'}",True,False,False,False,False,False,C0706/23,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
33872411,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/c0/1e/5f/270967583.webp,19,1,850.0,"{'price': {'amount': 850.0, 'currencySuffix': '€/mês'}}",flat,rent,44.0,1,1,Santo António,Setúbal,Costa de Caparica,Santo António,pt,,38.6522254,-9.2346348,False,https://www.idealista.pt/imovel/33872411/,12345,"Apartamento T1 | Costa Da Caparica | Um Exclusivo JuntaMo, Lda* T1 com boas áreas na Costa,  Apartamento, com cozinha equipada e composto por: - 1 Sala com kitchenette - 1 Quarto - 1 Casa de Banho  Este apartamento encontra-se numa zona residencial, perto de escolas e todo o tipo de comércio, a dois passos das praias e do Centro da Costa da Caparica. Equipado e pronto a habitar com todo o conforto e com excelentes acessibilidades. Venha conhecer a sua futura morada, ****Condições de Arrendamento: - Contrato de Longa Duração *******Comprovativos de Rendimentos******** - 3 Últimos Recibos de Vencimento - IRS + Nota de Liquidação - 2 Rendas + 1 Caução - Imóvel não disponível para contrato de curta duração, sublocação ou exploração. Os proprietários poderão ainda solicitar outra documentação que julguem necessário. JuntaMo. Lda - Juntos N’um Propósito.",False,good,False,True,19.0,{'typology': 'flat'},"{'subtitle': 'Costa de Caparica, Almada', 'title': 'Apartamento'}",False,False,False,False,False,False,JMACCOST,
33894345,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/d2/8b/f4/270964887.webp,35,,2250.0,"{'price': {'amount': 2250.0, 'currencySuffix': '€/mês'}}",duplex,rent,127.0,4,2,"praceta Luís de Camões, 51",Lisboa,São Domingos de Rana,Rana,pt,,38.6959864,-9.3492032,True,https://www.idealista.pt/imovel/33894345/,18486,"Descubra este espaçoso apartamento T4, duplex, com vista de mar, em uma localização privilegiada no Buzano, São Domingos de Rana! Ideal para quem procura conforto, qualidade e praticidade. Características: Excelentes áreas e ótima distribuição dos espaços. Cozinha totalmente equipada, ideal para preparar refeições com praticidade. Quartos no piso superior com janelas Velux, proporcionando uma ótima luminosidade. 2 casas de banho completas e remodeladas com modernas bases de duche. Sala ampla com lareira e recuperador de calor, perfeita para momentos de convívio em família. Sistema de aquecimento com aquecedores elétricos e ar condicionado. Varanda espaçosa com vista mar, ideal para refeições ao ar livre. Roupeiros embutidos em três quartos, além de uma prática despensa na cozinha. Localização e Acessos: A apenas 5 minutos da Praia da Parede, para quem valoriza a proximidade do mar. Fácil acesso à autoestrada A5 para Lisboa, a menos de 5 minutos. Próximo a todo o tipo de comércio e serviços para maior conveniência. Garagem: Garagem box para 2 carros com entrada independente pela rua, portão automático com comando, para maior comodidade e segurança. Uma excelente oportunidade para viver com conforto, praticidade e uma vista deslumbrante.  Marque já a sua visita e venha conhecer o seu futuro lar! Algumas fotos são virtual staging. Para o arrendamento é necessário:  O valor apresentado não inclui eletricidade, água e internet. Para o contrato de arrendamento será necessária toda a documentação dos inquilinos, vinculo laboral, provas de rendimentos e fiador credível. É pedida uma caução e 2 rendas adiantadas.",False,good,False,True,18.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'São Domingos de Rana, Cascais', 'title': 'Duplex na praceta Luís de Camões, 51'}",True,False,False,False,False,False,C0283-01019,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
