propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,neighborhood,parkingSpace,newDevelopmentFinished
33897215,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/7d/61/be/271091114.webp,67031_110125,12,3,760.0,"{'price': {'amount': 760.0, 'currencySuffix': '€/mês'}}",flat,rent,30.0,1,1,travessa da Cara,Lisboa,Misericórdia,Bairro Alto,pt,38.7121548,-9.1445142,False,https://www.idealista.pt/imovel/33897215/,2761,"Disponível em: 01/02/2025.  Reserve em linha clicando abaixo do mapa em ""Link adicional"".  ************* COMO É QUE FUNCIONA O SPACEST. COM? Spacest. com é uma plataforma online para alugueres de médio-longo prazo que foi criada como garantia para o arrendatário: verificamos todos os apartamentos e as fotos são recentes e fiáveis para que possa reservar online com paz de espírito para evitar que alguém o faça antes de si.  Para reservar online, siga o link no fundo da página (abaixo do mapa) e clique em ""alugar agora"". Se precisar de assistência, por favor contacte-nos e nós ajudá-lo-emos. Custos de abertura do contrato:  50€ to be paid in the check-in for administrative expenses + 1 monthly rent in advance O apartamento está a partir do dia 2025-02-01. O apartamento tem uma área total de 30 metros quadrados. Há 1 quarto(s), 1 banheiro(s). As despesas do condomínio não estão incluídas no aluguel. É necessário um período mínimo de permanência de 1 mês/meses. É possível reservar diretamente online.",False,good,False,False,25.0,{'typology': 'flat'},"{'subtitle': 'Misericórdia, Lisboa', 'title': 'Apartamento na travessa da Cara'}",False,False,False,False,False,False,,,
33892870,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/a7/aa/06/270889741.webp,128890_100125,10,,850.0,"{'price': {'amount': 850.0, 'currencySuffix': '€/mês'}}",studio,rent,50.0,0,1,beco João Alves,Lisboa,Ajuda,Rio Seco - Casalinho,pt,38.7069882,-9.1913791,False,https://www.idealista.pt/imovel/33892870/,5379,"Disponível em: 01/02/2025.  Reserve em linha clicando abaixo do mapa em ""Link adicional"".  ************* COMO É QUE FUNCIONA O SPACEST. COM? Spacest. com é uma plataforma online para alugueres de médio-longo prazo que foi criada como garantia para o arrendatário: verificamos todos os apartamentos e as fotos são recentes e fiáveis para que possa reservar online com paz de espírito para evitar que alguém o faça antes de si.  Para reservar online, siga o link no fundo da página (abaixo do mapa) e clique em ""alugar agora"". Se precisar de assistência, por favor contacte-nos e nós ajudá-lo-emos. Custos de abertura do contrato:  50€ to be paid in the check-in for administrative expenses + 1 monthly rent in advance Aviso de cancelamento: 1 meses O apartamento está a partir do dia 2025-02-01. Há 1 banheiro(s). Os serviços e o condomínio são incluídos no valor do aluguel. É necessário um período mínimo de permanência de 1 mês/meses. É possível reservar diretamente online.",False,good,False,False,17.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Ajuda, Lisboa', 'title': 'T0 no beco João Alves'}",False,False,False,False,False,False,,,
33897203,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/f9/c6/46/271091032.webp,157633_130125,28,,1807.0,"{'price': {'amount': 1807.0, 'currencySuffix': '€/mês'}}",studio,rent,25.0,0,1,rua do Conde de Redondo,Lisboa,Santo António,Campo de Santana - Santa Marta,pt,38.7257149,-9.1439147,False,https://www.idealista.pt/imovel/33897203/,1253,"Disponível em: 01/02/2025.  Reserve em linha clicando abaixo do mapa em ""Link adicional"".  ************* COMO É QUE FUNCIONA O SPACEST. COM? Spacest. com é uma plataforma online para alugueres de médio-longo prazo que foi criada como garantia para o arrendatário: verificamos todos os apartamentos e as fotos são recentes e fiáveis para que possa reservar online com paz de espírito para evitar que alguém o faça antes de si.  Para reservar online, siga o link no fundo da página (abaixo do mapa) e clique em ""alugar agora"". Se precisar de assistência, por favor contacte-nos e nós ajudá-lo-emos. Custos de abertura do contrato:  Administrative fee: €250 O apartamento está a partir do dia 2025-02-01. O apartamento tem uma área total de 25 metros quadrados. Há 1 banheiro(s). Os serviços e o condomínio são incluídos no valor do aluguel. É necessário um período mínimo de permanência de 5 mês/meses. É possível reservar diretamente online.",False,good,False,False,72.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Santo António, Lisboa', 'title': 'T0 na rua do Conde de Redondo'}",False,False,False,False,False,False,,,
33892869,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/54/17/e9/270889723.webp,133030_100125,18,,1500.0,"{'price': {'amount': 1500.0, 'currencySuffix': '€/mês'}}",flat,rent,180.0,3,2,rua de Entre-Muros,Lisboa,Santo Antão e São Julião do Tojal,,pt,38.8555761,-9.1195441,False,https://www.idealista.pt/imovel/33892869/,13341,"Disponível em: 01/02/2025.  Reserve em linha clicando abaixo do mapa em ""Link adicional"".  ************* COMO É QUE FUNCIONA O SPACEST. COM? Spacest. com é uma plataforma online para alugueres de médio-longo prazo que foi criada como garantia para o arrendatário: verificamos todos os apartamentos e as fotos são recentes e fiáveis para que possa reservar online com paz de espírito para evitar que alguém o faça antes de si.  Para reservar online, siga o link no fundo da página (abaixo do mapa) e clique em ""alugar agora"". Se precisar de assistência, por favor contacte-nos e nós ajudá-lo-emos. Custos de abertura do contrato:  Monthly payments are not accepted. The options available for payment are bi-annually or annually. Não são aceites pagamentos mensais. As opções de pagamento disponíveis são semestrais ou anuais. Aviso de cancelamento: 1 meses O apartamento está a partir do dia 2025-02-01. O apartamento tem uma área total de 180 metros quadrados. Há 3 quarto(s), 2 banheiro(s). Também tem 1 sala(s) de estar. As despesas do condomínio não estão incluídas no aluguel. É necessário um período mínimo de permanência de 6 mês/meses. É possível reservar diretamente online.",False,good,False,False,8.0,{'typology': 'flat'},"{'subtitle': 'Santo Antão e São Julião do Tojal, Loures', 'title': 'Apartamento na rua de Entre-Muros'}",False,False,False,False,False,False,,,
33897210,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/6f/d7/71/271090881.webp,155743_130125,20,5,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mês'}}",flat,rent,43.0,1,1,rua Giovanni Antinori,Lisboa,Ajuda,Rio Seco - Casalinho,pt,38.705774,-9.1933688,False,https://www.idealista.pt/imovel/33897210/,5598,"Disponível em: 01/02/2025.  Reserve em linha clicando abaixo do mapa em ""Link adicional"".  ************* COMO É QUE FUNCIONA O SPACEST. COM? Spacest. com é uma plataforma online para alugueres de médio-longo prazo que foi criada como garantia para o arrendatário: verificamos todos os apartamentos e as fotos são recentes e fiáveis para que possa reservar online com paz de espírito para evitar que alguém o faça antes de si.  Para reservar online, siga o link no fundo da página (abaixo do mapa) e clique em ""alugar agora"". Se precisar de assistência, por favor contacte-nos e nós ajudá-lo-emos. Custos de abertura do contrato:  Administrative fee: €120 O apartamento está a partir do dia 2025-02-01. O apartamento tem uma área total de 43 metros quadrados. Há 1 quarto(s), 1 banheiro(s). Também tem 1 sala(s) de estar. As despesas do condomínio não estão incluídas no aluguel. É necessário um período mínimo de permanência de 1 mês/meses. É possível reservar diretamente online.",False,good,False,True,28.0,{'typology': 'flat'},"{'subtitle': 'Ajuda, Lisboa', 'title': 'Apartamento na rua Giovanni Antinori'}",False,False,False,False,False,False,,,
33896888,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/98/38/7e/271085307.webp,,27,,3950.0,"{'price': {'amount': 3950.0, 'currencySuffix': '€/mês'}}",chalet,rent,172.0,4,3,São João,Lisboa,Cascais e Estoril,Estoril,pt,38.7008254,-9.3857028,False,https://www.idealista.pt/imovel/33896888/,21461,"Chalé de charme para alugar em São João do Estoril, junto à praia da Azarujinha. A encantadora casa tem uma localização privilegiada, a 2 minutos a pé da praia da Azarujinha, foi equipada com bom gosto com um generoso hall de entrada, uma sala de estar e uma sala de jantar separada. A cozinha totalmente equipada é espaçosa. No primeiro andar tem 4 quartos com roupeiros e duas casas de banho completas para todos os quartos. A casa tem aquecimento central, tetos altos, pisos em madeira e janelas com vidros duplos. Situa-se a 5 minutos a pé da estação de comboios de São João e a 2 minutos da praia. *** São João do Estoril é uma grande vila residencial com apartamentos e casas individuais. Há uma grande variedade de comércio local, incluindo um pequeno centro comercial, supermercado, padaria, açougue, farmácia, bancos, cafés e restaurantes. A praia e a estação ferroviária estão a uma curta distância a pé. A autoestrada A5 para Lisboa fica a cinco minutos de carro. O Estoril fica a cinco minutos de carro e Cascais a 10 minutos de carro. *** São João do Estoril é uma grande zona residencial com apartamentos e moradias individuais. Tem uma grande variedade de comércio local, incluindo um pequeno centro comercial, supermercado, padaria, talho, farmácia, bancos, cafés e alguns restaurantes. A praia e a estação de comboios estão a uma curta distância. A autoestrada A5 para Lisboa fica a cinco minutos de carro. O Estoril fica a cinco minutos de carro e Cascais fica a 10 minutos de carro.",False,good,False,,23.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'São João, Cascais', 'title': 'Moradia independente'}",False,False,False,False,False,False,São João,,
33897150,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/97/52/67/271089855.webp,138072_120125,55,,4456.0,"{'price': {'amount': 4456.0, 'currencySuffix': '€/mês'}}",flat,rent,153.0,2,2,rua Vítor Cordon,Lisboa,Misericórdia,Chiado - Pç. de Camões,pt,38.7072373,-9.1412471,False,https://www.idealista.pt/imovel/33897150/,3305,"Disponível em: 31/01/2025.  Reserve em linha clicando abaixo do mapa em ""Link adicional"".  ************* COMO É QUE FUNCIONA O SPACEST. COM? Spacest. com é uma plataforma online para alugueres de médio-longo prazo que foi criada como garantia para o arrendatário: verificamos todos os apartamentos e as fotos são recentes e fiáveis para que possa reservar online com paz de espírito para evitar que alguém o faça antes de si.  Para reservar online, siga o link no fundo da página (abaixo do mapa) e clique em ""alugar agora"". Se precisar de assistência, por favor contacte-nos e nós ajudá-lo-emos. Custos de abertura do contrato:  NOT INCLUDED IN PRICE: Cleaning Fee(NOT OPTIONAL, NOT REFUNDABLE): 110 (FlatPerStay - a fixed value will be added once per whole stay)    Cleaning fee: 110 O apartamento está a partir do dia 2025-01-31. O apartamento tem uma área total de 153 metros quadrados. Há 2 quarto(s), 2 banheiro(s). Também tem 1 sala(s) de estar. Os serviços e o condomínio são incluídos no valor do aluguel. É possível reservar diretamente online.",False,good,False,False,29.0,{'typology': 'flat'},"{'subtitle': 'Misericórdia, Lisboa', 'title': 'Apartamento na rua Vítor Cordon'}",False,False,False,False,False,False,,,
33897145,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/7c/f4/ce/271089708.webp,166272_120125,31,,3122.0,"{'price': {'amount': 3122.0, 'currencySuffix': '€/mês'}}",flat,rent,140.0,3,3,avenida David Mourão-Ferreira,Lisboa,Lumiar,Alto do Lumiar - Quinta das Conchas - Quinta do Lambert,pt,38.7752185,-9.15251,False,https://www.idealista.pt/imovel/33897145/,4339,"Disponível em: 23/01/2025.  Reserve em linha clicando abaixo do mapa em ""Link adicional"".  ************* COMO É QUE FUNCIONA O SPACEST. COM? Spacest. com é uma plataforma online para alugueres de médio-longo prazo que foi criada como garantia para o arrendatário: verificamos todos os apartamentos e as fotos são recentes e fiáveis para que possa reservar online com paz de espírito para evitar que alguém o faça antes de si.  Para reservar online, siga o link no fundo da página (abaixo do mapa) e clique em ""alugar agora"". Se precisar de assistência, por favor contacte-nos e nós ajudá-lo-emos. Custos de abertura do contrato:  NOT INCLUDED IN PRICE: Cleaning Fee(NOT OPTIONAL, NOT REFUNDABLE): 110 (FlatPerStay - a fixed value will be added once per whole stay)    Cleaning fee: 110 O apartamento está a partir do dia 2025-01-23. O apartamento tem uma área total de 140 metros quadrados. Há 3 quarto(s), 3 banheiro(s). Também tem 1 sala(s) de estar. Os serviços e o condomínio são incluídos no valor do aluguel. É necessário um período mínimo de permanência de 1 mês/meses. É possível reservar diretamente online.",False,good,False,True,22.0,{'typology': 'flat'},"{'subtitle': 'Lumiar, Lisboa', 'title': 'Apartamento na avenida David Mourão-Ferreira'}",False,False,False,False,False,False,,,
33897140,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/0a/e1/8e/271089355.webp,136663_130125,19,,1000.0,"{'price': {'amount': 1000.0, 'currencySuffix': '€/mês'}}",flat,rent,60.0,1,1,rua do Facho,Leiria,Óbidos e Sobral da Lagoa,Óbidos,pt,39.3613747,-9.1562157,False,https://www.idealista.pt/imovel/33897140/,69439,"Disponível em: 18/01/2025.  Reserve em linha clicando abaixo do mapa em ""Link adicional"".  ************* COMO É QUE FUNCIONA O SPACEST. COM? Spacest. com é uma plataforma online para alugueres de médio-longo prazo que foi criada como garantia para o arrendatário: verificamos todos os apartamentos e as fotos são recentes e fiáveis para que possa reservar online com paz de espírito para evitar que alguém o faça antes de si.  Para reservar online, siga o link no fundo da página (abaixo do mapa) e clique em ""alugar agora"". Se precisar de assistência, por favor contacte-nos e nós ajudá-lo-emos. Aviso de cancelamento: 1 meses O apartamento está a partir do dia 2025-01-18. O apartamento tem uma área total de 60 metros quadrados. Há 1 quarto(s), 1 banheiro(s). Também tem 1 sala(s) de estar. Os serviços e o condomínio são incluídos no valor do aluguel. É necessário um período mínimo de permanência de 1 mês/meses. É possível reservar diretamente online.",False,good,False,False,17.0,{'typology': 'flat'},"{'subtitle': 'Óbidos e Sobral da Lagoa, Óbidos', 'title': 'Apartamento na rua do Facho'}",False,False,False,False,False,False,,,
33897115,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/f2/0d/b1/271088995.webp,131681_110125,40,,5000.0,"{'price': {'amount': 5000.0, 'currencySuffix': '€/mês'}}",flat,rent,50.0,2,1,rua do Salitre,Lisboa,Santo António,Av. da Liberdade - Marquês de Pombal,pt,38.7193982,-9.1495282,False,https://www.idealista.pt/imovel/33897115/,2039,"Disponível em: 24/01/2025.  Reserve em linha clicando abaixo do mapa em ""Link adicional"".  ************* COMO É QUE FUNCIONA O SPACEST. COM? Spacest. com é uma plataforma online para alugueres de médio-longo prazo que foi criada como garantia para o arrendatário: verificamos todos os apartamentos e as fotos são recentes e fiáveis para que possa reservar online com paz de espírito para evitar que alguém o faça antes de si.  Para reservar online, siga o link no fundo da página (abaixo do mapa) e clique em ""alugar agora"". Se precisar de assistência, por favor contacte-nos e nós ajudá-lo-emos. O apartamento está a partir do dia 2025-01-24. Há 2 quarto(s), 1 banheiro(s). Os serviços e o condomínio são incluídos no valor do aluguel. É necessário um período mínimo de permanência de 1 mês/meses. É possível reservar diretamente online.",False,good,False,False,100.0,{'typology': 'flat'},"{'subtitle': 'Santo António, Lisboa', 'title': 'Apartamento na rua do Salitre'}",False,False,False,False,False,False,,,
