propertyCode,thumbnail,numPhotos,floor,price,priceInfo,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,parkingSpace,priceByArea,change,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,savedAd,notes,topPlus,topNewDevelopment,externalReference,newDevelopmentFinished
98499173,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/08/09/aa/1014458274.webp,24,6,1400.0,"{'price': {'amount': 1400.0, 'currencySuffix': '€/mes'}}",flat,rent,62.0,True,1,1,calle Félix Boix,Madrid,Madrid,Chamartín,es,Nueva España,40.4614534,-3.6875082,False,https://www.idealista.com/inmueble/98499173/,"SOELADO PISO! Es una sexta planta con muchísima luz, la vivienda cuenta con amplio salón-comedor, agradable terraza, cocina totalmente equipada, una habitación y cuarto de baño. La calefacción es central incluida en el precio, cabe destacar que el piso esta casi a estrenar, la casa es muy buena y cuenta con portero físico. DISPONIBLE A PARTIR DEL 15 DE MAYO 2025, SE PUEDE VISITAR ANTES.",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 100.0}",23.0,{},{'typology': 'flat'},"{'subtitle': 'Nueva España, Madrid', 'title': 'Piso en calle Félix Boix'}",False,False,False,False,{},[],False,False,,
107805410,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f6/21/77/1324288756.webp,20,2,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mes'}}",studio,rent,30.0,True,0,1,calle de Luis Vélez de Guevara,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4143757,-3.7008986,False,https://www.idealista.com/inmueble/107805410/,"Estudio exterior de 1 dormitorio en 2da planta con ascensor. Totalmente amueblado.  Salón con sofá, TV y cocina completamente equipada con vitrocerámica, microondas, lavadora y frigorífico.  Dormitorio con cama doble y armario, además de ventana con balcón con vistas. Cuarto de baño con lavabo, vater y plato de ducha con mampara de cristal. Aire acondicionado (frio / calor) en salón. Ropa de cama y toallas provistas.  Cargo fijo mensual de suministros 120€ mensual (electricidad, agua e internet).  CONDICIONES DE NEGOCIACIÓN 1. Se alquila con CONTRATO de TEMPORADA, no de vivienda habitual. 2. Para reservar mediante pago de 1er mes de renta alquiler + cargo de Fee de gestión. 3. Dos meses de depósito/fianza de garantía (retornables al finalizar el contrato). 4. Suministros (electricidad, agua y wifi): 150€ mensuales. 5. La renta y los suministros se pagan del 1-5 de cada mes. 6. Si vienes como estudiante debe proveer copia del DNI ó PASAPORTE, carta de admisión de la universidad a la que va; y si es por trabajo será necesario demostrar solvencia económica, contrato de trabajo y 3 últimos meses de nómina. 7. No se permiten animales o mascotas. *La renta varia en función de la estancia*.",False,good,False,True,,40.0,{},"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Lavapiés-Embajadores, Madrid', 'title': 'Estudio en calle de Luis Vélez de Guevara'}",False,False,False,False,{},[],False,False,1998,
107805110,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8b/d3/e8/1324283011.webp,38,1,1250.0,"{'price': {'amount': 1250.0, 'currencySuffix': '€/mes'}}",flat,rent,89.0,True,1,2,calle de Julián Camarillo,Madrid,Madrid,San Blas,es,Simancas,40.4363829,-3.6238536,False,https://www.idealista.com/inmueble/107805110/,"LOFT con cocina y PLAZA DE PARKING. En el corazón del Parque Empresarial de Julián Camarillo, encontramos este luminoso Loft en una planta primera. Los 89 m2 construidos (74m2 útiles) están distribuidos en dos plantas: - Planta entrada: con una superficie de 48 m2 diáfanos, cuenta con un aseo, cocina con electrodomésticos, armario empotrado y salida a una terraza de 3 m2 - Planta superior a la que accedemos a través de la escalera, con una superficie de 26m2 diáfanos y con un baño completo con plato de ducha. Los suelos son de tarima y en los cuartos de baño, de gres. El loft tiene una salida de humos doméstica, suelo con calefacción radiante en la planta baja y aire acondicionado con bomba frio/calor en entreplanta. Se entrega recién pintado. El precio del alquiler incluye una plaza de parking. Recinto cerrado con amplia zona verde y portero físico. A pocos metros de parada de Autobús EMT 105, a solo 10 minutos a pie de la estación de metro Suanzes (L5) y a 13 minutos de hermanos García Noblejas con paradas de autobús de la EMT 4, 38, 48 y 70 e interurbanos 286,288, 289 y N203. Fácil acceso a la A2, M40 y M30 y de la estación de Metro de hermanos García Noblejas (L7). Fantástica ubicación, próximo al Recinto Ferial Juan Carlos I, la Universidad de Navarra, La Clínica Universitaria Alfonso X El Sabio y al aeropuerto Adolfo Suarez Madrid-Barajas.  Barrio consolidado con multitud de oferta de hostelería, supermercados, hoteles y comercio de proximidad. Entorno con grandes edificios de oficinas, automoción, logística, prensa, macro-oficinas financieras, etc.. . Si quieres más información no dudes en contactar con nosotros. Estaremos encantados de atenderte. FERPRA, tu inmobiliaria de confianza desde 1995. *La información, fotos o cualquiera de los datos detallados en este anuncio pueden sufrir modificaciones/actualizaciones por mandato expreso de la propiedad o por exigencias comerciales*.",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",14.0,{},{'typology': 'flat'},"{'subtitle': 'Simancas, Madrid', 'title': 'Piso en calle de Julián Camarillo'}",True,False,False,False,{},[],False,False,,
107805617,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/35/18/96/1324289924.webp,23,8,1100.0,"{'price': {'amount': 1100.0, 'currencySuffix': '€/mes'}}",flat,rent,63.0,True,1,1,calle de Santa Susana,Madrid,Madrid,Hortaleza,es,Pinar del Rey,40.476472,-3.6476534,False,https://www.idealista.com/inmueble/107805617/,"Zazume te trae este piso situado en el barrio de Pinar del Rey, distrito de Hortaleza, en una de las mejores zonas del centro de Madrid. Luminoso, con un excelente estado, amueblado y muy bien comunicado con la parada de metro Parque de Sta. María a 3 minutos a pie. Contrato temporal (Estancia máxima 11 meses y 30 días renovable) En Zazume estaremos permanentemente a tu disposición para que tu hogar sea una experiencia inolvidable. ¡Alquila tu casa y dedícate a vivir! Este inmueble consta de: - 1 dormitorio con armario empotrado, aire acondicionado y televisión - 1 cuarto de baño completo con ducha - Cocina equipada con nevera y microondas - Balcón con espectaculares vistas - Terraza La vivienda es exterior, que da a una calle muy amplia. Los gastos de comunidad y agua van a cargo del propietario, y los gastos de suministros a cargo del inquilino. Comunicación privilegiada con posibilidades de transporte, metro, línea 4, autobuses con parada muy próxima, líneas 107 a Plaza de Castilla y línea 9 a Sol. Comercio de todo tipo en proximidad. A 3 minutos un Mercadona. Cerca de la vivienda, encontrarás una zona residencial tranquila con un ambiente acogedor. A pocos pasos, hay varios parques, perfecto para disfrutar de un paseo. La zona cuenta con una buena oferta de restaurantes y cafeterías donde puedes saborear la gastronomía local. También hay tiendas y supermercados que facilitan las compras diarias.  Las condiciones para alquilar son:  -2 meses de fianza -1 mes + IVA en concepto de honorarios (contrato temporal)  -el mes en curso. Disponemos de una amplia cartera de pisos con diferentes características para cubrir todas tus necesidades. ¡Consúltanos sin compromiso y únete a la revolución del alquiler Zazume!",False,good,False,True,,17.0,{},{'typology': 'flat'},"{'subtitle': 'Pinar del Rey, Madrid', 'title': 'Piso en calle de Santa Susana'}",False,False,False,False,{},[],False,False,ZZM68661R,
107805513,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3d/26/b3/1324288391.webp,32,1,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mes'}}",flat,rent,70.0,True,2,1,calle de Peña Gorbea,Madrid,Madrid,Puente de Vallecas,es,San Diego,40.3962314,-3.6677395,False,https://www.idealista.com/inmueble/107805513/,"¡GRAN OPORTUNIDAD! Servicheck alquila.  DISPONIBILIDAD – Disponible a partir del 1 de abril Atención preferente por WhatsApp Horario de atención: Lunes a viernes: Mañanas: 09:30 - 14:00 Tardes: 17:00 - 20:00 -(preferiblemente) Pareja. -Maximo dos personas -No mascotas Para visitas presenciales, contactar con Emiliano al (Atención por WhatsApp). Visita virtual 3D disponible para una experiencia más completa. Piso en alquiler en Nueva Numancia  Características del inmueble: Superficie: 70 m² construidos, 67 m² útiles Distribución: -2 dormitorios con armarios empotrados,  -1 baño completo -Salón: Muy luminoso, con acceso a balcón -Cocina: Estilo americana, totalmente equipada Climatización: Calefacción individual eléctrica y aire acondicionado en el salón Estado: Segunda mano, buen estado, amueblado. Ubicación: 1ª planta, exterior, sin ascensor Ubicación y conexiones: Situado en Calle Peña Gorbea, San Diego, Puente de Vallecas, Madrid A menos de 2 minutos a pie del metro Nueva Numancia (Línea 1) Paradas de autobús cercanas con múltiples conexiones Zona con todos los servicios: colegios, centros de salud, supermercados y comercios. No dejes pasar esta oportunidad. Contacta ahora y agenda tu visita.",False,good,False,False,,17.0,{},{'typology': 'flat'},"{'subtitle': 'San Diego, Madrid', 'title': 'Piso en calle de Peña Gorbea'}",False,False,True,False,{},[],False,False,grobea-alquiler21,
107805518,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/16/6b/94/1324288335.webp,32,1,5800.0,"{'price': {'amount': 5800.0, 'currencySuffix': '€/mes'}}",flat,rent,160.0,True,4,3,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.427753,-3.6799542,False,https://www.idealista.com/inmueble/107805518/,"Fantástico y amplio piso en zona Top - Salamanca Engel & Völkers presenta este fantástico piso, ubicado en uno de los mejores barrios de Madrid. Se trata de una vivienda recién reformada y a estrenar. Al entrar, se aprecia el amplio salón-comedor, iluminado por luz natural que entra a través de las ventanas, y con acceso a una extensa terraza. En este espacio también se encuentra una habitación que podría adaptarse como despacho. A la derecha de la entrada, se halla la cocina, que es espaciosa y está completamente equipada con electrodomésticos de última generación. Además, cuenta con una puerta de servicio. A lo largo del pasillo se encuentran las habitaciones. La vivienda dispone de cuatro dormitorios, siendo el principal en suite con baño privado. Además, cuenta con dos baños completos adicionales. Es importante destacar que se ha mantenido el parquet original, que le aporta un encanto único. La propiedad también incluye dos plazas de garaje. En resumen, es una vivienda amplia y cómoda, ideal para una familia que desee vivir en uno de los barrios más exclusivos de Madrid. La vivienda está ubicada en el prestigioso barrio de Salamanca. Salamanca es, sin duda, el mejor y más solicitado distrito de Madrid, ya que está repleto de auténticas joyas de construcción arquitectónicas de finales del siglo XIX. En la actualidad, Recoletos es un enclave perfecto dentro del barrio de Salamanca, ya que es una zona noble, aunque con la característica de poder hacer vida de barrio. Posee todos los servicios importantes como colegios, reconocidas clínicas y hospitales, farmacias, mercados gourmet, etc. así como estupendas vías de acceso a la M-30. Cuenta con diversas líneas de transporte público y estaciones de Metro alrededor y, por supuesto, una gran oferta gastronómica de gran categoría para disfrutar y satisfacer a los paladares más exigentes. Recoletos es, sin duda, la mejor opción del barrio Salamanca.",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",36.0,{},{'typology': 'flat'},"{'subtitle': 'Recoletos, Madrid', 'title': 'Piso'}",False,False,False,False,{},[],False,False,W-02ZEG3,
107805550,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/1b/37/1324287990.webp,39,,2600.0,"{'price': {'amount': 2600.0, 'currencySuffix': '€/mes'}}",penthouse,rent,34.0,True,2,1,calle del Cid,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4235955,-3.6907858,False,https://www.idealista.com/inmueble/107805550/,"SALAMANCA/RECOLETOS Disponible a partir del 1 de agosto   Exclusivo ático  en alquiler temporal en  Recoletos, totalmente amueblado.. . Dicha calle se encuentra, muy cercana a la renombrada calle Serrano y a pocos metros andando del Parque del Retiro. Por su ubicación, residir en la zona es todo un privilegio, ya que se puede disfrutar tanto de zonas ajardinadas como de famosos locales de restauración y de las maravillosas terrazas ubicadas en la Puerta de Alcalá.  La vivienda se encuentra en una última planta de un edificio construido en el año 1900, que mantiene el gran portalón de paso de carruajes y las escaleras y barandillas de hierro originales. Consta de 30 m² de vivienda + 20 m² de una preciosa terraza.  Los metros de la vivienda están distribuidos en hall de entrada, pequeño salón con cocina americana totalmente equipada y zona de comedor con un amplio armario empotrado. La habitación tiene cama de matrimonio con canapé, dos mesillas y un espacioso armario empotrado. El cuarto de baño es de 3 piezas y con ducha de hidromasaje. Toda la casa se entrega amueblada y tiene aire acondicionado tanto en salón como en el dormitorio. Las paredes son lisas, el suelo de tarima recién instalado, la calefacción es individual de gas natural y toda la carpintería interior es de aluminio climalit blanco.  Tenemos que destacar la terraza, ya que es espectacular tanto por su espacio, como por su equitación ya que tiene una mesa amplia con 4 butacas y todo el frontal decorado con jardineras. Esto hace que se pueda disfrutar durante muchos meses del año del sol, la deseosa luz y sobre todo, de la tranquilidad que tiene esa calle.  Una parte del coste de consumo responsable de los suministros como son luz, agua, calefacción, aire acondicionado e internet de alta velocidad están incluidos en el precio. También incluye una hora de limpieza semanal, con posibilidad de ampliar e incluir sabanas y toallas, así como otros servicios.  .",False,good,False,True,,76.0,{},"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Recoletos, Madrid', 'title': 'Ático en calle del Cid'}",False,False,False,False,{},[],False,False,14763,
95811907,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ef/56/07/833698866.webp,20,1,890.0,"{'price': {'amount': 890.0, 'currencySuffix': '€/mes'}}",flat,rent,46.0,True,1,1,"samaniego, 12",Madrid,Madrid,San Blas,es,Rejas,40.4438648,-3.5823765,True,https://www.idealista.com/inmueble/95811907/,"Piso con plaza de garaje incluida(con acceso directo a casa) en el precio.  Equipado por completo y listo para vivir.  En la mancomunidad hay  piscina para niños y adultos, pista de paddel, y jardín infantil, además de varias zonas verdes.  Portero físico24h.  Dispone de salón amueblado, cocina completa(con horno, lavaplatos, lavadora, etc.. . ) y dormitorio doble con armario empotrado. Junto a Plenilunio y aeropuerto muy cercano. Ventanales muy grandes en salón y dormitorio que dan mucha luz a la vivienda. Agua incluida.  Si esta el anuncio, esta disponible el piso.",True,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",19.0,{},{'typology': 'flat'},"{'subtitle': 'Rejas, Madrid', 'title': 'Piso en samaniego, 12'}",False,False,False,False,{},[],False,False,,
107805249,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/75/f6/5b/1324281472.webp,21,4,1600.0,"{'price': {'amount': 1600.0, 'currencySuffix': '€/mes'}}",flat,rent,66.0,True,1,1,calle de Castelló,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4281194,-3.682055,False,https://www.idealista.com/inmueble/107805249/,"LEER la descripción por favor. Disponible desde el 1 de mayo. ¡Que estas esperando! Precioso piso contemporáneo, ideal para cualquier pareja o persona sola. Este hogar ofrece todo lo necesario para una estancia cómoda y agradable. Perfecto para quienes buscan un lugar práctico y acogedor en una ubicación excelente. ¡No pierdas la oportunidad de mudarte a este maravilloso espacio! Características destacadas: +Reformado +64m2 útiles +Aire acondicionado +Amoblado LISTO PARA INGRESAR A VIVIR +Conexión y conveniencia: Metros a pocos pasos y otras líneas de buses. Amplia variedad de servicios cercanos, como supermercados, bancos y correo, tendrás todo lo que necesitas al alcance de tu mano. +Contrato anual Para visitar el inmueble se pedirá: - TRABAJADORES: Foto DNI o pasaporte, CON CONTRATO Y NOMINAS. -ESTUDIANTES: Foto DNI o algún identificación, MATRICULA al día, AVALISTA CON CONTRATO Y NOMINAS. Para ingresar se pedirá 1 MES DE FIANZA, 1 MES DE CORRIENTE Y HONORARIOS. Mostraremos a las personas que presenten la documentación completa, sin excepciones.",False,good,False,True,,24.0,{},{'typology': 'flat'},"{'subtitle': 'Castellana, Madrid', 'title': 'Piso en calle de Castelló'}",False,False,False,False,{},[],False,False,,
107805263,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/51/03/00/1324281758.webp,11,2,1150.0,"{'price': {'amount': 1150.0, 'currencySuffix': '€/mes'}}",flat,rent,35.0,False,1,1,calle de Felipe III,Madrid,Madrid,Centro,es,Sol,40.4152367,-3.7075473,False,https://www.idealista.com/inmueble/107805263/,"Select Residencial pone a tu disposición este acogedor apartamento en pleno corazón de Madrid, la Plaza Mayor. Totalmente equipado y listo para entrar a vivir, ideal para quienes buscan confort, funcionalidad y una ubicación céntrica. Condiciones del alquiler: Ideal para cortas ó largas estancias, con contratos de alquiler mínimo desde 3 meses y un máximo de 11 meses. Con Mobiliario muy funcional, menaje completo, ropa de cama y electrodomésticos incluidos, para una estancia sin preocupaciones. Ubicación inmejorable, con excelente conexión de transporte público (metro Sol a 5 min, autobuses y cercanías). Rodeado de servicios esenciales: supermercados, farmacias, bancos y centros de salud. Amplia oferta gastronómica y de ocio, con restaurantes, cafeterías y zonas comerciales a pocos pasos. Disponibilidad inmediata: entra a vivir ya sin esperas, contáctanos para realizar una visita, nos adaptamos a tu disponibilidad.",False,good,False,False,,33.0,{},{'typology': 'flat'},"{'subtitle': 'Sol, Madrid', 'title': 'Piso en calle de Felipe Iii'}",False,False,False,False,{},[],False,False,,
