propertyCode,thumbnail,externalReference,numPhotos,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,floor,parkingSpace,neighborhood,newDevelopmentFinished
33942691,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/39/a7/05/273286111.webp,C0518-00220,17,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mês'}}",flat,rent,40.0,1,1,"rua Alexandre de Sá Pinto, 167",Lisboa,Belém,Centro,pt,38.7013214,-9.1967496,True,https://www.idealista.pt/imovel/33942691/,"Localização privilegiada em Belém, Lisboa Este charmoso apartamento T1 está situado na Rua Alexandre Sá Pinto, na Ajuda, em Belém, a apenas 10 minutos a pé do rio Tejo, do MAAT e da estação de comboios de Belém. Uma localização central, com excelente acesso a transportes públicos e próximo de todas as comodidades. Apartamento totalmente remodelado e com excelente exposição solar Com 40m² de área bruta privativa, o imóvel foi cuidadosamente remodelado para proporcionar conforto e funcionalidade. - Infraestruturas de águas, esgotos e eletricidade renovadas; - Ar condicionado instalado; - Terraço virado a sul, perfeito para momentos ao ar livre e muita luz natural. Características principais do apartamento: - Pavimento em soalho maciço de madeira de pinho envernizado; - Cozinha e casa de banho com pavimento cerâmico; - Roupeiros e portas com acabamento branco; - Cozinha equipada com:  - Forno;  - Placa de indução;  - Exaustor;  - Frigorífico. O apartamento tem orientação nascente no quarto e hall, e poente na sala e cozinha, garantindo luz natural ao longo do dia. Condições de arrendamento - Renda mensal: 1.200€; - Duração do contrato: 1 ano; - Pagamento inicial: 2 rendas + caução equivalente a 1 renda; - Documentação necessária:  - Carta de apresentação;  - 2 últimas folhas de ordenado;  - Contrato de trabalho;  - IRS. - Fiador:  - Folha de ordenado;  - Contrato de trabalho;  - IRS. Viva com conforto numa zona icônica de Lisboa Esta é uma oportunidade única para viver num dos bairros mais charmosos de Lisboa, com história, acessibilidade e qualidade de vida. Agende já a sua visita e descubra tudo o que este apartamento pode oferecer! Meta Description: Descubra este luminoso T1 totalmente remodelado em Belém, com terraço virado a sul. Localização privilegiada, a 10 minutos do rio Tejo, do MAAT e da estação de comboios. Renda mensal de 1.200€.  Agende sua visita!",False,good,False,False,30.0,{'typology': 'flat'},"{'subtitle': 'Belém, Lisboa', 'title': 'Apartamento na rua Alexandre de Sá Pinto, 167'}",False,False,False,False,False,False,,,,
33942305,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/10/c2/57/273279652.webp,P25. 0101,19,1350.0,"{'price': {'amount': 1350.0, 'currencySuffix': '€/mês'}}",flat,rent,87.0,2,1,rua Barão de Sabrosa,Lisboa,Penha de França,Bairro dos Actores - Barão Sabrosa,pt,38.7359234,-9.1305235,False,https://www.idealista.pt/imovel/33942305/,"Apartamento T2 ""restaurado como novo"", com 75 m2 distribuídos por Hall, Sala, 2 Quartos, um com roupeiro, 2 varandas, W. C. e Cozinha equipada com, com placa /exaustor, forno e esquentador, Despensa. Inserido no 2. º andar de um prédio de 5 pisos, com elevador. Cozinha equipada com; máquina de lavar roupa, forno/placa, exaustor e esquentador, com Bancada em Granito. Vidros duplos. Chão em madeira ""taco envernizado"", excepto na casa de banho, cozinha e varandas, que é em mosaico cerâmico. Exposição solar nascente / poente. Equipamentos: Placa, exaustor e forno. Sem mobília. Janelas com vidros duplos que proporcionam isolamento acústico e térmico  a luz natural Cozinha e sala virados para o nascer do sol Quartos viradas para o pôr do sol 2 elevadores para um acesso cómodo Totalmente restaurado e pronto a habitar.  Localizado na Rua Barão de Sabrosa ""junto à Alameda D. Afonso Henriques com seu esplendoroso jardim"". Instituto Superior Técnico e Universidades.  Uma excelente zona para viver. Muito diversificado na sua vivência, rico na sua história. Comércio local, pastelarias, mercearias, lojas tradicionais de bairro, bons restaurantes onde é possível disfrutar da gastronomia tradicional Portuguesa, Centro de saúde, farmácias e infra/estruturas de apoio, e muito mais. Com uma vasta rede transportes, nomeadamente, Bus (á porta), metropolitano, assim como próximo dos principais eixos de circulação rodoviária, bem como um bom parque de estacionamento.  Com acessos facilitados ao Aeroporto Internacional de Lisboa e a 30 minutos das praias de Cascais e Caparica. Agende a sua visita com Primeira Habitação Lda...",True,good,False,True,16.0,{'typology': 'flat'},"{'subtitle': 'Penha de França, Lisboa', 'title': 'Apartamento na rua Barão de Sabrosa'}",False,False,False,False,False,False,2,,,
33942400,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/96/db/f9/273278475.webp,APA_426,32,1700.0,"{'price': {'amount': 1700.0, 'currencySuffix': '€/mês'}}",flat,rent,88.0,2,1,Marvila,Lisboa,Marvila,,pt,38.7423944,-9.101999,False,https://www.idealista.pt/imovel/33942400/,"Este apartamento T2, com lugar de parqueamento encontra-se mobilado e equipado. Tem muita luminosidade, com ampla vista frontal de rio, varanda e está pronto a habitar. O apartamento tem aquecimento central e ar condicionado. Segurança 24H e videoporteiro. Rodeado de serviços, supermercados e farmácia, com o metro à porta, linha vermelha (Bela Vista) Próximo da RTP, Parque das Nações, centro da cidade. Principais vias rodoviárias em redor do condomínio. Se procura apartamento de referência, em condomínio, mobilado e equipado, marque a sua visita! Condição: 2 rendas e 2 cauções Sujeito a proposta de longa duração.",False,good,False,,19.0,{'typology': 'flat'},"{'subtitle': 'Marvila, Lisboa', 'title': 'Apartamento'}",False,False,False,False,False,False,,,,
33942399,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/3a/dd/0b/273278456.webp,PE-123751016-129,21,1000.0,"{'price': {'amount': 1000.0, 'currencySuffix': '€/mês'}}",studio,rent,36.0,0,1,Telheiras,Lisboa,Carnide,Telheiras,pt,38.764798,-9.1822459,False,https://www.idealista.pt/imovel/33942399/,"T0 – Mobilado - Estacionamento - Junto ao Continente de Telheiras Oportunidade T0, bastante funcional, mobilado e equipado. Está inserido num prédio de 2001, com elevador. Possui estacionamento coberto. Está localizado junto ao Continente de Telheiras, zona residencial, com bons acessos rodoviários. Encontra-se próximo de escolas, restaurantes, comércio local e serviços, próximo de tudo. Aqui está, uma oportunidade para uma etapa temporária da sua vida. Venha conhecer! Condições de arrendamento: - 3 rendas (1 caução e 2 antecipadas) - Últimos recibos de vencimento - IRS - Fiadores **Autorização de Utilização Nº 412, emitida a 2001/04/09 pela Câmara Municipal de Lisboa** Licença de Utilização - **Autorização de Utilização Nº 412, emitida a 2001/04/09 pela Câmara Municipal de Lisboa**.",True,good,False,True,28.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Carnide, Lisboa', 'title': 'T0'}",False,False,False,False,False,False,,,,
33942394,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/7c/4a/7a/273278406.webp,PE-123751057-391,25,1800.0,"{'price': {'amount': 1800.0, 'currencySuffix': '€/mês'}}",flat,rent,106.0,2,2,Alto do Lumiar - Quinta das Conchas - Quinta do Lambert,Lisboa,Lumiar,Alto do Lumiar - Quinta das Conchas - Quinta do Lambert,pt,38.7651138,-9.1556176,False,https://www.idealista.pt/imovel/33942394/,"Apartamento T2 para Arrendar no Parque Europa – Lumiar Procura um apartamento completo, confortável e bem localizado? Este T2 no Parque Europa, em Lumiar, pode ser o que procura! Características do imóvel: • Tipologia: T2 • Localização: Parque Europa, Lumiar • Áreas: Sala ampla, cozinha equipada, 2 quartos com roupeiros (um deles em suite) e duas casas de banho. • Varandas: Duas pequenas varandas nos quartos • Garagem: 1 lugar de estacionamento privativo. • Arrecadação: Espaço adicional para arrumação. • Piscina: Acesso a piscina no topo do edifício. Condições e Mobília: • Apartamento encontra-se mobilado. • Flexibilidade: Parte da mobília pode ser retirada, caso necessário. Vantagens da localização: • Zona calma e residencial. • Proximidade de transportes públicos, estação de metro a 100 metros. • Serviços e comércio local por perto: supermercados, escolas, ginásios e zonas verdes. Valor do arrendamento: 1800 €/mês Pagamento de 2 rendas mais uma renda de caução na assinatura do contrato de arrendamento. Se procura conforto e tranquilidade numa localização privilegiada, este apartamento é ideal para si! Contacte já para mais informações ou agendar uma visita! **Autorização de Utilização Nº 121/COP emitida a 1994/11/18 pela Câmara Municipal de Lisboa** _____________________________________________________________________ 2 bedroom apartment for rent in Parque Europa - Lumiar Are you looking for a complete, comfortable and well-located apartment? This 2-bedroom apartment in Parque Europa, Lumiar, could be just what you're looking for! Property features: - Type: T2 - Location: Parque Europa, Lumiar - Areas: Large living room, fitted kitchen, 2 bedrooms with closets (one en suite) and two bathrooms. - Balconies: Two small balconies in the bedrooms - Garage: 1 private parking space. - Storage room: Additional storage space. - Swimming pool: Access to the pool at the top of the building. Condition and furnishings: - Apartment is furnished. - Flexibility: Part of the furniture can be removed if necessary. Location advantages: - Quiet, residential area. - Close to public transport, metro station 100 meters away. - Services and local commerce close by: supermarkets, schools, gyms and green areas. Rent: 1800 €/month Payment of 2 rents plus a security deposit on signing the lease. If you're looking for comfort and tranquillity in a privileged location, this apartment is ideal for you! Contact us now for more information or to schedule a visit! **Use permit no 121/COP, issued at 1994/11/18 by the Câmara Municipal de Lisboa** Licença de Utilização - **Autorização de Utilização Nº 121/COP emitida a 1994/11/18 pela Câmara Municipal de Lisboa**.",False,good,False,,17.0,{'typology': 'flat'},"{'subtitle': 'Lumiar, Lisboa', 'title': 'Apartamento'}",False,False,False,False,False,False,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
33942370,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/11/fd/a5/273276977.webp,131731_010225,25,2400.0,"{'price': {'amount': 2400.0, 'currencySuffix': '€/mês'}}",flat,rent,58.0,2,2,rua das Escolas Gerais,Lisboa,São Vicente,São Vicente de Fora,pt,38.7126442,-9.1309081,False,https://www.idealista.pt/imovel/33942370/,"Disponível em: 24/04/2025.  Reserve em linha clicando abaixo do mapa em ""Link adicional"".  ************* COMO É QUE FUNCIONA O SPACEST.COM? Spacest.com é uma plataforma online para alugueres de médio-longo prazo que foi criada como garantia para o arrendatário: verificamos todos os apartamentos e as fotos são recentes e fiáveis para que possa reservar online com paz de espírito para evitar que alguém o faça antes de si.  Para reservar online, siga o link no fundo da página (abaixo do mapa) e clique em ""alugar agora"". Se precisar de assistência, por favor contacte-nos e nós ajudá-lo-emos. Custos de abertura do contrato:  €95 Cleaning fee: Cleaning fee: ✔ Elegant flat near Fado Museum ✔ 624 ft2 | 58 m2 ✔ 2 bedrooms ✔ 2 bathrooms ✔ Well-equipped kitchen  ✔ Very fast 200 Mbps WiFi Speed /optic fibre/  ✔ 1-minute walk to R. Escolas Gerais bus stop ✔ 8-minute walk to Lisbon Cathedral ✔ 18-minute walk to Arco da Rua Augusta ✔ 19-minute walk to the Money Museum ✔ 20-minute walk to Santa Justa Lift ✔ 26-minute walk to Pink Street  SPACES ⭐ 2 bedrooms  — the main bedroom is complete with a queen size bed — the second bedroom offers twin beds ⭐ 2 bathrooms ⭐ A comfy living room with a flat-screen TV  ⭐ Well-equipped kitchen  ⭐ Dining area suitable for up to 4 guests ⭐ Family friendly ⭐ An extensive area guide is provided, and we are available 24/7 ⭐ Essentials, linens, towels, and WiFi are provided � Save this property listing to your wishlist for future trips ACCESS ● Guests will have access to the entire apartment. ● The property is on the first floor, and a lift is available. ● There are 2 flights of stairs to the property. Check-in Information: Guests are free to check in on their own with a self-check-in system.  PROPERTY MANAGEMENT We’re proud to host our guests in a wide selection of top-quality properties across Europe.  INTERACTIONS If you have any questions before or during your stay, we’re here for you 24/7. SURROUNDINGS Alfama is often described as a living museum, with its narrow streets and alleys lined with colourful, weathered buildings. Many of these structures date back centuries, and their architecture reflects a mix of Moorish and European influences. Dominating the skyline of Alfama is the São Jorge Castle (Castelo de São Jorge). This medieval fortress offers spectacular panoramic views of the city and the Tagus River. It's a must-visit for history enthusiasts and those seeking stunning vistas. Alfama boasts several viewpoints (miradouros), offering breathtaking views of Lisbon and the river. These include the Miradouro das Portas do Sol and the Miradouro da Graça, excellent places to take in the scenery. Alfama is a charming and historic district that captures the essence of Lisbon's past while offering visitors a delightful blend of culture, music, and breathtaking views. Exploring its streets and absorbing the atmosphere is an essential part of any visit to the Portuguese capital. TRANSPORT ● There is no free parking available at this property. ● The nearest bus stop is R. Escolas Gerais, a 1-minute walk. ● The nearest metro station is Martim Moniz, an 11-minute walk. ● The nearest ferry terminal is Terreiro do Paço, a 16-minute walk. ✈ Nearest airport: Humberto Delgado Airport: a 24-minute drive NOTES ∗Please note that guests are obligated to pay a city tax due to local government law. This city tax varies between cities, and it is not included in the accommodation fare and cleaning fee. ∗Please note that essential supplies such as towels, shower gel, shampoo, toilet paper, and bedding are provided only upon check-in and will not be replaced throughout your stay. ⚡ In light of the current situation, we kindly ask our g.",False,good,False,False,41.0,{'typology': 'flat'},"{'subtitle': 'São Vicente, Lisboa', 'title': 'Apartamento na rua das Escolas Gerais'}",False,False,False,False,False,False,1,,,
33942369,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/e3/78/8e/273276945.webp,131761_010225,32,1800.0,"{'price': {'amount': 1800.0, 'currencySuffix': '€/mês'}}",flat,rent,50.0,1,1,rua Nogueira e Sousa,Lisboa,Santo António,Campo de Santana - Santa Marta,pt,38.7225724,-9.1424682,False,https://www.idealista.pt/imovel/33942369/,"Disponível em: 12/02/2025.  Reserve em linha clicando abaixo do mapa em ""Link adicional"".  ************* COMO É QUE FUNCIONA O SPACEST.COM? Spacest.com é uma plataforma online para alugueres de médio-longo prazo que foi criada como garantia para o arrendatário: verificamos todos os apartamentos e as fotos são recentes e fiáveis para que possa reservar online com paz de espírito para evitar que alguém o faça antes de si.  Para reservar online, siga o link no fundo da página (abaixo do mapa) e clique em ""alugar agora"". Se precisar de assistência, por favor contacte-nos e nós ajudá-lo-emos. Custos de abertura do contrato:  €80 Cleaning fee: Cleaning fee: Area: Marquês de Pombal, Lisbon.  Very central for those who want to be close to the city centre but not on the city centre. This self-catered apartment with 100sqm is the perfect choice for your holiday vacation. Situated in a residential area at a nice walk of 15min of the city centre this spacious one bedroom apartment has a big terrace where you can sunbathe, eat outside or just relax watching the sunset after a long day of sightseeing. The bedroom has a nice double bed, a desk in case you want to do some work and a window facing the terrace. You have a full bathroom, a big open kitchen (American style) with a dining space for 4 people and a nice living room with a huge sofa, cable TV and a nice corner with a sofa bed in case you are traveling with a friend or child. The living room has direct access to the terrace where you have some sofas and a table to relax at the end of the day or to have a dinner with your friends. The apartment is equipped with cable TV, Wi-Fi, and ac throughout.  APARTMENT DETAILS: Size (m2): 100; Floor: Ground; Lift: No; Wheelchair access: No; Sleeps: 3; Bedrooms: 1; Bathrooms: 1; Neighbourhood: Marquês Pombal; OTHER INFORMATION:  - No smoking - No pets - No parties or events A late check-in fee of 30€ will be charged in cash on the spot for arrivals between 10:00 PM and midnight, 40€ for check-ins between midnight and 2:00 AM and 50€ after 2:00 AM. Please note that due to government requirements, you will have to present a valid travel document, upon check-in. Fully renovated apartment located at a 10min walk from the square Marquês de Pombal and the Parque Eduardo VII. You have also the sightseeing buses in the square as well as the Hop-on Hop-off bus to visit the city. If you like walking you can take a nice walk of 15min down the Avenida da Liberdade until the city centre: Baixa-Chiado. You have small cafes with terraces along the avenue where you can take a coffee or get lunch. At the end of the avenue, you have the Tourism Office where you can go get more information about what to do in the city. The closest supermarket is at walking distance from the apartment as well as bakeries and coffee shops. It is perfectly situated, close to the metro at Marques de Pombal and to other means of transport to commute to the historical or business centre. How to arrive at the property: 1) Hassle free: Private shuttle service. Prices for 1-3 people: 25€ (one way) or 45€ (roundtrip). Prices for 4-8 people: 35€ (one way) or 65€ (roundtrip).  2) Simple and fast: Please follow the instructions you will receive from us. It will take approximately 15-30min (depending on traffic of course). Price: ( /-) 15€.  3) Cheapest:  a) Metro: get off at Avenida Metro Station and then walk 700m until the apartment. Price: 1.75€ per person.  b) Aerobus: (from Lisbon airport) get off at Avenida da Liberdade and then walk 700m until the apartment. Total cost: 3.60€per person. We are proud to offer our guests a wide selection of top-quality properties across Europe.  - Strictly no smoking, no parties, no pets. - Dispose of rubbish appropriately.",False,good,False,False,36.0,{'typology': 'flat'},"{'subtitle': 'Santo António, Lisboa', 'title': 'Apartamento na rua Nogueira e Sousa'}",False,False,False,False,False,False,bj,,,
33942366,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/c4/01/96/273276871.webp,172651_010225,21,2500.0,"{'price': {'amount': 2500.0, 'currencySuffix': '€/mês'}}",flat,rent,92.0,2,1,praça Francisco Sá Carneiro,Lisboa,Areeiro,Centro,pt,38.7410071,-9.133232,False,https://www.idealista.pt/imovel/33942366/,"Disponível em: 01/02/2025.  Reserve em linha clicando abaixo do mapa em ""Link adicional"".  ************* COMO É QUE FUNCIONA O SPACEST.COM? Spacest.com é uma plataforma online para alugueres de médio-longo prazo que foi criada como garantia para o arrendatário: verificamos todos os apartamentos e as fotos são recentes e fiáveis para que possa reservar online com paz de espírito para evitar que alguém o faça antes de si.  Para reservar online, siga o link no fundo da página (abaixo do mapa) e clique em ""alugar agora"". Se precisar de assistência, por favor contacte-nos e nós ajudá-lo-emos. Custos de abertura do contrato:  Administrative fee: €250 EN Our Modern Areeiro Apartment is perfect for those seeking a blend of contemporary design and comfort in one of Lisbon's most charming and central neighborhoods. Prime Location: Areeiro Situated in the heart of Areeiro, this area offers the tranquility of a residential district with easy access to some of Lisbon’s top attractions. Within walking distance, you'll discover cozy cafes, traditional Portuguese restaurants, and a variety of shops. Public transport is just steps away, with Areeiro metro station and bus stops nearby, making it easy to explore the city affordably. Modern Space & Amenities This beautifully designed apartment features two comfortable bedrooms and two modern bathrooms, providing ample space for a relaxing stay. The fully equipped kitchen includes all the essentials, such as a refrigerator, oven, stove, and dishwasher. A sunlit balcony offers the perfect spot for morning coffee, and the building’s shared swimming pool adds an extra touch of luxury. Located on the 2nd floor, the apartment is easily accessible via elevator. Book Your Stay Now! Don’t miss out on the opportunity to stay in this modern and comfortable apartment in Areeiro. Enjoy a perfect mix of design and convenience in one of Lisbon’s most desirable neighborhoods. *Please note that the final price may vary depending on additional features like a garage. Additional Costs: Utilities: Not included; estimated at 150€ per month, additional charges may apply for overages Monthly Cleaning Service: 100€/month (mandatory) Note: Administrative fee not included PT O nosso moderno apartamento no Areeiro é perfeito para quem procura uma mistura de design contemporâneo e conforto num dos bairros mais charmosos e centrais de Lisboa. Localização privilegiada: Areeiro Situada no coração do Areeiro, esta área oferece a tranquilidade de um bairro residencial com fácil acesso a algumas das principais atracções de Lisboa. A uma curta distância a pé, descobrirá cafés acolhedores, restaurantes tradicionais portugueses e uma variedade de lojas. Os transportes públicos estão a poucos passos de distância, com a estação de metro do Areeiro e paragens de autocarro nas proximidades, facilitando a exploração da cidade de forma acessível. Espaço moderno e comodidades Este apartamento, com um design elegante, possui dois quartos confortáveis e duas casas de banho modernas, proporcionando um espaço amplo para uma estadia relaxante. A cozinha totalmente equipada inclui todos os elementos essenciais, tais como um frigorífico, forno, fogão e máquina de lavar louça. Uma varanda iluminada pelo sol oferece o local perfeito para o café da manhã, e a piscina partilhada do edifício acrescenta um toque extra de luxo. Localizado no 2º andar, o apartamento é facilmente acessível por elevador. Reserve já a sua estadia! Não perca a oportunidade de ficar neste moderno e confortável apartamento no Areeiro. Desfrute de uma mistura perfeita de design e conveniência num dos bairros mais desejados de Lisboa. *Por favor, note que o preço final pode variar dependendo de caraterísticas adicionais, como uma garagem. Custos adicionais: Despesas (água, luz internet - Não incluídas): 150€ por mês, podem.",False,good,False,True,27.0,{'typology': 'flat'},"{'subtitle': 'Areeiro, Lisboa', 'title': 'Apartamento na praça Francisco Sá Carneiro'}",False,False,False,False,False,False,,,,
33942359,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/21/55/d3/273276648.webp,181013_230125,4,1300.0,"{'price': {'amount': 1300.0, 'currencySuffix': '€/mês'}}",flat,rent,40.0,1,2,travessa Terreirinho,Lisboa,Santa Maria Maior,Castelo - Mouraria,pt,38.7156397,-9.1337063,False,https://www.idealista.pt/imovel/33942359/,"Disponível em: 01/02/2025.  Reserve em linha clicando abaixo do mapa em ""Link adicional"".  ************* COMO É QUE FUNCIONA O SPACEST. COM? Spacest. com é uma plataforma online para alugueres de médio-longo prazo que foi criada como garantia para o arrendatário: verificamos todos os apartamentos e as fotos são recentes e fiáveis para que possa reservar online com paz de espírito para evitar que alguém o faça antes de si.  Para reservar online, siga o link no fundo da página (abaixo do mapa) e clique em ""alugar agora"". Se precisar de assistência, por favor contacte-nos e nós ajudá-lo-emos. � Apresentamos um encantador estúdio de 40m2 no coração da Mouraria, Lisboa – uma fusão de conforto moderno e charme histórico. Este estúdio totalmente mobiliado e equipado foi projetado para proporcionar uma experiência de vida aconchegante e conveniente. A cozinha é um paraíso culinário, com eletrodomésticos de primeira linha, como air-fryer, fogão, micro-ondas, cafeteira, máquina de café e torradeira. Vem completo com todos os utensílios necessários para cozinhar sem complicações. Tem ainda máquina de lavar roupa e internet rápida. Descanse tranquilamente no espaço cuidadosamente organizado, onde roupas de cama e toalhas são fornecidas para seu conforto. O estúdio está bem localizado, com serviços essenciais, farmácias, supermercados e metro a poucos passos. Explore as atrações próximas, incluindo o icônico Castelo e a histórica zona da Baixa Pombalina. O que diferencia este estúdio é o arrendamento com tudo incluído, que cobre suas contas para uma experiência de vida sem stresse. Por favor, note que este estúdio é uma zona livre de animais de estimação e de fumo. Aproveite a oportunidade para fazer deste encantador estúdio na Mouraria a sua nova casa – onde convergem conforto, comodidade e charme.",False,good,False,False,33.0,{'typology': 'flat'},"{'subtitle': 'Santa Maria Maior, Lisboa', 'title': 'Apartamento na travessa Terreirinho'}",False,False,False,False,False,False,bj,,,
33942358,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/2a/26/ef/273276628.webp,131911_010225,20,2800.0,"{'price': {'amount': 2800.0, 'currencySuffix': '€/mês'}}",flat,rent,40.0,1,1,Pátio Salema,Lisboa,Santa Maria Maior,Rossio - Martim Moniz,pt,38.7157513,-9.1375394,False,https://www.idealista.pt/imovel/33942358/,"Disponível em: 12/02/2025.  Reserve em linha clicando abaixo do mapa em ""Link adicional"".  ************* COMO É QUE FUNCIONA O SPACEST.COM? Spacest.com é uma plataforma online para alugueres de médio-longo prazo que foi criada como garantia para o arrendatário: verificamos todos os apartamentos e as fotos são recentes e fiáveis para que possa reservar online com paz de espírito para evitar que alguém o faça antes de si.  Para reservar online, siga o link no fundo da página (abaixo do mapa) e clique em ""alugar agora"". Se precisar de assistência, por favor contacte-nos e nós ajudá-lo-emos. Custos de abertura do contrato:  €80 Cleaning fee: Cleaning fee: ✔ Minimalistic apartment next to Rossio Square ✔ 430 ft2 | 40 m2 ✔ 1 bedroom ✔ 1 bathroom ✔ Well-equipped kitchen  ✔ 3-minute walk to Rossio subway station  ✔ 4-minute walk to Dom Pedro IV Square ✔ 6-minute walk to the Restauradores Monument  ✔ 11-minute walk to the Arch of Rua Augusta ✔ 13-minute walk to Lisbon Cathedral ✔ 14-minute walk to The National Museum of Contemporary Art ✔ 15-minute walk to Column Wharf ✔ 16-minute walk to St George Castle ✔ 19-minute walk to Pink Street SPACES ⭐ 1 bedroom  — the bedroom is equipped with 1 double size bed ⭐ 1 bathroom ⭐ A comfy living room with sofa bed & Smart TV  ⭐ Kitchen equipped with all necessary appliances  ⭐ Dining area suitable for up to 2 guests ⭐ Family friendly ⭐ An extensive area guide is provided, and we are available 24/7 ⭐ Essentials, linens, towels, and WiFi are provided � Save this property listing to your wishlist for future trips ACCESS ● Guests will have access to the entire apartment. ● The property is on the first floor, and there is no lift available. ● There are 3 flights of stairs to the property. Check-in Information: Guests are free to check in on their own with a self-check-in system.  PROPERTY MANAGEMENT We’re proud to host our guests in a wide selection of top-quality properties across Europe.  INTERACTIONS If you have any questions before or during your stay, we’re here for you 24/7. SURROUNDINGS The square and surrounding streets are packed with some of the city's most popular restaurants, bars and shops. One of the main attractions in Rossio is the Rossio Square, also known as Praça Dom Pedro IV. This large public square is surrounded by historic buildings and is a popular meeting place for locals and tourists alike. Also, you can explore some of the most famous sights within walking distance, such as Lisbon Cathedral, Carmo Archaeological Museum - a fascinating museum showcasing archaeological discoveries from ancient civilizations and many more. TRANSPORT ● There is no free parking available at this property. ● Pay-and-display parking is available, and it costs 1,60€ per hour. ● A short 3-minute walk will take you to the nearest subway and bus station, both called Rossio.  ● 4-minute walk will take you to the nearest train station Rossio.  ✈ Nearest airport: Humberto Delgado Airport: 34-minute drive NOTES ∗Please note that guests are obligated to pay a city tax due to local government law. This city tax varies between cities, and it is not included in the accommodation fare and cleaning fee. ∗Please be advised that a neighbouring building is undergoing construction work, which may result in some audible noise during your stay. We apologize for any inconvenience this may cause and sincerely appreciate your understanding. *Please note that the washing machine is in a common area. ∗Please note that essential supplies such as towels, shower gel, shampoo, toilet paper, and bedding are provided only upon check-in and will not be replaced throughout your stay. ⚡ In light of the current situation, we kindly ask our guests to consume electricity and gas mindfully. Please note we will add an additional charge for excessive energy usage. HOUSE RULES There.",False,good,False,False,70.0,{'typology': 'flat'},"{'subtitle': 'Santa Maria Maior, Lisboa', 'title': 'Apartamento em Pátio Salema'}",False,False,False,False,False,False,1,,,
