propertyCode,thumbnail,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,externalReference,parkingSpace,neighborhood
33983157,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/b8/a6/00/275242762.webp,21,2,1300.0,"{'price': {'amount': 1300.0, 'currencySuffix': '€/mês'}}",flat,rent,120.0,2,1,rua do Vale de Santo António,Lisboa,São Vicente,São Vicente de Fora,pt,38.7185709,-9.1208051,False,https://www.idealista.pt/imovel/33983157/,"Apartamento T2, situado em valongo Apartamento composto por uma cozinha 100% renovada, dois quartos, uma casa de banho, duas varandas, uma marquise, uma sala. Situada no centro de lisboa  Caso tenha interesse não exite o contato.",True,good,False,True,11.0,{'typology': 'flat'},"{'subtitle': 'São Vicente, Lisboa', 'title': 'Apartamento na rua do Vale de Santo António'}",False,False,False,False,False,False,,,
33969241,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/ff/d6/74/275234692.webp,17,4,1700.0,"{'price': {'amount': 1700.0, 'currencySuffix': '€/mês', 'priceDropInfo': {'formerPrice': 1850.0, 'priceDropValue': 150, 'priceDropPercentage': 8}}}",flat,rent,72.0,1,1,Praça de Espanha - Sete Rios,Lisboa,Campolide,Praça de Espanha - Sete Rios,pt,38.7384396,-9.1676005,False,https://www.idealista.pt/imovel/33969241/,"Identificação do imóvel: ZMPT571109 Descubra um empreendimento residencial de alta qualidade em Campolide, com apartamentos T1, T2 e T3 (cobertura) disponíveis para arrendamento. Estes modernos apartamentos por estrear contam com porta de entrada blindada, tetos rebaixados com iluminação LED, e carpintarias lacadas a branco. Os quartos e salas possuem pavimento flutuante em Vinyl-SPC Carvalho. As cozinhas modernas estão totalmente equipadas com eletrodomésticos embutidos Bosch e tampos Silestone. As casas de banho apresentam loiças sanitárias suspensas Roca e torneiras Grohe. O edifício dispõe de ar-condicionado Daikin, sistema de painéis solares para aquecimento de águas e infraestrutura de telecomunicações em fibra óptica. Com varandas para desfrutar o exterior e garagem incluída, a localização é ideal, próxima a serviços, restaurantes, escolas, universidades e hospitais. Beneficie de rápido acesso a transportes públicos e principais vias. Este projeto incorpora inovações em eficiência energética (Classe A), oferecendo um espaço perfeito para viver com uma qualidade de vida superior. Reserve já o seu! 3 razões para comprar com a Zome + acompanhamento Com uma preparação e experiência única no mercado imobiliário, os consultores Zome põem toda a sua dedicação em dar-lhe o melhor acompanhamento, orientando-o com a máxima confiança, na direção certa das suas necessidades e ambições. Daqui para a frente, vamos criar uma relação próxima e escutar com atenção as suas expectativas, porque a nossa prioridade é a sua felicidade! Porque é importante que sinta que está acompanhado, e que estamos consigo sempre. + simples Os consultores Zome têm uma formação única no mercado, ancorada na partilha de experiência prática entre profissionais e fortalecida pelo conhecimento de neurociência aplicada que lhes permite simplificar e tornar mais eficaz a sua experiência imobiliária. Deixe para trás os pesadelos burocráticos porque na Zome encontra o apoio total de uma equipa experiente e multidisciplinar que lhe dá suporte prático em todos os aspetos fundamentais, para que a sua experiência imobiliária supere as expectativas. + feliz O nosso maior valor é entregar-lhe felicidade! Liberte-se de preocupações e ganhe o tempo de qualidade que necessita para se dedicar ao que lhe faz mais feliz. Agimos diariamente para trazer mais valor à sua vida com o aconselhamento fiável de que precisa para, juntos, conseguirmos atingir os melhores resultados. Com a Zome nunca vai estar perdido ou desacompanhado e encontrará algo que não tem preço: a sua máxima tranquilidade! É assim que se vai sentir ao longo de toda a experiência: Tranquilo, seguro, confortável e... FELIZ! Notas: 1. Caso seja um consultor imobiliário, este imóvel está disponível para partilha de negócio. Não hesite em apresentar aos seus clientes compradores e fale connosco para agendar a sua visita. 2. Para maior facilidade na identificação deste imóvel, por favor, refira o respetivo ID ZMPT ou o respetivo agente que lhe tenha enviado a sugestão.",True,good,False,True,24.0,{'typology': 'flat'},"{'subtitle': 'Campolide, Lisboa', 'title': 'Apartamento'}",True,False,False,False,False,False,ZMPT571109,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
33969231,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/6e/cd/73/275234680.webp,23,3,2450.0,"{'price': {'amount': 2450.0, 'currencySuffix': '€/mês', 'priceDropInfo': {'formerPrice': 2600.0, 'priceDropValue': 150, 'priceDropPercentage': 6}}}",flat,rent,120.0,2,2,Praça de Espanha - Sete Rios,Lisboa,Campolide,Praça de Espanha - Sete Rios,pt,38.7361203,-9.1673654,False,https://www.idealista.pt/imovel/33969231/,"Identificação do imóvel: ZMPT571106 Descubra um empreendimento residencial de alta qualidade em Campolide, com apartamentos T1, T2 e T3 (cobertura) disponíveis para arrendamento. Estes modernos apartamentos por estrear contam com porta de entrada blindada, tetos rebaixados com iluminação LED, e carpintarias lacadas a branco. Os quartos e salas possuem pavimento flutuante em Vinyl-SPC Carvalho. As cozinhas modernas estão totalmente equipadas com eletrodomésticos embutidos Bosch e tampos Silestone. As casas de banho apresentam loiças sanitárias suspensas Roca e torneiras Grohe. Este apartamento conta com dois lugares de garagem e uma arrecadação. O edifício dispõe de ar-condicionado Daikin, sistema de painéis solares para aquecimento de águas e infraestrutura de telecomunicações em fibra óptica. Com varandas para desfrutar o exterior e garagem incluída, a localização é ideal, próxima a serviços, restaurantes, escolas, universidades e hospitais. Beneficie de rápido acesso a transportes públicos e principais vias. Este projeto incorpora inovações em eficiência energética (Classe A), oferecendo um espaço perfeito para viver com uma qualidade de vida superior. Reserve já o seu! 3 razões para comprar com a Zome + acompanhamento Com uma preparação e experiência única no mercado imobiliário, os consultores Zome põem toda a sua dedicação em dar-lhe o melhor acompanhamento, orientando-o com a máxima confiança, na direção certa das suas necessidades e ambições. Daqui para a frente, vamos criar uma relação próxima e escutar com atenção as suas expectativas, porque a nossa prioridade é a sua felicidade! Porque é importante que sinta que está acompanhado, e que estamos consigo sempre. + simples Os consultores Zome têm uma formação única no mercado, ancorada na partilha de experiência prática entre profissionais e fortalecida pelo conhecimento de neurociência aplicada que lhes permite simplificar e tornar mais eficaz a sua experiência imobiliária. Deixe para trás os pesadelos burocráticos porque na Zome encontra o apoio total de uma equipa experiente e multidisciplinar que lhe dá suporte prático em todos os aspetos fundamentais, para que a sua experiência imobiliária supere as expectativas. + feliz O nosso maior valor é entregar-lhe felicidade! Liberte-se de preocupações e ganhe o tempo de qualidade que necessita para se dedicar ao que lhe faz mais feliz. Agimos diariamente para trazer mais valor à sua vida com o aconselhamento fiável de que precisa para, juntos, conseguirmos atingir os melhores resultados. Com a Zome nunca vai estar perdido ou desacompanhado e encontrará algo que não tem preço: a sua máxima tranquilidade! É assim que se vai sentir ao longo de toda a experiência: Tranquilo, seguro, confortável e... FELIZ! Notas: 1. Caso seja um consultor imobiliário, este imóvel está disponível para partilha de negócio. Não hesite em apresentar aos seus clientes compradores e fale connosco para agendar a sua visita. 2. Para maior facilidade na identificação deste imóvel, por favor, refira o respetivo ID ZMPT ou o respetivo agente que lhe tenha enviado a sugestão.",True,good,False,True,20.0,{'typology': 'flat'},"{'subtitle': 'Campolide, Lisboa', 'title': 'Apartamento'}",True,False,False,False,False,False,ZMPT571106,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
33969193,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/69/7a/55/275234705.webp,23,2,2400.0,"{'price': {'amount': 2400.0, 'currencySuffix': '€/mês', 'priceDropInfo': {'formerPrice': 2550.0, 'priceDropValue': 150, 'priceDropPercentage': 6}}}",flat,rent,120.0,2,2,Praça de Espanha - Sete Rios,Lisboa,Campolide,Praça de Espanha - Sete Rios,pt,38.7379847,-9.1678961,False,https://www.idealista.pt/imovel/33969193/,"Identificação do imóvel: ZMPT571104 Descubra um empreendimento residencial de alta qualidade em Campolide, com apartamentos T1, T2 e T3 (cobertura) disponíveis para arrendamento. Estes modernos apartamentos por estrear contam com porta de entrada blindada, tetos rebaixados com iluminação LED, e carpintarias lacadas a branco. Os quartos e salas possuem pavimento flutuante em Vinyl-SPC Carvalho. As cozinhas modernas estão totalmente equipadas com eletrodomésticos embutidos Bosch e tampos Silestone. As casas de banho apresentam loiças sanitárias suspensas Roca e torneiras Grohe. Este apartamento conta com dois lugares de garagem e uma arrecadação. O edifício dispõe de ar-condicionado Daikin, sistema de painéis solares para aquecimento de águas e infraestrutura de telecomunicações em fibra óptica. Com varandas para desfrutar o exterior e garagem incluída, a localização é ideal, próxima a serviços, restaurantes, escolas, universidades e hospitais. Beneficie de rápido acesso a transportes públicos e principais vias. Este projeto incorpora inovações em eficiência energética (Classe A), oferecendo um espaço perfeito para viver com uma qualidade de vida superior. Reserve já o seu! 3 razões para comprar com a Zome + acompanhamento Com uma preparação e experiência única no mercado imobiliário, os consultores Zome põem toda a sua dedicação em dar-lhe o melhor acompanhamento, orientando-o com a máxima confiança, na direção certa das suas necessidades e ambições. Daqui para a frente, vamos criar uma relação próxima e escutar com atenção as suas expectativas, porque a nossa prioridade é a sua felicidade! Porque é importante que sinta que está acompanhado, e que estamos consigo sempre. + simples Os consultores Zome têm uma formação única no mercado, ancorada na partilha de experiência prática entre profissionais e fortalecida pelo conhecimento de neurociência aplicada que lhes permite simplificar e tornar mais eficaz a sua experiência imobiliária. Deixe para trás os pesadelos burocráticos porque na Zome encontra o apoio total de uma equipa experiente e multidisciplinar que lhe dá suporte prático em todos os aspetos fundamentais, para que a sua experiência imobiliária supere as expectativas. + feliz O nosso maior valor é entregar-lhe felicidade! Liberte-se de preocupações e ganhe o tempo de qualidade que necessita para se dedicar ao que lhe faz mais feliz. Agimos diariamente para trazer mais valor à sua vida com o aconselhamento fiável de que precisa para, juntos, conseguirmos atingir os melhores resultados. Com a Zome nunca vai estar perdido ou desacompanhado e encontrará algo que não tem preço: a sua máxima tranquilidade! É assim que se vai sentir ao longo de toda a experiência: Tranquilo, seguro, confortável e... FELIZ! Notas: 1. Caso seja um consultor imobiliário, este imóvel está disponível para partilha de negócio. Não hesite em apresentar aos seus clientes compradores e fale connosco para agendar a sua visita. 2. Para maior facilidade na identificação deste imóvel, por favor, refira o respetivo ID ZMPT ou o respetivo agente que lhe tenha enviado a sugestão.",True,good,False,True,20.0,{'typology': 'flat'},"{'subtitle': 'Campolide, Lisboa', 'title': 'Apartamento'}",True,False,False,False,False,False,ZMPT571104,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
33969239,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/1c/b3/59/275234761.webp,17,2,1600.0,"{'price': {'amount': 1600.0, 'currencySuffix': '€/mês', 'priceDropInfo': {'formerPrice': 1750.0, 'priceDropValue': 150, 'priceDropPercentage': 9}}}",flat,rent,72.0,1,1,Praça de Espanha - Sete Rios,Lisboa,Campolide,Praça de Espanha - Sete Rios,pt,38.7358616,-9.1682059,False,https://www.idealista.pt/imovel/33969239/,"Identificação do imóvel: ZMPT571105 Descubra um empreendimento residencial de alta qualidade em Campolide, com apartamentos T1, T2 e T3 (cobertura) disponíveis para arrendamento. Estes modernos apartamentos por estrear contam com porta de entrada blindada, tetos rebaixados com iluminação LED, e carpintarias lacadas a branco. Os quartos e salas possuem pavimento flutuante em Vinyl-SPC Carvalho. As cozinhas modernas estão totalmente equipadas com eletrodomésticos embutidos Bosch e tampos Silestone. As casas de banho apresentam loiças sanitárias suspensas Roca e torneiras Grohe. O edifício dispõe de ar-condicionado Daikin, sistema de painéis solares para aquecimento de águas e infraestrutura de telecomunicações em fibra óptica. Com varandas para desfrutar o exterior e garagem incluída, a localização é ideal, próxima a serviços, restaurantes, escolas, universidades e hospitais. Beneficie de rápido acesso a transportes públicos e principais vias. Este projeto incorpora inovações em eficiência energética (Classe A), oferecendo um espaço perfeito para viver com uma qualidade de vida superior.Reserve já o seu! 3 razões para comprar com a Zome + acompanhamento Com uma preparação e experiência única no mercado imobiliário, os consultores Zome põem toda a sua dedicação em dar-lhe o melhor acompanhamento, orientando-o com a máxima confiança, na direção certa das suas necessidades e ambições. Daqui para a frente, vamos criar uma relação próxima e escutar com atenção as suas expectativas, porque a nossa prioridade é a sua felicidade! Porque é importante que sinta que está acompanhado, e que estamos consigo sempre. + simples Os consultores Zome têm uma formação única no mercado, ancorada na partilha de experiência prática entre profissionais e fortalecida pelo conhecimento de neurociência aplicada que lhes permite simplificar e tornar mais eficaz a sua experiência imobiliária. Deixe para trás os pesadelos burocráticos porque na Zome encontra o apoio total de uma equipa experiente e multidisciplinar que lhe dá suporte prático em todos os aspetos fundamentais, para que a sua experiência imobiliária supere as expectativas. + feliz O nosso maior valor é entregar-lhe felicidade! Liberte-se de preocupações e ganhe o tempo de qualidade que necessita para se dedicar ao que lhe faz mais feliz. Agimos diariamente para trazer mais valor à sua vida com o aconselhamento fiável de que precisa para, juntos, conseguirmos atingir os melhores resultados. Com a Zome nunca vai estar perdido ou desacompanhado e encontrará algo que não tem preço: a sua máxima tranquilidade! É assim que se vai sentir ao longo de toda a experiência: Tranquilo, seguro, confortável e... FELIZ! Notas: 1. Caso seja um consultor imobiliário, este imóvel está disponível para partilha de negócio. Não hesite em apresentar aos seus clientes compradores e fale connosco para agendar a sua visita. 2. Para maior facilidade na identificação deste imóvel, por favor, refira o respetivo ID ZMPT ou o respetivo agente que lhe tenha enviado a sugestão.",True,good,False,True,22.0,{'typology': 'flat'},"{'subtitle': 'Campolide, Lisboa', 'title': 'Apartamento'}",True,False,False,False,False,False,ZMPT571105,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
33969233,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/b7/54/0c/275234766.webp,15,3,1650.0,"{'price': {'amount': 1650.0, 'currencySuffix': '€/mês', 'priceDropInfo': {'formerPrice': 1800.0, 'priceDropValue': 150, 'priceDropPercentage': 8}}}",flat,rent,72.0,1,1,Praça de Espanha - Sete Rios,Lisboa,Campolide,Praça de Espanha - Sete Rios,pt,38.737926,-9.1654051,False,https://www.idealista.pt/imovel/33969233/,"Identificação do imóvel: ZMPT571107 Descubra um empreendimento residencial de alta qualidade em Campolide, com apartamentos T1, T2 e T3 (cobertura) disponíveis para arrendamento. Estes modernos apartamentos por estrear contam com porta de entrada blindada, tetos rebaixados com iluminação LED, e carpintarias lacadas a branco. Os quartos e salas possuem pavimento flutuante em Vinyl-SPC Carvalho. As cozinhas modernas estão totalmente equipadas com eletrodomésticos embutidos Bosch e tampos Silestone. As casas de banho apresentam loiças sanitárias suspensas Roca e torneiras Grohe. O edifício dispõe de ar-condicionado Daikin, sistema de painéis solares para aquecimento de águas e infraestrutura de telecomunicações em fibra óptica. Com varandas para desfrutar o exterior e garagem incluída, a localização é ideal, próxima a serviços, restaurantes, escolas, universidades e hospitais. Beneficie de rápido acesso a transportes públicos e principais vias. Este projeto incorpora inovações em eficiência energética (Classe A), oferecendo um espaço perfeito para viver com uma qualidade de vida superior.Reserve já o seu! 3 razões para comprar com a Zome + acompanhamento Com uma preparação e experiência única no mercado imobiliário, os consultores Zome põem toda a sua dedicação em dar-lhe o melhor acompanhamento, orientando-o com a máxima confiança, na direção certa das suas necessidades e ambições. Daqui para a frente, vamos criar uma relação próxima e escutar com atenção as suas expectativas, porque a nossa prioridade é a sua felicidade! Porque é importante que sinta que está acompanhado, e que estamos consigo sempre. + simples Os consultores Zome têm uma formação única no mercado, ancorada na partilha de experiência prática entre profissionais e fortalecida pelo conhecimento de neurociência aplicada que lhes permite simplificar e tornar mais eficaz a sua experiência imobiliária. Deixe para trás os pesadelos burocráticos porque na Zome encontra o apoio total de uma equipa experiente e multidisciplinar que lhe dá suporte prático em todos os aspetos fundamentais, para que a sua experiência imobiliária supere as expectativas. + feliz O nosso maior valor é entregar-lhe felicidade! Liberte-se de preocupações e ganhe o tempo de qualidade que necessita para se dedicar ao que lhe faz mais feliz. Agimos diariamente para trazer mais valor à sua vida com o aconselhamento fiável de que precisa para, juntos, conseguirmos atingir os melhores resultados. Com a Zome nunca vai estar perdido ou desacompanhado e encontrará algo que não tem preço: a sua máxima tranquilidade! É assim que se vai sentir ao longo de toda a experiência: Tranquilo, seguro, confortável e... FELIZ! Notas: 1. Caso seja um consultor imobiliário, este imóvel está disponível para partilha de negócio. Não hesite em apresentar aos seus clientes compradores e fale connosco para agendar a sua visita. 2. Para maior facilidade na identificação deste imóvel, por favor, refira o respetivo ID ZMPT ou o respetivo agente que lhe tenha enviado a sugestão.",True,good,False,True,23.0,{'typology': 'flat'},"{'subtitle': 'Campolide, Lisboa', 'title': 'Apartamento'}",True,False,False,False,False,False,ZMPT571107,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
33969248,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/aa/48/30/275235107.webp,23,4,2450.0,"{'price': {'amount': 2450.0, 'currencySuffix': '€/mês', 'priceDropInfo': {'formerPrice': 2650.0, 'priceDropValue': 200, 'priceDropPercentage': 8}}}",flat,rent,120.0,2,2,Praça de Espanha - Sete Rios,Lisboa,Campolide,Praça de Espanha - Sete Rios,pt,38.7356994,-9.1660038,False,https://www.idealista.pt/imovel/33969248/,"Identificação do imóvel: ZMPT571108 Descubra um empreendimento residencial de alta qualidade em Campolide, com apartamentos T1, T2 e T3 (cobertura) disponíveis para arrendamento. Estes modernos apartamentos por estrear contam com porta de entrada blindada, tetos rebaixados com iluminação LED, e carpintarias lacadas a branco. Os quartos e salas possuem pavimento flutuante em Vinyl-SPC Carvalho. As cozinhas modernas estão totalmente equipadas com eletrodomésticos embutidos Bosch e tampos Silestone. As casas de banho apresentam loiças sanitárias suspensas Roca e torneiras Grohe. Este apartamento conta com dois lugares de garagem e uma arrecadação. O edifício dispõe de ar-condicionado Daikin, sistema de painéis solares para aquecimento de águas e infraestrutura de telecomunicações em fibra óptica. Com varandas para desfrutar o exterior e garagem incluída, a localização é ideal, próxima a serviços, restaurantes, escolas, universidades e hospitais. Beneficie de rápido acesso a transportes públicos e principais vias. Este projeto incorpora inovações em eficiência energética (Classe A), oferecendo um espaço perfeito para viver com uma qualidade de vida superior. Reserve já o seu! 3 razões para comprar com a Zome + acompanhamento Com uma preparação e experiência única no mercado imobiliário, os consultores Zome põem toda a sua dedicação em dar-lhe o melhor acompanhamento, orientando-o com a máxima confiança, na direção certa das suas necessidades e ambições. Daqui para a frente, vamos criar uma relação próxima e escutar com atenção as suas expectativas, porque a nossa prioridade é a sua felicidade! Porque é importante que sinta que está acompanhado, e que estamos consigo sempre. + simples Os consultores Zome têm uma formação única no mercado, ancorada na partilha de experiência prática entre profissionais e fortalecida pelo conhecimento de neurociência aplicada que lhes permite simplificar e tornar mais eficaz a sua experiência imobiliária. Deixe para trás os pesadelos burocráticos porque na Zome encontra o apoio total de uma equipa experiente e multidisciplinar que lhe dá suporte prático em todos os aspetos fundamentais, para que a sua experiência imobiliária supere as expectativas. + feliz O nosso maior valor é entregar-lhe felicidade! Liberte-se de preocupações e ganhe o tempo de qualidade que necessita para se dedicar ao que lhe faz mais feliz. Agimos diariamente para trazer mais valor à sua vida com o aconselhamento fiável de que precisa para, juntos, conseguirmos atingir os melhores resultados. Com a Zome nunca vai estar perdido ou desacompanhado e encontrará algo que não tem preço: a sua máxima tranquilidade! É assim que se vai sentir ao longo de toda a experiência: Tranquilo, seguro, confortável e... FELIZ! Notas: 1. Caso seja um consultor imobiliário, este imóvel está disponível para partilha de negócio. Não hesite em apresentar aos seus clientes compradores e fale connosco para agendar a sua visita. 2. Para maior facilidade na identificação deste imóvel, por favor, refira o respetivo ID ZMPT ou o respetivo agente que lhe tenha enviado a sugestão.",True,good,False,True,20.0,{'typology': 'flat'},"{'subtitle': 'Campolide, Lisboa', 'title': 'Apartamento'}",True,False,False,False,False,False,ZMPT571108,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
33982863,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/fa/98/2a/275233665.webp,28,,2200.0,"{'price': {'amount': 2200.0, 'currencySuffix': '€/mês'}}",flat,rent,176.0,3,2,Casal Vistoso,Lisboa,Areeiro,Casal Vistoso,pt,38.7443442,-9.1288925,False,https://www.idealista.pt/imovel/33982863/,"Se procura um lar elegante, luminoso e com uma vista deslumbrante sobre o Tejo e Lisboa, este é o lugar ideal. Apartamento com muita luz natural em prédio servido por dois elevadores com porteiro 24 horas, situado numa das zonas mais procuradas da cidade, este apartamento oferece-lhe a oportunidade de viver no coração da cidade, com tudo o que precisa à sua porta.  É arrendado mobilado e dispõe de um lugar de estacionamento e uma arrecadação. Com todo o tipo de comércio, supermercados, restaurantes, cafés e jardins encantadores, tudo a poucos passos de distância. Além disso, a proximidade a transportes públicos facilita a mobilidade e coloca toda a cidade ao seu alcance. Requisitos para o arrendamento: 2 rendas e 1 caução + fiador Agende já a sua visita!",False,good,False,False,13.0,{'typology': 'flat'},"{'subtitle': 'Areeiro, Lisboa', 'title': 'Apartamento'}",False,False,False,False,False,False,C0429-00405,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
33969257,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/24/14/0e/275241639.webp,18,2,1400.0,"{'price': {'amount': 1400.0, 'currencySuffix': '€/mês', 'priceDropInfo': {'formerPrice': 1500.0, 'priceDropValue': 100, 'priceDropPercentage': 7}}}",flat,rent,60.0,1,1,Praça de Espanha - Sete Rios,Lisboa,Campolide,Praça de Espanha - Sete Rios,pt,38.7371099,-9.1652817,False,https://www.idealista.pt/imovel/33969257/,"Identificação do imóvel: ZMPT571112 Descubra um empreendimento residencial de alta qualidade em Campolide, com apartamentos T1, T2 e T3 (cobertura) disponíveis para arrendamento. Estes modernos apartamentos por estrear contam com porta de entrada blindada, tetos rebaixados com iluminação LED, e carpintarias lacadas a branco. Os quartos e salas possuem pavimento flutuante em Vinyl-SPC Carvalho. As cozinhas modernas estão totalmente equipadas com eletrodomésticos embutidos Bosch e tampos Silestone. As casas de banho apresentam loiças sanitárias suspensas Roca e torneiras Grohe. O edifício dispõe de ar-condicionado Daikin, sistema de painéis solares para aquecimento de águas e infraestrutura de telecomunicações em fibra óptica. Com varandas para desfrutar o exterior e garagem incluída, a localização é ideal, próxima a serviços, restaurantes, escolas, universidades e hospitais. Beneficie de rápido acesso a transportes públicos e principais vias. Este projeto incorpora inovações em eficiência energética (Classe A), oferecendo um espaço perfeito para viver com uma qualidade de vida superior. Reserve já o seu! 3 razões para comprar com a Zome + acompanhamento Com uma preparação e experiência única no mercado imobiliário, os consultores Zome põem toda a sua dedicação em dar-lhe o melhor acompanhamento, orientando-o com a máxima confiança, na direção certa das suas necessidades e ambições. Daqui para a frente, vamos criar uma relação próxima e escutar com atenção as suas expectativas, porque a nossa prioridade é a sua felicidade! Porque é importante que sinta que está acompanhado, e que estamos consigo sempre. + simples Os consultores Zome têm uma formação única no mercado, ancorada na partilha de experiência prática entre profissionais e fortalecida pelo conhecimento de neurociência aplicada que lhes permite simplificar e tornar mais eficaz a sua experiência imobiliária. Deixe para trás os pesadelos burocráticos porque na Zome encontra o apoio total de uma equipa experiente e multidisciplinar que lhe dá suporte prático em todos os aspetos fundamentais, para que a sua experiência imobiliária supere as expectativas. + feliz O nosso maior valor é entregar-lhe felicidade! Liberte-se de preocupações e ganhe o tempo de qualidade que necessita para se dedicar ao que lhe faz mais feliz. Agimos diariamente para trazer mais valor à sua vida com o aconselhamento fiável de que precisa para, juntos, conseguirmos atingir os melhores resultados. Com a Zome nunca vai estar perdido ou desacompanhado e encontrará algo que não tem preço: a sua máxima tranquilidade! É assim que se vai sentir ao longo de toda a experiência: Tranquilo, seguro, confortável e... FELIZ! Notas: 1. Caso seja um consultor imobiliário, este imóvel está disponível para partilha de negócio. Não hesite em apresentar aos seus clientes compradores e fale connosco para agendar a sua visita. 2. Para maior facilidade na identificação deste imóvel, por favor, refira o respetivo ID ZMPT ou o respetivo agente que lhe tenha enviado a sugestão.",True,good,False,True,23.0,{'typology': 'flat'},"{'subtitle': 'Campolide, Lisboa', 'title': 'Apartamento'}",True,False,False,False,False,False,ZMPT571112,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
33982775,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/3a/8f/35/275232133.webp,16,,2000.0,"{'price': {'amount': 2000.0, 'currencySuffix': '€/mês'}}",flat,rent,60.0,2,1,Lapa,Lisboa,Estrela,Lapa,pt,38.7035607,-9.1671489,False,https://www.idealista.pt/imovel/33982775/,"Descubra este elegante apartamento T2, totalmente remodelado e mobilado, pronto a habitar! � Características: ✔ Totalmente mobilado com decoração elegante e acolhedora ✔ Cozinha equipada com máquina de lavar loiça, roupa, frigorífico, fogão e forno ✔ Climatização em todas as divisões (ar condicionado) ✔ Localização privilegiada na Travessa da Amoreira, Lapa � Zona Envolvente: Este apartamento encontra-se numa das áreas mais prestigiadas de Lisboa, repleta de charme e conveniência: ✔ Próximo das embaixadas, garantindo segurança e tranquilidade ✔ A poucos minutos dos principais museus da cidade ✔ Fácil acesso ao LX Factory, um dos polos criativos mais vibrantes de Lisboa, com restaurantes, lojas e eventos culturais ✔ Perto de jardins e espaços verdes para passeios relaxantes Se procura conforto, elegância e uma localização excecional, esta é a oportunidade perfeita! � Marque já a sua visita!",False,good,False,False,33.0,{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Apartamento'}",False,False,False,False,False,False,C0184-01171,,
