propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,parkingSpace,neighborhood
34009649,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/65/2c/56/276316756.webp,APA_831,15,5,3150.0,"{'price': {'amount': 3150.0, 'currencySuffix': '€/mês'}}",flat,rent,167.0,3,4,Alto de Santo Amaro,Lisboa,Alcântara,Alto de Santo Amaro,pt,38.7040313,-9.1843895,False,https://www.idealista.pt/imovel/34009649/,"Localizado em Alcântara, insere-se numa zona residencial muito calma, a 2 minutos a pé do Hotel Pestana.  Ocupa o último piso de um Edifício totalmente reabilitado, com 2 apartamentos por piso. O edifício contém um hall de entrada de grandes dimensões com o chão em pedra mármore, caixas de correio e Elevador. Com 145m² mais 2 terraços (um em cada frente), com 11m² cada, sala comum com sala de estar e jantar, 3 suites, chão em madeira, cozinha com bancada em pedra com cuba e escorredor e equipada com eletrodomésticos. Iluminação embutida em todas as divisões (Assoalhadas), Ar Condicionado, armários em todos os quartos forrados em madeira com varão e gavetas. Conta ainda com vistas deslumbrantes para Lisboa, Rio Tejo, Ponte 25 de Abril e Hotel Pestana.  Categoria Energética: B  ref: APA_831.",False,good,False,False,19.0,{'typology': 'flat'},"{'subtitle': 'Alcântara, Lisboa', 'title': 'Apartamento'}",False,False,False,False,False,False,,
34009508,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/d2/d2/2d/276316425.webp,LXT0108,21,,1250.0,"{'price': {'amount': 1250.0, 'currencySuffix': '€/mês'}}",flat,rent,50.0,1,1,praça das Flores s/n,Lisboa,Misericórdia,Príncipe Real - São Bento,pt,38.714855,-9.1516277,True,https://www.idealista.pt/imovel/34009508/,"CENTRO LISBOA na zona SÃO BENTO / PRAÇA DAS FLORES apartamento integralmente renovado T0 + 1 com sala 26,5m2 e quarto ou closet 6,21m2 com ar condicionado. Sem móveis com cozinha nova semiequipada com placa, forno, exaustor, microondas e caldeira e 1wc. (novo). 3º and. com vista cidade. Ideal para pessoa só ou casal. TRATA 91 NOVE DOIS SEIS OITO NOVE QUATRO SETE  Categoria Energética: F  ref: LXT0108.",False,good,False,False,25.0,{'typology': 'flat'},"{'subtitle': 'Misericórdia, Lisboa', 'title': 'Apartamento na praça das Flores s/n'}",True,False,False,False,False,False,,
34009579,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/21/cd/7d/276315149.webp,265250011,15,5,1700.0,"{'price': {'amount': 1700.0, 'currencySuffix': '€/mês'}}",flat,rent,132.0,2,2,"Azinhaga da Torre do Fato, 33",Lisboa,Carnide,Telheiras,pt,38.7644725,-9.1772515,True,https://www.idealista.pt/imovel/34009579/,"*Disponível para entrada de imediato e contrato com prazo até Junho 2026* Apartamento T2 com 132m2 e 1 lugar de estacionamento. O apartamento encontra-se completamente mobilado (camas e mesas de cabeceira em ambos os quartos com muita arrumação, secretária num dos quartos, sofás, mesa de jantar e mesa de refeições na cozinha) e a cozinha totalmente equipada (incluindo arca) e com bastante arrumação. Sala ampla com 30m2, permitindo uma separação entre a zona de estar e de jantar. Apartamento com exposição solar Nascente / Poente, o que confere muita luz natural a todo o ambiente. O imóvel dispõe de aquecimento central, janelas com vidros duplos e estores elétricos. Edifício com 2 elevadores (acesso ao estacionamento condicionado a chave). Localizado a 30seg. a pé do Continente de Telheiras, a 4min a pé do Pingo Doce, acesso ao Eixo N/S a 1min. e a 5min. de carro da CRIL.",False,good,False,True,13.0,{'typology': 'flat'},"{'subtitle': 'Carnide, Lisboa', 'title': 'Apartamento em Azinhaga da Torre do Fato, 33'}",False,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
34009447,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/0c/16/a2/276313466.webp,APA_2155,36,bj,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mês'}}",flat,rent,60.0,2,2,rua dos Arneiros,Lisboa,Benfica,Arneiros,pt,38.756894,-9.1997895,False,https://www.idealista.pt/imovel/34009447/,"**Oportunidade Única em Benfica! **  Apresentamos um encantador apartamento T1 totalmente equipado e mobilado, ideal para quem procura conforto e praticidade em uma das áreas mais desejadas de Lisboa.  Este imóvel destaca-se pelo seu **terraço privado**, perfeito para relaxar ou receber amigos, e um **anexo** que proporciona mais um quarto e uma casa de banho, oferecendo versatilidade para a sua família ou como espaço de trabalho.  **Características do Apartamento: **  **Área: ** T1 espaçoso com luz natural abundante.    **Anexo: ** Quarto adicional com casa de banho, ideal para hóspedes ou escritório.    **Terraço: ** Espaço ao ar livre para desfrutar de momentos de lazer.  **Localização: ** Situado em Benfica, com fácil acesso a transportes, comércio e serviços.    **Condições: ** Imóvel remodelado, pronto para habitar.  Não perca a oportunidade de viver num um espaço que combina conforto e funcionalidade!  Entre em contato para agendar uma visita e descubra tudo que este apartamento tem a oferecer.",False,good,False,False,20.0,{'typology': 'flat'},"{'subtitle': 'Benfica, Lisboa', 'title': 'Apartamento na rua dos Arneiros'}",False,False,False,False,False,False,,
33485863,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/0d/18/ca/248103468.webp,5048,21,bj,1300.0,"{'price': {'amount': 1300.0, 'currencySuffix': '€/mês'}}",flat,rent,65.0,2,1,rua David Lopes,Lisboa,Penha de França,Alto de São João - Alto do Varejão,pt,38.7269604,-9.1215137,False,https://www.idealista.pt/imovel/33485863/,"Apartamento T2+1 no Bairro Lopes totalmente renovado com um pequeno logradouro onde poderá usufruir de excelentes momentos com a sua família e amigos. Este imóvel tem a cozinha equipada e situa-se numa zona residencial com vários supermercados, escolas, farmácias, lojas, entre outros e com os autocarrose 37B. A Cityground Consulting é uma agência imobiliária em expansão, presentemente com loja em Lisboa - Belém, na Costa da Prata - Caldas da Rainha e em Leiria Visite as nossas lojas, estamos à sua espera para juntos encontrarmos a sua casa.",False,good,False,False,20.0,{'typology': 'flat'},"{'subtitle': 'Penha de França, Lisboa', 'title': 'Apartamento na rua David Lopes'}",False,False,False,False,False,False,,
34009307,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/13/5f/fd/276307574.webp,,27,4,3000.0,"{'price': {'amount': 3000.0, 'currencySuffix': '€/mês'}}",flat,rent,96.0,2,3,avenida Duque de Ávila,Lisboa,Avenidas Novas,São Sebastião da Pedreira,pt,38.7343736,-9.1497817,False,https://www.idealista.pt/imovel/34009307/,"Oferecemos-lhe um novo T2 no recém-construído condomínio D'Ávila 171, que tem sido um grande sucesso comercial, graças às características únicas deste projeto moderno, tendo mantido elementos da fachada original combinados com a leveza e simplicidade da arquitetura moderna. O D'Ávila 171 está localizado na melhor zona das Avenidas Novas, conhecida pela sua qualidade de vida e bom desenvolvimento, a dois minutos a pé do El Corte Ingles e do metro de São Sebastião (linha azul/vermelha). Requinte, modernidade e perfeição é o que encontramos neste apartamento de dois quartos com mais de 76 m2 de área útil, incluindo preciosos pisos de madeira, uma agradável sala de estar e jantar com muita luz natural, grandes janelas que lhe dão uma luz impressionante, uma cozinha totalmente equipada com electrodomésticos topo de gama BOSH. Dois quartos em suite, todos com roupeiros embutidos e muita arrumação, mais uma casa de banho social de apoio às áreas comuns. Servido por 2 elevadores, o T2 está situado no 4º andar com vista sobre a cidade. Sendo um apartamento moderno, tem tudo para uma vida confortável - dois lugares de estacionamento, arrecadação, cabos para carregamento de carros - tudo para tornar a sua vida no centro de Lisboa mais cómoda.  Viver na Avenida Duque D'Ávila, especialmente neste edifício, significa desfrutar da perfeição, sofisticação e subtileza dos detalhes oferecidos, aliados ao conforto deste imóvel - a zona de spa e sauna, ginásio e zonas comuns de relaxamento, tornam-no ÚNICO. For more details on this exclusive offering, please contact us. Excelsior Consulting Unipessoal Lda. AMI 19970 As experts in investment consulting, we offer our clients an exclusive range of real estate services, encompassing all aspects of real estate transactions. Our approach is a comprehensive 360° service model, which includes the following aspects: •Personalized Investment Consulting: We cater to the unique needs of each client, offering tailored solutions and strategies for real estate investment. •A detailed legal analysis is conducted for every transaction, involving a thorough examination of legal documentation and pricing. This ensures the reliability and security of the investments. •Legal support of deals: We provide comprehensive legal support for the entire process of buying and selling, from start to finish. •Accounting and Tax Consulting: a team of expert assists in analyzing the tax and accounting aspects of investment transactions. •Real Estate Management: As an optional service for our investor clients, we offer comprehensive property management solutions for acquired real estate assets, ensuring their efficiency and profitability. We are glad to provide you with our services and we trust you will find our expertise to be most helpful in realizing your investment goals. Contact us anytime for superior quality and reliable property solutions!",False,good,False,True,31.0,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Apartamento na avenida Duque de Ávila'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
32854649,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/22/28/75/265686310.webp,,18,3,1400.0,"{'price': {'amount': 1400.0, 'currencySuffix': '€/mês'}}",flat,rent,85.0,1,1,"rua dos argonautas, 5",Lisboa,Parque das Nações,Expo Sul,pt,38.7564395,-9.0982581,True,https://www.idealista.pt/imovel/32854649/,"apartamento t1 situado na zona sul do Parque das Nações em Lisboa no edifício de prestigio Fernando Pessoa, beneficia da proximidade da Marina, do hospital Cuf Descobertas, estação de serviço, escolas, farmácias, restaurantes, cafés, ciclovias, parques verdes e apoios que permitirão fazer a sua vida com maior comodidade e de forma mais saudável. Com acabamentos de alta qualidade e alto desempenho funcional térmico e acústico, este apartamento possui: Sistema de aquecimento através de radiadores e secador de toalhas alimentados a água quente, no quarto, sala estar/jantar, cozinha e instalações sanitárias. Produção de água quente para consumo próprio através da rede de painéis solares instalados na cobertura e interligação complementar a sistema instalado na cozinha, constituído por caldeira mural com funcionamento a gás natural. Estores elétricos metálicos exteriores. Cozinha com equipamentos da marca De Dietrich classe A, placa vitro gás, forno combinado com micro-ondas, máquina de lavar loiça, máquina de lavar e secar roupa, frigorifico e congelador de bancada. Um quarto com closet e casa de banho completa com base de duche e banheira. Sistema vídeo porteiro, porta blindada de alta segurança, portão de garagem com comando à distancia. O edifício tem portaria e segurança.",False,good,False,True,16.0,{'typology': 'flat'},"{'subtitle': 'Parque das Nações, Lisboa', 'title': 'Apartamento na rua dos argonautas, 5'}",False,False,False,False,False,False,,
34009391,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/07/c5/40/276309328.webp,123751604-8,12,4,1150.0,"{'price': {'amount': 1150.0, 'currencySuffix': '€/mês'}}",flat,rent,73.0,1,1,avenida Sérgio Vieira de Mello,Lisboa,Santa Clara,,pt,38.7822961,-9.147778,False,https://www.idealista.pt/imovel/34009391/,"Mediante negociação, o apartamento poderá ficar mobilado. Situado na Avenida Sérgio Vieira de Mello, muito agradável e em excelente estado de conservação, fica num 4º andar, com elevador. - Cozinha totalmente equipada. - Amplos roupeiros. - Lugar para estacionar um automóvel, na garagem do prédio. - Prédio com segurança. Na rua podem encontrar-se algumas lojas de comércio variado, como: farmácia, talho, mercearia, papelaria, café... Proximidade ao Supermercado Continente, a escolas e infantários. Autocarros com paragem na própria rua e estação de Metro a cerca de 15 minutos a pé. Ótimos acessos ao Aeroporto, Eixo Norte/sul e à 2ª circular. **Autorização de Utilização Nº 12, emitida a 2005/06/17 pela Câmara Municipal de Lisboa** Licença de Utilização - **Autorização de Utilização Nº 12, emitida a 2005/06/17 pela Câmara Municipal de Lisboa**.",False,good,False,True,16.0,{'typology': 'flat'},"{'subtitle': 'Santa Clara, Lisboa', 'title': 'Apartamento na avenida Sérgio Vieira de Mello'}",False,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
33893069,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/6f/6e/e3/270898688.webp,KWPT-009606,20,1,1800.0,"{'price': {'amount': 1800.0, 'currencySuffix': '€/mês'}}",flat,rent,108.0,1,2,rua do Beato,Lisboa,Beato,,pt,38.733861,-9.1064026,False,https://www.idealista.pt/imovel/33893069/,"Este é um apartamento T1, a estrear, com 96m², inserido no prestigiado condomínio - Beato Quarter, localizado no emblemático e histórico Complexo Convento do Beato. Características principais: • Sala ampla (39m²): Oferece três ambientes distintos – zona de estar, área de jantar e cozinha – proporcionando uma experiência muito natural e harmoniosa entre conforto e convívio. • Suite espaçosa (29m²): Destaca-se pela luminosidade natural proporcionada pelas generosas janelas. Inclui armários embutidos que maximizam o espaço e uma casa de banho ampla e completa. • Casa de banho social: Localizada junto do hall de entrada para maior comodidade. Este é um Apartamento equipado com ar condicionado em todas as divisões e pavimento radiante na casa de banho para um toque adicional de maior conforto.  Condomínio: • Estacionamento privativo com carregador elétrico individual. • Acesso a um jardim espaçoso, perfeito para momentos de lazer e convívio entre família e amigos. Este apartamento é a escolha ideal para quem valoriza um estilo de vida moderno e sofisticado, num dos bairros mais vibrantes e dinâmicos de Lisboa – o Beato. Caraterísticas do Apartamento:  • Área Total 108m2 • Area da Fração 96,7m2 • T1 – 1º andar • 2 Casas de banho • 1 Lugar de garagem com carregador elétrico individual • Construção Nova • Armários embutidos • Orientação Este • Construído em 2024 • Cozinha equipada com eletrodoméstico topo de gama. • Prédio com elevador • Ar condicionado em todas as divisões • Condomínio com Jardim  • Classe energética: A Características do Bairro do Beato: Reabilitação e Modernização: O Beato tem sido alvo de grandes projetos de renovação, transformando antigas fábricas e armazéns em modernos espaços de habitação, escritórios e centros culturais. Um exemplo emblemático é o Convento do Beato, que foi modernizado com respeito pelo seu rico valor histórico. Cultura e Criatividade: O bairro tornou-se um pólo criativo, atraindo artistas, designers e start-ups. O Hub Criativo do Beato destaca-se como um espaço de referência para inovação e colaboração. Ambiente Descontraído: Com uma atmosfera calma e autêntica, o Beato distingue-se pela ausência de turismo massivo, tornando-o ideal para jovens profissionais e famílias. O bairro conta com diversos cafés e restaurantes instalados em edifícios industriais recuperados, que preservam o seu charme original. Localização e Acessibilidade: Estratégico e bem posicionado, o Beato encontra-se próximo de Marvila e oferece fácil acesso ao centro de Lisboa e ao Parque das Nações. As boas ligações de transporte e a proximidade ao rio Tejo reforçam a sua atratividade. Espaços Verdes e Projetos Futuristas: Com o objetivo de melhorar a qualidade de vida dos seus residentes, o bairro está a desenvolver novos espaços verdes e a integrar projetos inovadores. Valorização Imobiliária: A modernização e o dinamismo do Beato têm levado a uma significativa valorização imobiliária, conjugando o passado industrial com um futuro criativo e promissor. Venha descobrir o encanto único deste apartamento e de um dos bairros mais promissores de Lisboa! Licença de utilização: 000Beato/Lisboa.",True,good,False,True,17.0,{'typology': 'flat'},"{'subtitle': 'Beato, Lisboa', 'title': 'Apartamento na rua do Beato'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
33938435,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/ac/ba/6f/273092059.webp,LS122401 (2),26,2,1350.0,"{'price': {'amount': 1350.0, 'currencySuffix': '€/mês'}}",flat,rent,68.0,1,1,rua da Imprensa Nacional,Lisboa,Santo António,Príncipe Real,pt,38.7157115,-9.1518094,False,https://www.idealista.pt/imovel/33938435/,"Descubra o charme de viver na Rua da Imprensa Nacional, no coração do Príncipe Real!  Apartamento mobilado e equipado! Luminoso, 2 frentes e vista desafogada. Rodeado por elegantes edifícios tradicionais, está a poucos passos de lojas exclusivas, restaurantes renomados e o encantador Jardim do Príncipe Real.  O apartamento pode ser arrendado com ou sem mobília. Refúgio perfeito para quem busca qualidade de vida e proximidade ao melhor que a cidade oferece. Venha viver onde história e modernidade se encontram! Dispõe de: Hall de entrada, quarto espaçoso e confortável, com muita luz natural, casa de banho completa com banheira e espaço com roupeiro.  A sala tem sofá-cama. Cozinha bastante funcional e com todos os electrodomésticos necessários, excepto máquina de lavar loiça. 2. Andar em prédio sem elevador, apartamento com 2 frentes, luminoso, vista desafogada para um jardim à tardoz.  Parque da EMEL a 200 metros do imóvel. Disponível somente para contratos de longa duração.  Não perca esta oportunidade! Refª LS122401  Categoria Energética: C  ref: LS122401 (2).",True,good,False,True,20.0,{'typology': 'flat'},"{'subtitle': 'Santo António, Lisboa', 'title': 'Apartamento na rua da Imprensa Nacional'}",False,False,True,False,False,False,,
