propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,change,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,savedAd,notes,topNewDevelopment,topPlus,parkingSpace,neighborhood,highlight
34067360,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/b5/e4/ba/279013060.webp,AP277,22,3,399900.0,"{'price': {'amount': 399900.0, 'currencySuffix': '€'}}",flat,sale,47.0,2,1,rua do Vale de Santo António,Lisboa,São Vicente,São Vicente de Fora,pt,38.7188481,-9.1231868,False,https://www.idealista.pt/imovel/34067360/,"Encantador apartamento T2, situado numa localização central e privilegiada, com uma vista deslumbrante para o rio. Este imóvel, com 47 m² de área bruta, oferece um design moderno e funcional, onde a cozinha e a sala em open space, com 20m², criam um ambiente acolhedor e luminoso.  Os acabamentos contemporâneos, como a caixilharia lacada a branco com vidros duplos e a iluminação LED embutida, conferem um toque de sofisticação e conforto. O prédio foi totalmente recuperado, incluindo telhado, colunas de água, eletricidade e esgotos, garantindo tranquilidade e segurança. A varanda aberta proporciona um espaço perfeito para relaxar enquanto aprecias a vista para o rio. Os quartos são amplos e contam com roupeiros embutidos, enquanto o WC completo está equipado com loiças suspensas e acabamentos modernos. Localizado num bairro familiar e residencial próximo de Santa Apolónia, este apartamento oferece fácil acesso a transportes públicos e está rodeado por novos pontos de comércio e serviços. Com duas frentes e excelente exposição solar, este é o espaço ideal para quem procura qualidade de vida numa zona tranquila e bem servida. Não percas esta oportunidade única de viver num apartamento que combina conforto, modernidade e uma localização invejável!",False,good,False,False,8509.0,{},{'typology': 'flat'},"{'subtitle': 'São Vicente, Lisboa', 'title': 'Apartamento na rua do Vale de Santo António'}",False,False,False,False,{},[],False,False,,,
34067311,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/e3/bf/fa/279009763.webp,123751149-206,21,7,775000.0,"{'price': {'amount': 775000.0, 'currencySuffix': '€'}}",flat,sale,153.0,3,2,rua Professor Carlos Teixeira,Lisboa,Lumiar,Telheiras,pt,38.7612371,-9.1752817,False,https://www.idealista.pt/imovel/34067311/,"Excelente T3 no Parque dos Príncipes, uma das zonas mais valorizadas de Telheiras, conhecido pela sua tranquilidade, espaços verdes e excelente qualidade de vida. Inserido num dos melhores prédios do Parque dos Príncipes, com porteiro, o imóvel destaca-se pela sua ampla sala de 37 m², perfeita para criar diferentes ambientes de convívio e lazer.   Conta com três quartos, um deles em suíte, e uma casa de banho completa de apoio aos dois quartos. A cozinha totalmente equipada e espaçosa, conta ainda com uma pequena varanda.   O apartamento dispõe de ar condicionado e aquecimento central, proporcionando o máximo conforto em todas as estações do ano. Conta ainda com dois lugares de garagem e arrecadação. Possibilidade de adquirir um 3° lugar de parqueamento.    Localizado numa zona de referência, próximo de comércio, serviços, escolas públicas e privadas e com excelentes acessos a transportes públicos e principais vias da cidade, este apartamento é uma excelente oportunidade para quem procura conforto e conveniência. Agende já a sua visita! Excellent 3-Bedroom Apartment in Parque dos Príncipes – One of the best areas to live in, known for its tranquility, green spaces, and quality of life. Located in one of the best buildings in Parque dos Príncipes, with a doorman, this property stands out for its spacious 37 m² living room, perfect for creating different areas for socializing and relaxation. It features three bedrooms, one of which is a suite, plus a full bathroom serving the other two bedrooms. The fully equipped and spacious kitchen also includes a small balcony. The apartment is equipped with air conditioning and central heating, ensuring maximum comfort in all seasons. Additionally, it comes with two parking spaces and a storage room, with the option to acquire a third parking space. Located in a prestigious area, close to shops, services, public and private schools, and with excellent access to public transport and main city roads, this apartment is a great opportunity for those seeking comfort and convenience. Schedule your visit today!",False,good,False,True,5065.0,{},{'typology': 'flat'},"{'subtitle': 'Lumiar, Lisboa', 'title': 'Apartamento na rua Professor Carlos Teixeira'}",False,False,False,False,{},[],False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
34067276,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/72/b8/33/279009474.webp,123751086-217,20,bj,247500.0,"{'price': {'amount': 247500.0, 'currencySuffix': '€'}}",flat,sale,57.0,2,1,rua Afonso Domingues,Lisboa,São Vicente,Santa Engrácia,pt,38.7191922,-9.1230832,False,https://www.idealista.pt/imovel/34067276/,"T2 remodelado na Graça | Terraço Apartamento para venda na Rua Afonso Domingues, em São Vicente, antiga freguesia de Santa Engrácia, inserido num dos mais típicos e autênticos bairros de Lisboa, o Bairro da Graça! Sofreu uma intervenção total em 2017 onde foi potenciada a relação com o espaço exterior do apartamento.  As janelas e portas exteriores são em alumínio com sistema oscilo batente e vidros duplos e portadas interiores em madeira. A casa tem 45m2 de área bruta e encontra-se ao nível do Rés do Chão mas apesar disso muito luminoso e com uma óptima exposição solar. É composto por uma sala de estar semi-aberta para a cozinha totalmente equipada onde temos acesso ao terraço com 10m2. Os dois quartos têm janela tendo um deles roupeiro e acesso directo ao terraço.   O prédio onde se insere é composto por apenas 4 fracções tendo sido alvo de manutenção ao longo dos. Fica apenas a cerca de dez minutos a pé de Santa Apolónia ou da Feira da Ladra, num bairro que ainda hoje conserva uma energia própria e única, com um misto de lojas tradicionais, esplanadas, miradouros, praças e jardins que poderá disfrutar regularmente com a melhor companhia. Está disponível para venda imediata e trata-se de uma óptima opção tanto para habitação permanente como para investimento, numa zona com enorme procura e um estilo de vida muito próprio. Marque já hoje a sua visita! Transportes Públicos e Estacionamento: A cerca de 10 minutos a pé da Estação de Santa Apolónia (Metro e Comboios); Várias opções de autocarros nas ruas proximas. Proximidades: Supermercado à porta; A 10 minutos da zona ribeirinha do rio Tejo; A menos de 1 kilometro da Feira da Ladra e do Panteão Nacional; A menos de 10 minutos a pé do Largo da Graça; A 10 minutos a pé do Miradouro da Graça e do Miradoudo da Senhora do Monte; Várias opções de cafés e restaurantes nas imediações. Encargos: IMI anual: 65 € Condomínio mensal: 15 € Para agendar uma visita ou para obter mais informações pode contactar-me hoje mesmo via WhatsApp, Telefone ou E-Mail através dos botões directos mais em baixo nesta página   Notas: Existe a possibilidade de obter isenção temporária do pagamento de IMI durante 3 anos. Trabalhamos com uma entidade financeira totalmente independente, que auxilia no apoio ao crédito bancário. Este serviço é totalmente gratuito e permite que o comprador obtenha as melhores condições de crédito com as menores preocupações. Renovated 2-bedroom apartment in Graça | Terrace   Apartment for sale on Rua Afonso Domingues, in São Vicente, the former parish of Santa Engrácia, in one of Lisbon's most typical and authentic neighborhoods, Bairro da Graça!   It underwent a total renovation in 2017 to enhance the relationship with the apartment's exterior space.   The windows and exterior doors are made of aluminum with an oscillating system and double glazing, and the interior shutters are made of wood.   The house has a total gross area of 45 sqm and is located on the ground floor, but is nonetheless very bright and has excellent sun exposure.   It comprises a living room half-open to the fully equipped kitchen where we have access to the 10 sqm terrace. The two bedrooms have windows, one of them with a closet and direct access to the terrace.   The building is composed of only 4 units and has been maintained over the years.   It's only a ten-minute walk from Santa Apolónia or Feira da Ladra, in a neighborhood that still retains its own unique energy, with a mix of traditional stores, terraces, viewpoints, squares and gardens that you can enjoy regularly with the best company.   It's available for immediate sale and is a great option for both permanent living and investment, in an area with huge demand and a lifestyle all of its own. Book your visit today! Public transportation and parking: •About a 10-minute walk from Santa Apolónia Station (Metro an.",False,good,False,False,4342.0,{},{'typology': 'flat'},"{'subtitle': 'São Vicente, Lisboa', 'title': 'Apartamento na rua Afonso Domingues'}",True,False,False,False,{},[],False,False,,,
34067258,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/dc/1b/27/279009594.webp,120181492-43,22,1,579000.0,"{'price': {'amount': 579000.0, 'currencySuffix': '€'}}",flat,sale,129.0,3,2,rua dos Soeiros,Lisboa,São Domingos de Benfica,Alto dos Moinhos,pt,38.7559505,-9.1780317,False,https://www.idealista.pt/imovel/34067258/,"Apartamento T3+1 na Rua dos Soeiros, em São Domingos de Benfica. A curta distância de Telheiras, Laranjeiras ou Alto dos Moinhos, encontramos este encantador imóvel, remodelado e em prédio com elevador e garagem.   Dispõe de uma simpática varanda, com ligação a 3 quartos. Conta com um quarto extra, que pode também ser utilizado como escritório e/ou outra zona de refeição.   Tem 2 frentes com vistas desafogadas. Hall de entrada amplo 2 Casas de Banho   A Cozinha possui uma Despensa e zona de Lavandaria. Equipada com Esquentador; Exaustor; Forno; Micro-ondas e Placa elétrica;   Outras características Roupeiros nos 3 quartos, roupeiro extra e arrumos diversos- Caixilharia com janelas amplas e vidro duplo- Estores elétricos com corte térmico- Vídeo Porteiro- Condomínio organizado- Lugar de Garagem rotativo pelo período de 8 meses por ano, rotativo de 2 em 2 meses com interregno de 1 mês.   Localizado a apenas 300m do Parque Bensaúde, poderá desfrutar de passeios em família, num dos mais recentes parques públicos da cidade e seguramente muito distinto de qualquer outro. Ocupa parte da antiga Quinta de Santo António das Frechas, e no notável conjunto de vegetação destacam-se uma magnífica alameda de plátanos, classificada de Interesse Público, e o maior e mais antigo sobreiro de Lisboa A escassos metros encontrará também Transportes Públicos e uma vasta rede de Serviços/Comércio. (Estação de Metro ""Alto dos Moinhos"" e/ou ""Laranjeiras""; Loja do Cidadão; Hospital dos Lusíadas; Estádio da Luz; 2a Circular/Eixo N/S…) Ainda disponível, venha visitar!",False,good,False,True,4488.0,{},{'typology': 'flat'},"{'subtitle': 'São Domingos de Benfica, Lisboa', 'title': 'Apartamento na rua dos Soeiros'}",False,False,False,False,{},[],False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
34067273,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/e5/b4/6e/279009187.webp,121511400-129,16,1,720000.0,"{'price': {'amount': 720000.0, 'currencySuffix': '€'}}",flat,sale,120.0,2,2,"rua de Arroios, 241",Lisboa,Arroios,São Jorge de Arroios,pt,38.7321218,-9.1368494,True,https://www.idealista.pt/imovel/34067273/,"Prédio situado em Arroios, na Rua de Arroios, 241. Está localizado a 5 minutos da rotunda da Estefânia, a 5 minutos do Metro de Arroios e a 10 minutos do Saldanha, a pé.  Nesta zona tem disponível todo o tipo de serviços, desde supermercados, farmácias, restaurantes, bancos, e muito comércio local.  O prédio está a ser todo reconstruído, com um elevado padrão de acabamentos e de materiais utilizados. Destacam-se as seguintes características:  Elevador direto ao apartamento, com saída para as escadas do prédio para os convidados;  Pavimentos Piso laminado de alta qualidade sobre membrana acústica;  Janelas de PVC com Gás Árgon e Película UV - Janelas de marcas de qualidade;  Parede principal em pedra e revestimento em mosaico cerâmico pintado à mão com elementos luminosos;  Paredes traseiras revestidas com corkwall® (membrana elástica de cortiça natural) na cor cinza claro;    O apartamento – 1º andar:  T2 com parqueamento, duas casas de banho e terraço/jardim, com 90m2, mais 30m2 de área de parqueamento e jardim, em que se destacam as seguintes características:  Quartos com roupeiros;  Sistema de Ar Condicionado Wall AC Unidades de marca de qualidade;  Bancadas de cozinha Bancada em material compósito preto.  Armários de Cozinha Painéis aglomerados envernizados na cor branca.  Eletrodomésticos, Máquina de lavar, micro-ondas/forno, frigorífico combinado, placa vitrocerâmica, exaustor e termoacumulador - aparelhos de marca de qualidade.  Casa de Banho principal com:  Pavimentos e Paredes em mosaico de Mármore Carrara com acabamento polido.  Casa de banho secundária:  Pavimentos e Paredes em mosaico preto Emperador com acabamento polido.  Paredes em mosaico preto Emperador com acabamento polido.  (Mais informação sobre acabamentos do prédio e dos apartamentos solicite o mapa de acabamentos). Agente Angariador: Ricardo Gomes Licença AMI 13534.",False,good,False,True,6000.0,{},{'typology': 'flat'},"{'subtitle': 'Estefânia, Lisboa', 'title': 'Apartamento na rua de Arroios, 241'}",True,False,False,False,{},[],False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Estefânia,
34067245,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/eb/02/23/279009408.webp,124021040-267,12,5,490000.0,"{'price': {'amount': 490000.0, 'currencySuffix': '€'}}",flat,sale,88.0,2,1,praça Aires de Ornelas,Lisboa,Penha de França,Alto de São João - Alto do Varejão,pt,38.7298856,-9.1227409,False,https://www.idealista.pt/imovel/34067245/," Boa Localização | Oportunidade de Investimento | Piscina e espaço Exterior  T2, inserido em prédio de placa em bom estado de conservação, com elevador.    Acesso e usto exclusivo do Sotão com 40 m2. PISO 5 com imensa luz natural.  Piscina e Jardim do condominio. As janelas na frente a tardoz estão incluídas no valor de aquisição, sendo que as partes comuns e jardim comum serão totalmente renovados pelos proprietários, que também incluem uma piscina comum para o condomínio.    Este contexto excecional traduz-se numa oportunidade única de investimento, seja para habitação própria ou rentabilidade futura, via arrendamento.      Zona em franca valorização.    Estação de Metro de Arroios: a 900 metros    Estação de Metro de Alameda: a 1200 metros    Estação de Metro de Olaias: a 1300 metros    Estação de Metro de Anjos: a 1400 metros    Com uma localização central, o imóvel está a poucos minutos de alguns dos principais pontos de interesse de Lisboa, como o Instituto Superior Técnico, o Hospital DonaEstefânia, o Panteão Nacional, o Museu do Azulejo e o Mercado de Sapadores.       Para além disso, a Estação de Comboios de Santa Apolónia está a uma curta distância, facilitando o acesso à restante cidade e ao país.     VERT – Fração O    Good Location | Investment Opportunity | Swimming Pool and Outdoor Space T2 apartment in need of some rehabilitation, located in a well-maintained building with an elevator. The windows at the front and rear are included in the purchase price, and the common areas and garden will be fully renovated by the owners, who will also include a communal swimming pool for the condominium. This exceptional context represents a unique investment opportunity, whether for personal residence or future profitability through rental. Area in significant appreciation. Arroios Metro Station: 900 meters Alameda Metro Station: 1,200 meters Olaias Metro Station: 1,300 meters Anjos Metro Station: 1,400 meters With a central location, the property is just minutes away from some of Lisbon's main points of interest, such as the Instituto Superior Técnico, Dona Estefânia Hospital, the National Pantheon, the Tile Museum, and the Sapadores Market. Additionally, the Santa Apolónia Train Station is within walking distance, providing easy access to the rest of the city and the country.   .",False,renew,False,True,5568.0,{},{'typology': 'flat'},"{'subtitle': 'Penha de França, Lisboa', 'title': 'Apartamento na praça Aires de Ornelas'}",True,False,False,False,{},[],False,False,,,
34067268,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/fb/87/9d/279009411.webp,124021040-268,29,4,490000.0,"{'price': {'amount': 490000.0, 'currencySuffix': '€'}}",flat,sale,88.0,2,1,praça Aires de Ornelas,Lisboa,Penha de França,Alto de São João - Alto do Varejão,pt,38.7302721,-9.1231821,False,https://www.idealista.pt/imovel/34067268/," Boa Localização | Oportunidade de Investimento | Piscina e espaço Exterior  T2, inserido em prédio de placa em bom estado de conservação, com elevador.    Acesso e usto exclusivo do Sotão com 40 m2. PISO 5 com imensa luz natural.  Piscina e Jardim do condominio. As janelas na frente a tardoz estão incluídas no valor de aquisição, sendo que as partes comuns e jardim comum serão totalmente renovados pelos proprietários, que também incluem uma piscina comum para o condomínio.    Este contexto excecional traduz-se numa oportunidade única de investimento, seja para habitação própria ou rentabilidade futura, via arrendamento.      Zona em franca valorização.    Estação de Metro de Arroios: a 900 metros    Estação de Metro de Alameda: a 1200 metros    Estação de Metro de Olaias: a 1300 metros    Estação de Metro de Anjos: a 1400 metros    Com uma localização central, o imóvel está a poucos minutos de alguns dos principais pontos de interesse de Lisboa, como o Instituto Superior Técnico, o Hospital DonaEstefânia, o Panteão Nacional, o Museu do Azulejo e o Mercado de Sapadores.       Para além disso, a Estação de Comboios de Santa Apolónia está a uma curta distância, facilitando o acesso à restante cidade e ao país.     VERT – Fração N    Good Location | Investment Opportunity | Swimming Pool and Outdoor Space T2 apartment in need of some rehabilitation, located in a well-maintained building with an elevator. The windows at the front and rear are included in the purchase price, and the common areas and garden will be fully renovated by the owners, who will also include a communal swimming pool for the condominium. This exceptional context represents a unique investment opportunity, whether for personal residence or future profitability through rental. Area in significant appreciation. Arroios Metro Station: 900 meters Alameda Metro Station: 1,200 meters Olaias Metro Station: 1,300 meters Anjos Metro Station: 1,400 meters With a central location, the property is just minutes away from some of Lisbon's main points of interest, such as the Instituto Superior Técnico, Dona Estefânia Hospital, the National Pantheon, the Tile Museum, and the Sapadores Market. Additionally, the Santa Apolónia Train Station is within walking distance, providing easy access to the rest of the city and the country.   .",False,good,False,True,5568.0,{},{'typology': 'flat'},"{'subtitle': 'Penha de França, Lisboa', 'title': 'Apartamento na praça Aires de Ornelas'}",True,False,False,False,{},[],False,False,,,
34067210,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/9b/a3/6f/278998527.webp,AP276,14,bj,299900.0,"{'price': {'amount': 299900.0, 'currencySuffix': '€'}}",studio,sale,63.0,0,1,rua do Vale de Santo António,Lisboa,São Vicente,São Vicente de Fora,pt,38.7190854,-9.1219145,False,https://www.idealista.pt/imovel/34067210/,"Apartamento localizado em um bairro familiar e residencial com novos pontos de comércio e serviços.  Facilidade de acessos, proximidade de transportes públicos, e vários equipamentos sociais. Imóvel totalmente remodelado e mobilado. Principais vantagens: - Imóvel em OPEN SPACE com 63 m2; - Cozinha com móveis lacados a Branco; - Ladrilho em toda a parede por trás dos móveis; - Cozinha equipada com Forno, Placa, Exaustor, Micro-ondas, Máquina de lavar louça encastrada, Máquina de lavar roupa encastrada, Esquentador e Combinado encastrado; - WC completo com Loiças suspensas; - Caixilharia lacada a branco com vidros duplos e Oscilo Batentes em todas as assoalhadas; - Teto falso com luzes embutidas leds, no WC, Cozinha, Sala e Hall; - Pré-Instalação de Ar Condicionado. O preço de venda inclui a cozinha equipada e o mobiliário apresentado nas fotografias. Possui logradouro com 5m2 Duas Frentes, Nascente e Poente. Prédio recuperado (Telhado, Colunas de Água, Eletricidade e Esgotos, Fachadas, Escadas, Porta de Entrada, Contadores, Caixas de Correio).",False,good,False,False,4760.0,{},"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'São Vicente, Lisboa', 'title': 'T0 na rua do Vale de Santo António'}",False,False,False,False,{},[],False,False,,,
34067192,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/d3/66/9d/278998110.webp,123751329-55,16,st,340000.0,"{'price': {'amount': 340000.0, 'currencySuffix': '€'}}",flat,sale,59.0,1,1,rua das Janelas Verdes,Lisboa,Estrela,Santos-o-Velho - Madragoa,pt,38.7047506,-9.1583258,False,https://www.idealista.pt/imovel/34067192/,"APARTAMENTO T1 REMODELADO NA RUA DAS JANELAS VERDES Este apartamento T1 adaptado para T2, situado numa das zonas mais carismáticas de Lisboa, foi recentemente remodelado, oferecendo conforto e modernidade num ambiente acolhedor. Com entrada independente e licença de Alojamento Local (AL), apresenta-se como uma excelente oportunidade de investimento, com elevada rentabilidade. A casa conta com dois quartos e uma sala bem dimensionada, que garante uma distribuição funcional dos espaços. A cozinha, totalmente equipada, comunica com a sala, ideal para quem valoriza o conforto no dia a dia. VIVER EM SANTOS: TRADIÇÃO E MODERNIDADE JUNTO AO TEJO O bairro de Santos, conhecido pelo seu charme e vida cultural dinâmica, é um dos destinos mais procurados para viver ou investir em Lisboa. A Rua das Janelas Verdes, onde se localiza o apartamento, é ladeada por palacetes históricos, museus — como o Museu Nacional de Arte Antiga — e esplanadas com vista para o rio Tejo. A zona é servida por uma excelente rede de transportes públicos, com elétricos, autocarros e proximidade à estação de comboios de Santos, que liga rapidamente a Cascais ou ao Cais do Sodré. Para quem prefere deslocar-se a pé, o bairro oferece acessos fáceis ao centro da cidade e à zona ribeirinha. No que toca a serviços, Santos conta com escolas, creches, supermercados, farmácias e uma vasta oferta de restaurantes, bares e cafés que tornam a vida no bairro ainda mais dinâmica. A presença de galerias de arte, ateliers e espaços criativos contribui para a atmosfera única da área, que equilibra perfeitamente tradição e inovação. Este apartamento é a escolha ideal para quem procura um estilo de vida cosmopolita, com a comodidade de ter tudo à porta e a tranquilidade de viver num dos bairros mais autênticos da capital. Visitas a marcar de acordo com a disponibilidade dos arrendatários.",False,good,False,False,5763.0,{},{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Apartamento na rua das Janelas Verdes'}",True,False,False,False,{},[],False,False,,,
34067184,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/ae/68/55/278998086.webp,123751149-205,22,2,790000.0,"{'price': {'amount': 790000.0, 'currencySuffix': '€'}}",flat,sale,110.0,3,2,rua Fialho de Almeida,Lisboa,Avenidas Novas,Bairro Azul - Parque Eduardo VII,pt,38.7353977,-9.1560948,False,https://www.idealista.pt/imovel/34067184/,"Apartamento T3 Remodelado com Varanda – Rua Fialho de Almeida, junto ao El Corte Inglés Este apartamento T3 situa-se na Rua Fialho de Almeida, uma das zonas mais exclusivas de Lisboa, a poucos passos do El Corte Inglés, do Parque Eduardo VII e das estações de metro de São Sebastião e Praça de Espanha.   O edifício é de estrutura de betão armado e possui elevador, garantindo conforto e acessibilidade. Características principais: -Localização premium: Zona central com excelente rede de transportes -Edifício com estrutura de betão armado e elevador: Proporciona maior segurança e comodidade -Rua com estacionamento exclusivo para residentes:   -Possibilidade de avença de estacionamento a 30 metros:   -3 quartos espaçosos: Inclui uma suíte. -2 casas de banho completas e modernas:   -Cozinha totalmente equipada: -Varanda generosa: Ideal para relaxar ou apreciar a vista urbana -Apartamento totalmente remodelado: Pronto a habitar O edifício será alvo de obras de reabilitação já pagas pelos atuais proprietários, assegurando a valorização do imóvel e da sua envolvente. Se procura um apartamento sofisticado, com todas as comodidades e no coração de Lisboa, esta é uma oportunidade imperdível. Agende já a sua visita!",False,good,False,True,7182.0,{},{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Apartamento na rua Fialho de Almeida'}",False,False,False,False,{},[],False,False,,,
