propertyCode,size,rooms,bathrooms,municipality,latitude,longitude,newDevelopment,hasLift,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,propertyType_chalet,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_good,status_newdevelopment,status_renew
33894210,153.0,5,2,Arroios,38.731805,-9.1428598,0,0,0,0,0,0,0,1,0,0,1,0,0
33513874,102.0,2,2,Estrela,38.7107244,-9.1712622,0,1,0,0,0,0,0,1,0,0,1,0,0
33893664,55.0,1,1,Misericórdia,38.7092152,-9.1451892,0,0,0,0,0,0,0,1,0,0,1,0,0
33893658,55.0,1,1,Misericórdia,38.7105696,-9.1456887,0,0,0,0,0,0,0,1,0,0,1,0,0
33893592,55.0,1,1,Misericórdia,38.7089305,-9.1447167,0,0,0,0,0,0,0,1,0,0,1,0,0
33893469,55.0,1,1,Misericórdia,38.7084039,-9.1470711,0,0,0,0,0,0,0,1,0,0,1,0,0
33601210,80.0,3,1,Campolide,38.7325912,-9.1637944,0,0,0,0,0,0,0,1,0,0,1,0,0
33847787,60.0,1,1,Misericórdia,38.7112303,-9.1446652,0,0,0,0,0,0,0,1,0,0,1,0,0
33829652,179.0,3,3,Avenidas Novas,38.7334294,-9.1450031,0,1,0,0,0,0,0,1,0,0,1,0,0
33596155,170.0,3,3,Avenidas Novas,38.7339083,-9.1445309,0,1,0,0,0,0,0,1,0,0,1,0,0
33896876,135.0,2,2,Areeiro,38.7401735,-9.1282332,0,1,0,1,1,0,0,1,0,0,1,0,0
31196503,25.0,0,1,Santa Maria Maior,38.7128574,-9.1251074,0,0,0,0,0,0,0,0,0,1,1,0,0
33896540,130.0,2,3,Santo António,38.7234689,-9.1581146,0,1,0,1,1,0,0,1,0,0,1,0,0
33896486,40.0,2,1,São Vicente,38.7141078,-9.1258662,0,0,0,0,0,0,0,1,0,0,1,0,0
33896468,190.0,4,3,Arroios,38.7365774,-9.1371471,0,1,0,0,0,0,0,1,0,0,1,0,0
33896319,95.0,2,2,Campo de Ourique,38.7178908,-9.1557978,0,1,0,0,0,0,0,0,1,0,1,0,0
33229363,45.0,0,1,Campo de Ourique,38.7173746,-9.1595806,0,0,0,0,0,0,0,0,0,1,1,0,0
33896359,87.0,2,1,Benfica,38.7484198,-9.1933372,0,1,0,0,0,0,0,1,0,0,1,0,0
33896324,87.0,2,1,Campo de Ourique,38.7146059,-9.1682192,0,1,0,0,0,0,0,1,0,0,1,0,0
33896185,125.0,3,2,São Domingos de Benfica,38.745499,-9.1779414,0,0,0,0,0,0,0,1,0,0,1,0,0
33896238,177.0,4,3,Belém,38.7104917,-9.2107957,0,1,0,0,0,0,0,1,0,0,1,0,0
33896208,54.0,1,1,Santa Maria Maior,38.710203,-9.1379322,0,1,0,0,0,0,0,1,0,0,1,0,0
33896201,104.0,2,2,São Domingos de Benfica,38.7417126,-9.1640089,0,1,0,1,1,0,0,1,0,0,1,0,0
33896104,89.0,2,2,Campo de Ourique,38.720168,-9.1666602,0,1,0,0,0,0,0,1,0,0,1,0,0
33896066,40.0,2,1,Alcântara,38.7075536,-9.1818817,0,0,0,0,0,0,0,1,0,0,1,0,0
33896048,105.0,2,2,Benfica,38.7538472,-9.1987523,0,1,0,0,0,0,0,1,0,0,1,0,0
33895903,55.0,2,1,Misericórdia,38.7099488,-9.1482207,0,0,0,0,0,0,0,1,0,0,1,0,0
33895832,88.0,3,2,Avenidas Novas,38.7401174,-9.1437258,0,1,0,0,0,0,0,1,0,0,1,0,0
33895597,65.0,1,1,Estrela,38.7067369,-9.1750318,0,1,0,0,0,0,0,1,0,0,1,0,0
31515929,89.0,2,1,Campo de Ourique,38.7178167,-9.1621362,0,1,0,0,0,0,0,1,0,0,1,0,0
33895489,65.0,2,2,Alcântara,38.6994398,-9.1902304,0,0,0,0,0,0,0,1,0,0,1,0,0
33895428,48.0,1,1,Santa Maria Maior,38.7105969,-9.1257968,0,0,0,0,0,0,0,1,0,0,1,0,0
33895366,180.0,4,2,Avenidas Novas,38.7322852,-9.1569079,0,1,0,0,0,0,0,1,0,0,1,0,0
33895319,158.0,2,2,Avenidas Novas,38.7366134,-9.1490531,0,1,0,1,1,0,0,1,0,0,1,0,0
33895243,88.0,3,2,Avenidas Novas,38.7389462,-9.1450395,0,1,0,0,0,0,0,1,0,0,1,0,0
33895106,42.0,2,2,Misericórdia,38.7117687,-9.1428571,0,0,0,0,0,0,0,1,0,0,1,0,0
33895103,42.0,3,1,Misericórdia,38.7114951,-9.1455513,0,0,0,0,0,0,0,1,0,0,1,0,0
33895102,47.0,3,1,Misericórdia,38.7106941,-9.1431602,0,0,0,0,0,0,0,1,0,0,1,0,0
33895057,30.0,1,1,Santa Maria Maior,38.7110863,-9.1270555,0,0,0,0,0,0,0,1,0,0,1,0,0
27801458,70.0,2,2,Misericórdia,38.7117423,-9.1445975,0,0,0,0,0,0,0,1,0,0,1,0,0
33894923,40.0,1,1,Santa Maria Maior,38.716351,-9.1344892,0,0,0,0,0,0,0,1,0,0,1,0,0
33894734,60.0,1,1,Penha de França,38.7365773,-9.1281434,0,1,0,0,0,0,0,1,0,0,1,0,0
33894589,80.0,3,2,Arroios,38.7244525,-9.142955,0,0,0,0,0,0,0,1,0,0,1,0,0
33894593,70.0,2,2,Avenidas Novas,38.7411448,-9.1557222,0,1,0,0,0,0,0,1,0,0,1,0,0
33894555,70.0,2,1,São Domingos de Benfica,38.744237,-9.1817167,0,0,0,0,0,0,0,1,0,0,1,0,0
33894343,68.0,1,1,Avenidas Novas,38.7452544,-9.1483317,0,1,0,0,0,0,0,1,0,0,1,0,0
33894217,136.0,2,2,Arroios,38.73138,-9.142901,0,1,0,1,1,0,0,1,0,0,1,0,0
33894230,75.0,1,1,Parque das Nações,38.7772239,-9.093758,0,1,0,1,1,0,0,1,0,0,1,0,0
33894206,130.0,4,2,Avenidas Novas,38.7343109,-9.1572916,0,0,0,0,0,0,0,1,0,0,1,0,0
33891424,74.0,3,2,Arroios,38.7322118,-9.1325669,0,0,0,0,0,0,0,1,0,0,1,0,0
33894138,130.0,4,2,Avenidas Novas,38.7356225,-9.1577611,0,0,0,0,0,0,0,1,0,0,1,0,0
33894075,80.0,1,1,Areeiro,38.743043,-9.1280896,0,1,0,1,1,0,0,1,0,0,1,0,0
33894134,130.0,4,2,Avenidas Novas,38.736061,-9.1568879,0,0,0,0,0,0,0,1,0,0,1,0,0
33893967,188.0,3,1,Arroios,38.7253876,-9.1331138,0,0,0,0,0,0,0,1,0,0,1,0,0
